step,epoch,train_loss,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_sas
9,0,2.321077346801758,,,,,,,,,,
19,0,2.537097215652466,,,,,,,,,,
29,0,1.5999990701675415,,,,,,,,,,
39,0,1.499753475189209,,,,,,,,,,
49,0,1.1588832139968872,,,,,,,,,,
51,0,,1.7567224502563477,0.514892578125,0.28735631704330444,0.45672568678855896,0.8407198190689087,,,,,
59,1,1.5949727296829224,,,,,,,,,,
69,1,1.990551471710205,,,,,,,,,,
79,1,1.526305079460144,,,,,,,,,,
89,1,1.7175475358963013,,,,,,,,,,
99,1,1.4095520973205566,,,,,,,,,,
103,1,,1.5523968935012817,0.5438121557235718,0.33908045291900635,0.5003042817115784,0.8537752032279968,,,,,
109,2,1.3325682878494263,,,,,,,,,,
119,2,0.9522448778152466,,,,,,,,,,
129,2,2.3801023960113525,,,,,,,,,,
139,2,1.2641924619674683,,,,,,,,,,
149,2,1.678934097290039,,,,,,,,,,
155,2,,1.4900267124176025,0.5554865002632141,0.36781609058380127,0.5189993381500244,0.8616986870765686,,,,,
159,3,1.042887568473816,,,,,,,,,,
169,3,0.9656840562820435,,,,,,,,,,
179,3,0.42563024163246155,,,,,,,,,,
189,3,1.3641265630722046,,,,,,,,,,
199,3,1.794844627380371,,,,,,,,,,
207,3,,1.4479174613952637,0.5767489075660706,0.37931033968925476,0.5335965752601624,0.8673887848854065,,,,,
209,4,0.8009670376777649,,,,,,,,,,
219,4,0.8350363373756409,,,,,,,,,,
229,4,1.1482776403427124,,,,,,,,,,
239,4,1.035805344581604,,,,,,,,,,
249,4,0.9439100027084351,,,,,,,,,,
259,4,1.8310546875,,,,,,,,,,
259,4,,1.40010404586792,0.5828080773353577,0.3850574791431427,0.5348940491676331,0.8680505752563477,,,,,
260,5,,,,,,,0.8680505752563477,0.5348940491676331,1.40010404586792,0.3850574791431427,0.5828080773353577
