train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,test_loss
5.786289691925049,0,9,,,,,,
4.04497766494751,0,19,,,,,,
3.05647611618042,0,29,,,,,,
2.605933904647827,0,39,,,,,,
1.9328467845916748,0,49,,,,,,
1.4213495254516602,0,59,,,,,,
1.0458285808563232,0,69,,,,,,
0.6212723255157471,0,79,,,,,,
0.44932353496551514,0,89,,,,,,
,0,96,0.3955105245113373,0.4224719703197479,0.7854071259498596,0.20361991226673126,0.48694944381713867,
0.3241761326789856,1,99,,,,,,
0.25573354959487915,1,109,,,,,,
0.2293662577867508,1,119,,,,,,
0.1786695122718811,1,129,,,,,,
0.23023374378681183,1,139,,,,,,
0.12480094283819199,1,149,,,,,,
0.208953857421875,1,159,,,,,,
0.15502609312534332,1,169,,,,,,
0.17514869570732117,1,179,,,,,,
0.18801546096801758,1,189,,,,,,
,1,193,0.18218278884887695,0.42723190784454346,0.7865958213806152,0.20814479887485504,0.4938792288303375,
0.11111244559288025,2,199,,,,,,
0.0867694616317749,2,209,,,,,,
0.14445389807224274,2,219,,,,,,
0.09258250892162323,2,229,,,,,,
0.0880708172917366,2,239,,,,,,
0.10452833771705627,2,249,,,,,,
0.08466440439224243,2,259,,,,,,
0.06266874074935913,2,269,,,,,,
0.04596130549907684,2,279,,,,,,
0.07903263717889786,2,289,,,,,,
,2,290,0.17338834702968597,0.46228906512260437,0.7931711673736572,0.23529411852359772,0.5258300304412842,
0.07564572989940643,3,299,,,,,,
0.035534199327230453,3,309,,,,,,
0.07887899875640869,3,319,,,,,,
0.02090403065085411,3,329,,,,,,
0.022562844678759575,3,339,,,,,,
0.021319882944226265,3,349,,,,,,
0.0532672144472599,3,359,,,,,,
0.03052201122045517,3,369,,,,,,
0.017046339809894562,3,379,,,,,,
,3,387,0.28944942355155945,0.4585183560848236,0.7913793921470642,0.2398190051317215,0.5206063389778137,
0.007986903190612793,4,389,,,,,,
0.014662611298263073,4,399,,,,,,
0.01652044802904129,4,409,,,,,,
0.020026611164212227,4,419,,,,,,
0.016319967806339264,4,429,,,,,,
0.022417597472667694,4,439,,,,,,
0.010598915629088879,4,449,,,,,,
0.00870012678205967,4,459,,,,,,
0.005581733770668507,4,469,,,,,,
0.007706012111157179,4,479,,,,,,
,4,484,0.27178314328193665,0.460851788520813,0.7918218374252319,0.2398190051317215,0.5228143334388733,
,5,485,,,,,,0.17338834702968597
