train_loss,step,epoch,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,val_qa_em,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1
3.32367205619812,9,0,,,,,,,,,,
1.5423836708068848,19,0,,,,,,,,,,
4.270849227905273,29,0,,,,,,,,,,
2.2046077251434326,39,0,,,,,,,,,,
0.8351325392723083,49,0,,,,,,,,,,
2.402235984802246,59,0,,,,,,,,,,
2.916517734527588,69,0,,,,,,,,,,
1.221269965171814,79,0,,,,,,,,,,
1.223358154296875,89,0,,,,,,,,,,
1.7280634641647339,99,0,,,,,,,,,,
,102,0,1.9617711305618286,0.7381231188774109,0.19004319608211517,0.2975180447101593,0.07029478251934052,,,,,
1.6784143447875977,109,1,,,,,,,,,,
1.5345778465270996,119,1,,,,,,,,,,
1.0078078508377075,129,1,,,,,,,,,,
2.3768820762634277,139,1,,,,,,,,,,
2.319528102874756,149,1,,,,,,,,,,
2.5160117149353027,159,1,,,,,,,,,,
2.6902706623077393,169,1,,,,,,,,,,
1.1306676864624023,179,1,,,,,,,,,,
1.8857139348983765,189,1,,,,,,,,,,
1.8130303621292114,199,1,,,,,,,,,,
,205,1,1.8705476522445679,0.758759081363678,0.2572847306728363,0.37635040283203125,0.10204081982374191,,,,,
1.6427128314971924,209,2,,,,,,,,,,
2.355037212371826,219,2,,,,,,,,,,
1.79283607006073,229,2,,,,,,,,,,
1.682951807975769,239,2,,,,,,,,,,
1.4174726009368896,249,2,,,,,,,,,,
1.5263681411743164,259,2,,,,,,,,,,
1.638526439666748,269,2,,,,,,,,,,
2.612368583679199,279,2,,,,,,,,,,
2.3798463344573975,289,2,,,,,,,,,,
1.9070754051208496,299,2,,,,,,,,,,
,308,2,1.8056538105010986,0.7712832093238831,0.28121259808540344,0.3849988579750061,0.12018140405416489,,,,,
1.0911989212036133,309,3,,,,,,,,,,
1.673028588294983,319,3,,,,,,,,,,
2.8695993423461914,329,3,,,,,,,,,,
1.9113320112228394,339,3,,,,,,,,,,
1.2050484418869019,349,3,,,,,,,,,,
1.0714514255523682,359,3,,,,,,,,,,
2.3648595809936523,369,3,,,,,,,,,,
2.5063929557800293,379,3,,,,,,,,,,
0.892336905002594,389,3,,,,,,,,,,
0.7831266522407532,399,3,,,,,,,,,,
1.4516100883483887,409,3,,,,,,,,,,
,411,3,1.7752549648284912,0.7792634963989258,0.3018539547920227,0.3989889919757843,0.13832199573516846,,,,,
1.5854792594909668,419,4,,,,,,,,,,
1.668300747871399,429,4,,,,,,,,,,
0.919790506362915,439,4,,,,,,,,,,
1.4280650615692139,449,4,,,,,,,,,,
1.2661402225494385,459,4,,,,,,,,,,
1.3155341148376465,469,4,,,,,,,,,,
1.6759535074234009,479,4,,,,,,,,,,
0.7308739423751831,489,4,,,,,,,,,,
1.7455350160598755,499,4,,,,,,,,,,
1.378738284111023,509,4,,,,,,,,,,
,514,4,1.7765049934387207,0.7838839888572693,0.31848767399787903,0.4102042019367218,0.15419501066207886,,,,,
,515,5,,,,,,0.7838839888572693,0.15419501066207886,1.7765049934387207,0.4102042019367218,0.31848767399787903
