step,epoch,train_loss,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
9,0,1.5747463703155518,,,,,,,,,,
19,0,1.306235432624817,,,,,,,,,,
29,0,1.6479792594909668,,,,,,,,,,
39,0,1.4293452501296997,,,,,,,,,,
49,0,1.0272082090377808,,,,,,,,,,
51,0,,0.24537037312984467,0.8650322556495667,0.5724225640296936,0.4890700578689575,0.6826953887939453,,,,,
59,1,2.006403684616089,,,,,,,,,,
69,1,1.3083707094192505,,,,,,,,,,
79,1,1.6761828660964966,,,,,,,,,,
89,1,1.1280529499053955,,,,,,,,,,
99,1,0.6568312644958496,,,,,,,,,,
103,1,,0.25925925374031067,0.8769182562828064,0.6089564561843872,0.5245622396469116,0.6409221887588501,,,,,
109,2,1.0427041053771973,,,,,,,,,,
119,2,0.8794029355049133,,,,,,,,,,
129,2,1.310581922531128,,,,,,,,,,
139,2,1.6137102842330933,,,,,,,,,,
149,2,0.6088278293609619,,,,,,,,,,
155,2,,0.30092594027519226,0.8792679905891418,0.6235874891281128,0.5377045273780823,0.6305729746818542,,,,,
159,3,0.7801729440689087,,,,,,,,,,
169,3,0.8763188123703003,,,,,,,,,,
179,3,0.7979835271835327,,,,,,,,,,
189,3,0.9968370795249939,,,,,,,,,,
199,3,1.1501370668411255,,,,,,,,,,
207,3,,0.3055555522441864,0.8841148018836975,0.6331787109375,0.553301990032196,0.6142830848693848,,,,,
209,4,1.5298744440078735,,,,,,,,,,
219,4,0.9905351996421814,,,,,,,,,,
229,4,0.7834059000015259,,,,,,,,,,
239,4,0.9698312282562256,,,,,,,,,,
249,4,1.2651616334915161,,,,,,,,,,
259,4,0.1468483954668045,,,,,,,,,,
259,4,,0.3333333432674408,0.8863126635551453,0.6428048014640808,0.561468243598938,0.6098748445510864,,,,,
260,5,,,,,,,0.8863126635551453,0.3333333432674408,0.561468243598938,0.6428048014640808,0.6098748445510864
