epoch,step,train_loss,val_qa_bert_score,val_qa_sas,val_loss,val_qa_em,val_qa_answer_f1,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas
0,9,1.004636526107788,,,,,,,,,,
0,19,0.913398027420044,,,,,,,,,,
0,29,0.9021893739700317,,,,,,,,,,
0,39,0.7299075126647949,,,,,,,,,,
0,49,1.3503384590148926,,,,,,,,,,
0,59,0.8533280491828918,,,,,,,,,,
0,69,0.7276104092597961,,,,,,,,,,
0,79,1.2765856981277466,,,,,,,,,,
0,89,0.7976940870285034,,,,,,,,,,
0,90,,0.8657355904579163,0.47649919986724854,0.6855280995368958,0.35664334893226624,0.4192471206188202,,,,,
1,99,0.4512910544872284,,,,,,,,,,
1,109,0.4053763747215271,,,,,,,,,,
1,119,0.7157130837440491,,,,,,,,,,
1,129,0.4691794216632843,,,,,,,,,,
1,139,0.6116169095039368,,,,,,,,,,
1,149,0.8321177959442139,,,,,,,,,,
1,159,0.6019635796546936,,,,,,,,,,
1,169,0.2683959901332855,,,,,,,,,,
1,179,0.7728375792503357,,,,,,,,,,
1,181,,0.8873211145401001,0.5499403476715088,0.6241049766540527,0.41258740425109863,0.50711989402771,,,,,
2,189,0.3901538848876953,,,,,,,,,,
2,199,0.7961428165435791,,,,,,,,,,
2,209,0.19607125222682953,,,,,,,,,,
2,219,0.42624878883361816,,,,,,,,,,
2,229,0.5574259161949158,,,,,,,,,,
2,239,0.6521281003952026,,,,,,,,,,
2,249,0.46703997254371643,,,,,,,,,,
2,259,0.8357732892036438,,,,,,,,,,
2,269,1.1650797128677368,,,,,,,,,,
2,272,,0.8957367539405823,0.5805754661560059,0.6051058173179626,0.43589743971824646,0.5424738526344299,,,,,
3,279,0.40962129831314087,,,,,,,,,,
3,289,1.056849718093872,,,,,,,,,,
3,299,0.6260063648223877,,,,,,,,,,
3,309,0.8103721141815186,,,,,,,,,,
3,319,0.45233577489852905,,,,,,,,,,
3,329,0.5540973544120789,,,,,,,,,,
3,339,0.514397144317627,,,,,,,,,,
3,349,1.0997769832611084,,,,,,,,,,
3,359,0.5216530561447144,,,,,,,,,,
3,363,,0.8953517079353333,0.5802770256996155,0.5921001434326172,0.4289044141769409,0.5384907126426697,,,,,
4,369,0.3669731020927429,,,,,,,,,,
4,379,0.2987711727619171,,,,,,,,,,
4,389,0.735612690448761,,,,,,,,,,
4,399,0.5888499021530151,,,,,,,,,,
4,409,0.35049229860305786,,,,,,,,,,
4,419,0.10035493224859238,,,,,,,,,,
4,429,0.49098196625709534,,,,,,,,,,
4,439,0.46935176849365234,,,,,,,,,,
4,449,0.4395567774772644,,,,,,,,,,
4,454,,0.8975600600242615,0.5872576832771301,0.5883859992027283,0.4428904354572296,0.5474735498428345,,,,,
5,455,,,,,,,0.4428904354572296,0.5474735498428345,0.8975600600242615,0.5883859992027283,0.5872576832771301
