step,epoch,train_loss,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_em,val_qa_bert_score,test_loss
9,0,0.2570706605911255,,,,,,
19,0,0.15122400224208832,,,,,,
29,0,0.13616050779819489,,,,,,
39,0,0.5342821478843689,,,,,,
49,0,0.3158815801143646,,,,,,
59,0,0.08141373097896576,,,,,,
69,0,0.06863638013601303,,,,,,
79,0,0.15736450254917145,,,,,,
89,0,0.20483022928237915,,,,,,
99,0,0.17241230607032776,,,,,,
109,0,0.13722072541713715,,,,,,
119,0,0.15379208326339722,,,,,,
129,0,0.2015387862920761,,,,,,
139,0,0.1962413489818573,,,,,,
149,0,0.16588124632835388,,,,,,
159,0,0.20185808837413788,,,,,,
169,0,0.0912366509437561,,,,,,
179,0,0.06244666501879692,,,,,,
189,0,0.141499325633049,,,,,,
199,0,0.31414350867271423,,,,,,
209,0,0.12155602872371674,,,,,,
219,0,0.12454193085432053,,,,,,
229,0,0.12677666544914246,,,,,,
239,0,0.08432608842849731,,,,,,
249,0,0.15174567699432373,,,,,,
259,0,0.08983637392520905,,,,,,
269,0,0.1337333768606186,,,,,,
279,0,0.12294162064790726,,,,,,
289,0,0.17078956961631775,,,,,,
299,0,0.10457494854927063,,,,,,
309,0,0.1094086542725563,,,,,,
319,0,0.12296596169471741,,,,,,
329,0,0.12411685287952423,,,,,,
339,0,0.10072726756334305,,,,,,
349,0,0.08755506575107574,,,,,,
358,0,,0.2351984977722168,0.1143232211470604,0.29766538739204407,0.14980289340019226,0.7950934171676636,
359,1,0.10507724434137344,,,,,,
369,1,0.13294345140457153,,,,,,
379,1,0.12962959706783295,,,,,,
389,1,0.1512056440114975,,,,,,
399,1,0.07083485275506973,,,,,,
409,1,0.07878689467906952,,,,,,
419,1,0.07233663648366928,,,,,,
429,1,0.07354067265987396,,,,,,
439,1,0.09525919705629349,,,,,,
449,1,0.06679113209247589,,,,,,
459,1,0.14702226221561432,,,,,,
469,1,0.07541119307279587,,,,,,
479,1,0.07363151758909225,,,,,,
489,1,0.08231330662965775,,,,,,
499,1,0.0711255595088005,,,,,,
509,1,0.07870011776685715,,,,,,
519,1,0.07016325742006302,,,,,,
529,1,0.07939861714839935,,,,,,
539,1,0.06849823147058487,,,,,,
549,1,0.12523892521858215,,,,,,
559,1,0.10488739609718323,,,,,,
569,1,0.11563172191381454,,,,,,
