epoch,step,train_loss,val_qa_bert_score,val_qa_em,val_loss,val_qa_sas,val_qa_answer_f1,test_loss
0,9,0.11861004680395126,,,,,,
0,19,0.0691392570734024,,,,,,
0,29,0.0834742933511734,,,,,,
0,39,0.052521854639053345,,,,,,
0,49,0.055287476629018784,,,,,,
0,59,0.04684820771217346,,,,,,
0,69,0.03944380208849907,,,,,,
0,79,0.08011138439178467,,,,,,
0,89,0.06648946553468704,,,,,,
0,99,0.04511875659227371,,,,,,
0,109,0.048782829195261,,,,,,
0,119,0.07528147846460342,,,,,,
0,129,0.052646998316049576,,,,,,
0,139,0.04927629604935646,,,,,,
0,149,0.08335313200950623,,,,,,
0,159,0.07052256166934967,,,,,,
0,169,0.06202109158039093,,,,,,
0,179,0.0647621750831604,,,,,,
0,189,0.07130474597215652,,,,,,
0,199,0.037214551120996475,,,,,,
0,209,0.036105625331401825,,,,,,
0,219,0.0800187736749649,,,,,,
0,229,0.11511365324258804,,,,,,
0,236,,0.8300743699073792,0.18871594965457916,0.09993494302034378,0.35564976930618286,0.2607743740081787,
1,239,0.048748213797807693,,,,,,
1,249,0.04723409190773964,,,,,,
1,259,0.0648609846830368,,,,,,
1,269,0.06021644547581673,,,,,,
1,279,0.050238050520420074,,,,,,
1,289,0.038947951048612595,,,,,,
1,299,0.0628240630030632,,,,,,
1,309,0.05045715719461441,,,,,,
1,319,0.04769859090447426,,,,,,
1,329,0.046799879521131516,,,,,,
1,339,0.05243184417486191,,,,,,
1,349,0.05141972005367279,,,,,,
1,359,0.0462101548910141,,,,,,
1,369,0.030870411545038223,,,,,,
1,379,0.04542205110192299,,,,,,
1,389,0.04871443659067154,,,,,,
1,399,0.043383680284023285,,,,,,
1,409,0.05084524303674698,,,,,,
1,419,0.04488993436098099,,,,,,
1,429,0.04593658447265625,,,,,,
1,439,0.04920278489589691,,,,,,
1,449,0.062192607671022415,,,,,,
1,459,0.04849309101700783,,,,,,
1,469,0.047679346054792404,,,,,,
1,473,,0.8356967568397522,0.20233462750911713,0.1179829090833664,0.3690797686576843,0.27937543392181396,
2,479,0.06823869794607162,,,,,,
2,489,0.04156852141022682,,,,,,
2,499,0.05338559299707413,,,,,,
2,509,0.049759507179260254,,,,,,
2,519,0.0393843911588192,,,,,,
2,529,0.04387359693646431,,,,,,
2,539,0.04798800125718117,,,,,,
2,549,0.04322477802634239,,,,,,
2,559,0.045912932604551315,,,,,,
2,569,0.04223731532692909,,,,,,
2,579,0.05482780560851097,,,,,,
2,589,0.04197483882308006,,,,,,
2,599,0.028918778523802757,,,,,,
2,609,0.04903692379593849,,,,,,
2,619,0.033535417169332504,,,,,,
2,629,0.04173963889479637,,,,,,
2,639,0.043545015156269073,,,,,,
2,649,0.03570801019668579,,,,,,
2,659,0.06493178755044937,,,,,,
2,669,0.04047634080052376,,,,,,
2,679,0.04454983025789261,,,,,,
2,689,0.070433109998703,,,,,,
2,699,0.042580705136060715,,,,,,
2,709,0.02889302559196949,,,,,,
2,710,,0.8383366465568542,0.2159533053636551,0.13261272013187408,0.37640082836151123,0.28906312584877014,
3,719,0.04671833664178848,,,,,,
3,729,0.032111719250679016,,,,,,
3,739,0.03407962992787361,,,,,,
3,749,0.03769463300704956,,,,,,
3,759,0.06118883192539215,,,,,,
3,769,0.06899425387382507,,,,,,
3,779,0.03279915452003479,,,,,,
3,789,0.04764432832598686,,,,,,
3,799,0.044890522956848145,,,,,,
3,809,0.04421180859208107,,,,,,
3,819,0.05002887547016144,,,,,,
3,829,0.03046317584812641,,,,,,
3,839,0.03010007180273533,,,,,,
3,849,0.03786925598978996,,,,,,
3,859,0.03366991877555847,,,,,,
3,869,0.034649670124053955,,,,,,
3,879,0.03566920757293701,,,,,,
3,889,0.03574429079890251,,,,,,
3,899,0.0269315242767334,,,,,,
3,909,0.031327538192272186,,,,,,
3,919,0.03503524139523506,,,,,,
3,929,0.029356246814131737,,,,,,
3,939,0.036196254193782806,,,,,,
3,947,,0.841878354549408,0.23346303403377533,0.18380706012248993,0.3846411108970642,0.30406585335731506,
4,949,0.025564393028616905,,,,,,
4,959,0.02366582676768303,,,,,,
4,969,0.025573302060365677,,,,,,
4,979,0.031527675688266754,,,,,,
4,989,0.026284052059054375,,,,,,
4,999,0.033776797354221344,,,,,,
4,1009,0.020495785400271416,,,,,,
4,1019,0.028033213689923286,,,,,,
4,1029,0.018437905237078667,,,,,,
4,1039,0.029231054708361626,,,,,,
4,1049,0.02544775977730751,,,,,,
4,1059,0.025050625205039978,,,,,,
4,1069,0.02826491929590702,,,,,,
4,1079,0.02810320258140564,,,,,,
4,1089,0.0341130830347538,,,,,,
4,1099,0.006609008181840181,,,,,,
4,1109,0.016050538048148155,,,,,,
4,1119,0.030564216896891594,,,,,,
4,1129,0.013049034401774406,,,,,,
4,1139,0.00743338605388999,,,,,,
4,1149,0.014419580809772015,,,,,,
4,1159,0.007726225536316633,,,,,,
4,1169,0.021240822970867157,,,,,,
4,1179,0.005405763164162636,,,,,,
4,1184,,0.8416946530342102,0.23346303403377533,0.38768526911735535,0.37756481766700745,0.3027206361293793,
5,1185,,,,,,,0.38768526911735535
