step,train_loss,epoch,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,test_loss
9,0.5886208415031433,0,,,,,,
19,0.7838661074638367,0,,,,,,
29,0.6456828117370605,0,,,,,,
39,0.45279213786125183,0,,,,,,
49,0.2642759084701538,0,,,,,,
59,0.37371736764907837,0,,,,,,
69,0.45707768201828003,0,,,,,,
79,0.3102867901325226,0,,,,,,
89,0.3480575680732727,0,,,,,,
99,0.42558687925338745,0,,,,,,
109,0.15763632953166962,0,,,,,,
119,0.46010544896125793,0,,,,,,
129,0.2286791205406189,0,,,,,,
139,0.17751231789588928,0,,,,,,
149,0.13557912409305573,0,,,,,,
159,0.24201448261737823,0,,,,,,
169,0.33775538206100464,0,,,,,,
179,0.2509724497795105,0,,,,,,
189,0.2843937873840332,0,,,,,,
199,0.2770676910877228,0,,,,,,
209,0.18303436040878296,0,,,,,,
219,0.30946579575538635,0,,,,,,
229,0.24539834260940552,0,,,,,,
239,0.18071143329143524,0,,,,,,
249,0.26455923914909363,0,,,,,,
259,0.29279813170433044,0,,,,,,
269,0.28942692279815674,0,,,,,,
279,0.1679934710264206,0,,,,,,
289,0.22817765176296234,0,,,,,,
299,0.32477840781211853,0,,,,,,
309,0.16886427998542786,0,,,,,,
319,0.1299440562725067,0,,,,,,
329,0.16218703985214233,0,,,,,,
339,0.32881829142570496,0,,,,,,
349,0.1720164269208908,0,,,,,,
359,0.0791015625,0,,,,,,
369,0.22430174052715302,0,,,,,,
379,0.12653201818466187,0,,,,,,
389,0.15604618191719055,0,,,,,,
399,0.15325011312961578,0,,,,,,
409,0.11262089014053345,0,,,,,,
419,0.21008768677711487,0,,,,,,
429,0.17101192474365234,0,,,,,,
439,0.1950281411409378,0,,,,,,
449,0.2658390700817108,0,,,,,,
459,0.19110563397407532,0,,,,,,
469,0.18648509681224823,0,,,,,,
479,0.20478813350200653,0,,,,,,
489,0.24647563695907593,0,,,,,,
499,0.17589694261550903,0,,,,,,
509,0.17274563014507294,0,,,,,,
519,0.22309118509292603,0,,,,,,
529,0.14092089235782623,0,,,,,,
539,0.09675630182027817,0,,,,,,
549,0.18876492977142334,0,,,,,,
559,0.11159004271030426,0,,,,,,
569,0.17633400857448578,0,,,,,,
579,0.18785615265369415,0,,,,,,
589,0.2176162302494049,0,,,,,,
599,0.14116831123828888,0,,,,,,
609,0.17182591557502747,0,,,,,,
619,0.12270641326904297,0,,,,,,
629,0.06007453054189682,0,,,,,,
639,0.19874617457389832,0,,,,,,
649,0.060806117951869965,0,,,,,,
659,0.12217485159635544,0,,,,,,
669,0.08051659911870956,0,,,,,,
679,0.14010345935821533,0,,,,,,
686,,0,0.37556159496307373,0.3746381103992462,0.13142292201519012,0.8098406791687012,0.29870128631591797,
689,0.2501182556152344,1,,,,,,
699,0.21858669817447662,1,,,,,,
709,0.18355946242809296,1,,,,,,
719,0.1285088062286377,1,,,,,,
