epoch,train_loss,step,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em
0,0.546594500541687,9,,,,,,,,,,
0,0.2811078727245331,19,,,,,,,,,,
0,0.20177987217903137,29,,,,,,,,,,
0,0.31263214349746704,39,,,,,,,,,,
0,0.1256001591682434,49,,,,,,,,,,
0,0.19269277155399323,59,,,,,,,,,,
0,0.16299331188201904,69,,,,,,,,,,
0,0.1805039644241333,79,,,,,,,,,,
0,0.09431983530521393,89,,,,,,,,,,
0,,94,0.10866880416870117,0.6772048473358154,0.6930302977561951,0.6426593065261841,0.9259654879570007,,,,,
1,0.19091692566871643,99,,,,,,,,,,
1,0.06346981227397919,109,,,,,,,,,,
1,0.08444110304117203,119,,,,,,,,,,
1,0.04393231123685837,129,,,,,,,,,,
1,0.0844881609082222,139,,,,,,,,,,
1,0.053808197379112244,149,,,,,,,,,,
1,0.0507054440677166,159,,,,,,,,,,
1,0.5312798619270325,169,,,,,,,,,,
1,0.06038319319486618,179,,,,,,,,,,
1,0.11472813785076141,189,,,,,,,,,,
1,,189,0.09580124169588089,0.7244185209274292,0.7395762801170349,0.698060929775238,0.9366024732589722,,,,,
2,0.10020903497934341,199,,,,,,,,,,
2,0.046968113631010056,209,,,,,,,,,,
2,0.07604315876960754,219,,,,,,,,,,
2,0.046929556876420975,229,,,,,,,,,,
2,0.09323760867118835,239,,,,,,,,,,
2,0.030736302956938744,249,,,,,,,,,,
2,0.14410242438316345,259,,,,,,,,,,
2,0.054582878947257996,269,,,,,,,,,,
2,0.08487638831138611,279,,,,,,,,,,
2,,284,0.08597908914089203,0.7330768704414368,0.7476223111152649,0.7063711881637573,0.9385606646537781,,,,,
3,0.04133661463856697,289,,,,,,,,,,
3,0.06497837603092194,299,,,,,,,,,,
3,0.05845028907060623,309,,,,,,,,,,
3,0.04833962395787239,319,,,,,,,,,,
3,0.31975725293159485,329,,,,,,,,,,
3,0.07750601321458817,339,,,,,,,,,,
3,0.08184000104665756,349,,,,,,,,,,
3,0.16877886652946472,359,,,,,,,,,,
3,0.06385881453752518,369,,,,,,,,,,
3,0.07803884148597717,379,,,,,,,,,,
3,,379,0.08051304519176483,0.7428461313247681,0.7528447508811951,0.7146814465522766,0.9404460787773132,,,,,
4,0.04605848342180252,389,,,,,,,,,,
4,0.04456808790564537,399,,,,,,,,,,
4,0.043248988687992096,409,,,,,,,,,,
4,0.30171865224838257,419,,,,,,,,,,
4,0.04748174920678139,429,,,,,,,,,,
4,0.043214380741119385,439,,,,,,,,,,
4,0.05623908340930939,449,,,,,,,,,,
4,0.05240253359079361,459,,,,,,,,,,
4,0.08317545056343079,469,,,,,,,,,,
4,,474,0.08126328885555267,0.7558082938194275,0.765497624874115,0.7285318374633789,0.9436963200569153,,,,,
5,,475,,,,,,0.9436963200569153,0.08126328885555267,0.7558082938194275,0.765497624874115,0.7285318374633789
