train_loss,step,epoch,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,val_qa_em,test_loss
0.8129599094390869,9,0,,,,,,
0.7105897665023804,19,0,,,,,,
0.2857339084148407,29,0,,,,,,
0.5995952486991882,39,0,,,,,,
0.5748313665390015,49,0,,,,,,
0.3494740426540375,59,0,,,,,,
0.4675062596797943,69,0,,,,,,
0.32282471656799316,79,0,,,,,,
1.1114212274551392,89,0,,,,,,
,97,0,0.1854829639196396,0.8352205753326416,0.4677523970603943,0.50627201795578,0.30622008442878723,
0.6320324540138245,99,1,,,,,,
0.8477054238319397,109,1,,,,,,
0.2985357940196991,119,1,,,,,,
0.5627535581588745,129,1,,,,,,
0.48110440373420715,139,1,,,,,,
0.49865928292274475,149,1,,,,,,
0.4557092785835266,159,1,,,,,,
0.562768280506134,169,1,,,,,,
0.1498938649892807,179,1,,,,,,
0.7806240320205688,189,1,,,,,,
,195,1,0.1545741707086563,0.8593760132789612,0.5430793762207031,0.56877201795578,0.4114832580089569,
0.2270043045282364,199,2,,,,,,
0.23321470618247986,209,2,,,,,,
0.2631925642490387,219,2,,,,,,
0.23072490096092224,229,2,,,,,,
0.3022516965866089,239,2,,,,,,
0.08854507654905319,249,2,,,,,,
0.2400534301996231,259,2,,,,,,
0.2863321006298065,269,2,,,,,,
0.24905474483966827,279,2,,,,,,
0.2260584831237793,289,2,,,,,,
,293,2,0.14404074847698212,0.8810878396034241,0.6014026403427124,0.6337573528289795,0.4880382716655731,
0.19098831713199615,299,3,,,,,,
0.21201086044311523,309,3,,,,,,
0.16794201731681824,319,3,,,,,,
0.14481550455093384,329,3,,,,,,
0.1220475509762764,339,3,,,,,,
0.14259612560272217,349,3,,,,,,
nan,359,3,,,,,,
0.25348860025405884,369,3,,,,,,
0.0691395252943039,379,3,,,,,,
0.05790915712714195,389,3,,,,,,
,391,3,0.14426764845848083,0.8805974721908569,0.6048586368560791,0.6309918761253357,0.5071770548820496,
0.2022750824689865,399,4,,,,,,
0.03422389551997185,409,4,,,,,,
0.21065065264701843,419,4,,,,,,
0.46586325764656067,429,4,,,,,,
0.17925851047039032,439,4,,,,,,
0.06718159466981888,449,4,,,,,,
0.2337203174829483,459,4,,,,,,
0.04297424852848053,469,4,,,,,,
0.057110853493213654,479,4,,,,,,
3.1318395137786865,489,4,,,,,,
,489,4,0.15079551935195923,0.8805301189422607,0.608230710029602,0.6300181746482849,0.5023923516273499,
,490,5,,,,,,0.15079551935195923
