step,epoch,train_loss,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_qa_em,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss
9,0,1.564214825630188,,,,,,,,,,
19,0,1.3234058618545532,,,,,,,,,,
29,0,1.6319444179534912,,,,,,,,,,
39,0,1.3977556228637695,,,,,,,,,,
49,0,1.0163302421569824,,,,,,,,,,
51,0,,0.6712844371795654,0.5826416015625,0.4941667318344116,0.8646563291549683,0.24537037312984467,,,,,
59,1,2.011514663696289,,,,,,,,,,
69,1,1.2967543601989746,,,,,,,,,,
79,1,1.7055926322937012,,,,,,,,,,
89,1,1.249248743057251,,,,,,,,,,
99,1,0.6575648784637451,,,,,,,,,,
103,1,,0.6388951539993286,0.6366838812828064,0.5538682341575623,0.8825008273124695,0.30092594027519226,,,,,
109,2,1.02284836769104,,,,,,,,,,
119,2,0.8596014380455017,,,,,,,,,,
129,2,1.309932827949524,,,,,,,,,,
139,2,1.6112595796585083,,,,,,,,,,
149,2,0.6133555769920349,,,,,,,,,,
155,2,,0.6270797848701477,0.6257672905921936,0.5481231808662415,0.8815132975578308,0.31018519401550293,,,,,
159,3,0.7652327418327332,,,,,,,,,,
169,3,0.8698588609695435,,,,,,,,,,
179,3,0.8725538849830627,,,,,,,,,,
189,3,0.988381564617157,,,,,,,,,,
199,3,1.2220476865768433,,,,,,,,,,
207,3,,0.6126246452331543,0.6424909234046936,0.5686572194099426,0.8869627714157104,0.32407405972480774,,,,,
209,4,1.5152907371520996,,,,,,,,,,
219,4,0.9623047113418579,,,,,,,,,,
229,4,0.784707248210907,,,,,,,,,,
239,4,0.9801012873649597,,,,,,,,,,
249,4,1.2325966358184814,,,,,,,,,,
259,4,0.1531936675310135,,,,,,,,,,
259,4,,0.6051221489906311,0.6428745985031128,0.5572677850723267,0.8839673399925232,0.33796295523643494,,,,,
260,5,,,,,,,0.8839673399925232,0.33796295523643494,0.6428745985031128,0.5572677850723267,0.6051221489906311
