step,epoch,train_loss,val_loss,val_qa_sas,val_qa_em,val_qa_bert_score,val_qa_answer_f1,test_loss
9,0,0.09603966027498245,,,,,,
19,0,0.06590723246335983,,,,,,
29,0,0.04880803823471069,,,,,,
39,0,0.03857426345348358,,,,,,
49,0,0.0676400363445282,,,,,,
59,0,0.04030565172433853,,,,,,
69,0,0.020032690837979317,,,,,,
79,0,0.029518986120820045,,,,,,
89,0,0.0335763543844223,,,,,,
99,0,0.05254025384783745,,,,,,
109,0,0.026438763365149498,,,,,,
119,0,0.03106866404414177,,,,,,
129,0,0.025755541399121284,,,,,,
139,0,0.052588798105716705,,,,,,
149,0,0.08157665282487869,,,,,,
159,0,0.031192859634757042,,,,,,
169,0,0.031206244602799416,,,,,,
179,0,0.025569846853613853,,,,,,
189,0,0.035977259278297424,,,,,,
199,0,0.04779211804270744,,,,,,
209,0,0.02337646484375,,,,,,
219,0,0.04216320067644119,,,,,,
229,0,0.04376356303691864,,,,,,
239,0,0.038315776735544205,,,,,,
249,0,0.02471151389181614,,,,,,
259,0,0.034314680844545364,,,,,,
269,0,0.033406198024749756,,,,,,
279,0,0.031523946672677994,,,,,,
289,0,0.044820792973041534,,,,,,
299,0,0.036167316138744354,,,,,,
309,0,nan,,,,,,
319,0,0.03789447993040085,,,,,,
329,0,0.027626795694231987,,,,,,
339,0,0.04552752524614334,,,,,,
349,0,0.0324518047273159,,,,,,
359,0,0.03319583833217621,,,,,,
369,0,0.027566730976104736,,,,,,
379,0,0.04429483041167259,,,,,,
389,0,0.04015457257628441,,,,,,
399,0,0.03214835748076439,,,,,,
409,0,0.06334107369184494,,,,,,
419,0,0.02259100042283535,,,,,,
429,0,0.07247329503297806,,,,,,
439,0,0.03709927573800087,,,,,,
449,0,0.03753536939620972,,,,,,
459,0,0.04857057332992554,,,,,,
469,0,0.030930878594517708,,,,,,
472,0,,0.11864503473043442,0.34274616837501526,0.1764705926179886,0.8275407552719116,0.2496209442615509,
479,1,0.053362101316452026,,,,,,
489,1,0.03620674088597298,,,,,,
499,1,0.040071018040180206,,,,,,
509,1,0.04337724298238754,,,,,,
519,1,0.04600118100643158,,,,,,
529,1,0.02858801744878292,,,,,,
539,1,0.029590751975774765,,,,,,
549,1,0.030230116099119186,,,,,,
559,1,0.029938826337456703,,,,,,
569,1,0.04542335122823715,,,,,,
579,1,0.01665394939482212,,,,,,
589,1,0.03110457770526409,,,,,,
599,1,0.034289874136447906,,,,,,
609,1,0.04585430026054382,,,,,,
619,1,0.029150165617465973,,,,,,
629,1,0.029740076512098312,,,,,,
639,1,0.04805921018123627,,,,,,
649,1,0.03348599374294281,,,,,,
659,1,0.024502219632267952,,,,,,
669,1,0.06253360956907272,,,,,,
679,1,0.03461882099509239,,,,,,
689,1,0.023526569828391075,,,,,,
699,1,0.03568396344780922,,,,,,
709,1,0.03894694149494171,,,,,,
719,1,0.04990790784358978,,,,,,
729,1,0.03597862273454666,,,,,,
739,1,0.03190841153264046,,,,,,
749,1,0.027926968410611153,,,,,,
759,1,0.05001279339194298,,,,,,
769,1,0.04325145110487938,,,,,,
779,1,0.03538236394524574,,,,,,
789,1,0.036330051720142365,,,,,,
799,1,0.05158098787069321,,,,,,
809,1,0.04061158746480942,,,,,,
819,1,0.028873587027192116,,,,,,
829,1,0.022998541593551636,,,,,,
839,1,0.034888580441474915,,,,,,
849,1,0.036174580454826355,,,,,,
859,1,0.01471270527690649,,,,,,
869,1,0.02328868769109249,,,,,,
879,1,0.033215880393981934,,,,,,
889,1,0.027667472139000893,,,,,,
899,1,0.019389212131500244,,,,,,
909,1,0.030358701944351196,,,,,,
919,1,0.02926578000187874,,,,,,
929,1,0.020564457401633263,,,,,,
939,1,0.02584126777946949,,,,,,
945,1,,0.09078284353017807,0.3585755527019501,0.20123839378356934,0.8305456042289734,0.2709444463253021,
949,2,0.04181673005223274,,,,,,
959,2,0.05392007902264595,,,,,,
969,2,0.04892479628324509,,,,,,
979,2,0.047156356275081635,,,,,,
989,2,0.033928677439689636,,,,,,
999,2,0.05625683441758156,,,,,,
1009,2,0.03940785676240921,,,,,,
1019,2,0.01998029835522175,,,,,,
1029,2,0.03068331815302372,,,,,,
1039,2,0.01711004413664341,,,,,,
1049,2,0.037322014570236206,,,,,,
1059,2,0.020243316888809204,,,,,,
1069,2,0.059445276856422424,,,,,,
1079,2,0.03164808079600334,,,,,,
1089,2,0.018298957496881485,,,,,,
1099,2,0.037762127816677094,,,,,,
1109,2,0.016318367794156075,,,,,,
1119,2,0.04642806574702263,,,,,,
1129,2,0.016408292576670647,,,,,,
1139,2,0.05641089379787445,,,,,,
1149,2,0.02895006537437439,,,,,,
1159,2,0.044666945934295654,,,,,,
1169,2,0.0312952920794487,,,,,,
1179,2,0.02026970684528351,,,,,,
1189,2,0.045477427542209625,,,,,,
1199,2,0.02994769811630249,,,,,,
1209,2,0.039652369916439056,,,,,,
1219,2,0.03566395863890648,,,,,,
1229,2,0.0358523391187191,,,,,,
1239,2,0.02913801744580269,,,,,,
1249,2,0.04211028292775154,,,,,,
1259,2,0.04096471518278122,,,,,,
1269,2,0.028392795473337173,,,,,,
1279,2,0.02062920853495598,,,,,,
1289,2,0.02734001912176609,,,,,,
1299,2,0.03265415132045746,,,,,,
1309,2,0.017978448420763016,,,,,,
1319,2,0.027712156996130943,,,,,,
1329,2,0.04450976476073265,,,,,,
1339,2,0.020928550511598587,,,,,,
1349,2,0.035361398011446,,,,,,
1359,2,0.015698552131652832,,,,,,
1369,2,0.038250312209129333,,,,,,
1379,2,0.022819411009550095,,,,,,
1389,2,0.01980835758149624,,,,,,
1399,2,0.044642236083745956,,,,,,
1409,2,0.01829335279762745,,,,,,
1418,2,,0.07996827363967896,0.3647475242614746,0.21671827137470245,0.8309102058410645,0.2857516407966614,
1419,3,0.03196761757135391,,,,,,
1429,3,0.022435098886489868,,,,,,
1439,3,0.044455964118242264,,,,,,
1449,3,0.028075724840164185,,,,,,
1459,3,0.024266276508569717,,,,,,
1469,3,0.020774561911821365,,,,,,
