step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_qa_em,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score
9,3.214326858520508,0,,,,,,,,,,
19,2.4524312019348145,0,,,,,,,,,,
29,1.6219922304153442,0,,,,,,,,,,
39,2.092811346054077,0,,,,,,,,,,
49,1.211211919784546,0,,,,,,,,,,
52,,0,1.6006582975387573,0.38114047050476074,0.40618896484375,0.8183212280273438,0.25641027092933655,,,,,
59,1.777292013168335,1,,,,,,,,,,
69,0.7523569464683533,1,,,,,,,,,,
79,9.971393585205078,1,,,,,,,,,,
89,1.9095673561096191,1,,,,,,,,,,
99,1.0543793439865112,1,,,,,,,,,,
105,,1,1.4377459287643433,0.44207078218460083,0.46380615234375,0.8407438397407532,0.3461538553237915,,,,,
109,1.7019984722137451,2,,,,,,,,,,
119,1.813048243522644,2,,,,,,,,,,
129,1.815834403038025,2,,,,,,,,,,
139,0.7498427033424377,2,,,,,,,,,,
149,1.5690492391586304,2,,,,,,,,,,
158,,2,1.3494716882705688,0.455884724855423,0.47625732421875,0.8461604118347168,0.36538460850715637,,,,,
159,1.730718731880188,3,,,,,,,,,,
169,1.348985195159912,3,,,,,,,,,,
179,1.3743888139724731,3,,,,,,,,,,
189,1.6752382516860962,3,,,,,,,,,,
199,0.8496922254562378,3,,,,,,,,,,
209,1.1948081254959106,3,,,,,,,,,,
211,,3,1.3002079725265503,0.4629359543323517,0.48371583223342896,0.8485627174377441,0.36538460850715637,,,,,
219,0.999418318271637,4,,,,,,,,,,
229,1.4716542959213257,4,,,,,,,,,,
239,1.269606113433838,4,,,,,,,,,,
249,0.6419632434844971,4,,,,,,,,,,
259,1.0144823789596558,4,,,,,,,,,,
264,,4,1.300755262374878,0.47023147344589233,0.4900268614292145,0.8501664996147156,0.3782051205635071,,,,,
265,,5,,,,,,0.3782051205635071,1.300755262374878,0.4900268614292145,0.47023147344589233,0.8501664996147156
