step,train_loss,epoch,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_bert_score
9,0.3993993401527405,0,,,,,,,,,,
19,0.3137659430503845,0,,,,,,,,,,
29,0.2145175039768219,0,,,,,,,,,,
39,0.14377085864543915,0,,,,,,,,,,
49,0.1397581249475479,0,,,,,,,,,,
59,0.17157317698001862,0,,,,,,,,,,
69,0.1447269320487976,0,,,,,,,,,,
79,0.16677145659923553,0,,,,,,,,,,
89,0.17940464615821838,0,,,,,,,,,,
90,,0,0.4597710371017456,0.4042030870914459,0.14205212891101837,0.8647762537002563,0.3356643319129944,,,,,
99,0.19045089185237885,1,,,,,,,,,,
109,0.10898501425981522,1,,,,,,,,,,
119,0.20958533883094788,1,,,,,,,,,,
129,0.11438784003257751,1,,,,,,,,,,
139,0.10832997411489487,1,,,,,,,,,,
149,0.11956379562616348,1,,,,,,,,,,
159,0.1080874502658844,1,,,,,,,,,,
169,0.1293022483587265,1,,,,,,,,,,
179,0.08554983139038086,1,,,,,,,,,,
181,,1,0.5300654768943787,0.4878743886947632,0.12990514934062958,0.8844237327575684,0.4289044141769409,,,,,
189,0.11728517711162567,2,,,,,,,,,,
199,0.10421536862850189,2,,,,,,,,,,
209,0.10262024402618408,2,,,,,,,,,,
219,0.10701680928468704,2,,,,,,,,,,
229,0.13674882054328918,2,,,,,,,,,,
239,0.09484389424324036,2,,,,,,,,,,
249,0.09837976098060608,2,,,,,,,,,,
259,0.10870656371116638,2,,,,,,,,,,
269,0.11891692876815796,2,,,,,,,,,,
272,,2,0.5427698493003845,0.4974234104156494,0.12480790168046951,0.8856827616691589,0.440559446811676,,,,,
279,0.08167864382266998,3,,,,,,,,,,
289,0.11897514760494232,3,,,,,,,,,,
299,0.09111145883798599,3,,,,,,,,,,
309,0.08932449668645859,3,,,,,,,,,,
319,0.10266800969839096,3,,,,,,,,,,
329,0.1627550721168518,3,,,,,,,,,,
339,0.1497166007757187,3,,,,,,,,,,
349,0.06655910611152649,3,,,,,,,,,,
359,0.1604258120059967,3,,,,,,,,,,
363,,3,0.5477430820465088,0.5060309767723083,0.12708035111427307,0.8885067105293274,0.45221444964408875,,,,,
369,0.08448158949613571,4,,,,,,,,,,
379,0.08342603594064713,4,,,,,,,,,,
389,nan,4,,,,,,,,,,
399,0.0894017219543457,4,,,,,,,,,,
409,0.09261433035135269,4,,,,,,,,,,
419,0.11731548607349396,4,,,,,,,,,,
429,0.09554481506347656,4,,,,,,,,,,
439,0.08030832558870316,4,,,,,,,,,,
449,0.0639311820268631,4,,,,,,,,,,
454,,4,0.5458170771598816,0.5045574307441711,0.12600107491016388,0.8893890380859375,0.45221444964408875,,,,,
455,,5,,,,,,0.12600107491016388,0.5458170771598816,0.5045574307441711,0.45221444964408875,0.8893890380859375
