step,train_loss,epoch,val_qa_em,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,val_loss,test_loss
9,0.6913942098617554,0,,,,,,
19,0.6697097420692444,0,,,,,,
29,0.6513428092002869,0,,,,,,
39,0.29449400305747986,0,,,,,,
49,0.5293946266174316,0,,,,,,
59,0.47855398058891296,0,,,,,,
69,0.26159384846687317,0,,,,,,
79,0.27643078565597534,0,,,,,,
89,0.3306600749492645,0,,,,,,
99,0.18699941039085388,0,,,,,,
109,0.4181569516658783,0,,,,,,
119,0.254295289516449,0,,,,,,
129,0.3391694128513336,0,,,,,,
139,0.1858796775341034,0,,,,,,
149,0.3500123918056488,0,,,,,,
159,0.368920236825943,0,,,,,,
169,0.1941162645816803,0,,,,,,
179,0.2597104609012604,0,,,,,,
189,0.2447993904352188,0,,,,,,
199,0.15533308684825897,0,,,,,,
209,0.2585911154747009,0,,,,,,
219,0.22279678285121918,0,,,,,,
229,0.26950883865356445,0,,,,,,
239,0.32457587122917175,0,,,,,,
249,0.30386248230934143,0,,,,,,
259,0.20420043170452118,0,,,,,,
269,0.2486218363046646,0,,,,,,
279,0.26619604229927063,0,,,,,,
289,0.30822470784187317,0,,,,,,
299,0.16726283729076385,0,,,,,,
309,0.12328318506479263,0,,,,,,
319,0.13256630301475525,0,,,,,,
329,0.0869809165596962,0,,,,,,
339,0.12638145685195923,0,,,,,,
349,0.10477379709482193,0,,,,,,
359,0.22435195744037628,0,,,,,,
369,0.10531274229288101,0,,,,,,
379,0.22942790389060974,0,,,,,,
389,0.1503046602010727,0,,,,,,
399,0.15899024903774261,0,,,,,,
409,0.19204629957675934,0,,,,,,
419,0.23333622515201569,0,,,,,,
429,0.2302139401435852,0,,,,,,
439,0.180445596575737,0,,,,,,
449,0.2481539100408554,0,,,,,,
459,0.14608626067638397,0,,,,,,
469,0.186428040266037,0,,,,,,
479,0.2353242039680481,0,,,,,,
489,0.18288511037826538,0,,,,,,
499,0.191020205616951,0,,,,,,
509,0.1734502613544464,0,,,,,,
519,0.14478816092014313,0,,,,,,
529,0.15914559364318848,0,,,,,,
539,0.09388235956430435,0,,,,,,
549,0.1536901593208313,0,,,,,,
559,0.1557987481355667,0,,,,,,
569,0.15485092997550964,0,,,,,,
579,0.16002310812473297,0,,,,,,
