step,train_loss,epoch,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_bert_score
9,0.4241730868816376,0,,,,,,,,,,
19,0.31446966528892517,0,,,,,,,,,,
29,0.21113093197345734,0,,,,,,,,,,
39,0.14147378504276276,0,,,,,,,,,,
49,0.13543909788131714,0,,,,,,,,,,
59,0.3017115294933319,0,,,,,,,,,,
69,0.13642355799674988,0,,,,,,,,,,
79,0.2223055213689804,0,,,,,,,,,,
89,0.13374806940555573,0,,,,,,,,,,
94,,0,0.49569037556648254,0.44517433643341064,0.10939548164606094,0.8710677027702332,0.3878116309642792,,,,,
99,0.1194191575050354,1,,,,,,,,,,
109,0.11467670649290085,1,,,,,,,,,,
119,0.07668943703174591,1,,,,,,,,,,
129,0.1177925243973732,1,,,,,,,,,,
139,0.1329079270362854,1,,,,,,,,,,
149,0.17139190435409546,1,,,,,,,,,,
159,0.1118999496102333,1,,,,,,,,,,
169,0.12141667306423187,1,,,,,,,,,,
179,0.11609618365764618,1,,,,,,,,,,
189,0.14533084630966187,1,,,,,,,,,,
189,,1,0.56638503074646,0.525767982006073,0.0980018749833107,0.8917272090911865,0.4764542877674103,,,,,
199,0.10779961198568344,2,,,,,,,,,,
209,0.13762374222278595,2,,,,,,,,,,
219,0.09509434551000595,2,,,,,,,,,,
229,0.1242145448923111,2,,,,,,,,,,
239,0.10781867057085037,2,,,,,,,,,,
249,0.06800659745931625,2,,,,,,,,,,
259,0.10923947393894196,2,,,,,,,,,,
269,0.11058157682418823,2,,,,,,,,,,
279,0.17051492631435394,2,,,,,,,,,,
284,,2,0.59450364112854,0.5583347678184509,0.09936452656984329,0.8994588255882263,0.509695291519165,,,,,
289,0.0786881148815155,3,,,,,,,,,,
299,0.11051037162542343,3,,,,,,,,,,
309,0.12527737021446228,3,,,,,,,,,,
319,0.11049100011587143,3,,,,,,,,,,
329,0.13350103795528412,3,,,,,,,,,,
339,0.10527240484952927,3,,,,,,,,,,
349,0.1173657476902008,3,,,,,,,,,,
359,0.10236098617315292,3,,,,,,,,,,
369,0.09779296815395355,3,,,,,,,,,,
379,0.11053259670734406,3,,,,,,,,,,
379,,3,0.5943974852561951,0.5542175769805908,0.0983647033572197,0.8973795771598816,0.509695291519165,,,,,
389,0.1213434711098671,4,,,,,,,,,,
399,0.09732417017221451,4,,,,,,,,,,
409,0.051678866147994995,4,,,,,,,,,,
419,0.09130166471004486,4,,,,,,,,,,
429,0.1219521090388298,4,,,,,,,,,,
439,0.07983031868934631,4,,,,,,,,,,
449,0.0869956687092781,4,,,,,,,,,,
459,0.0903109759092331,4,,,,,,,,,,
469,0.14916935563087463,4,,,,,,,,,,
474,,4,0.60545814037323,0.5757733583450317,0.09169802814722061,0.9032398462295532,0.5263158082962036,,,,,
475,,5,,,,,,0.09169802814722061,0.60545814037323,0.5757733583450317,0.5263158082962036,0.9032398462295532
