step,train_loss,epoch,val_loss,val_qa_bert_score,val_qa_em,val_qa_sas,val_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1
9,1.5003894567489624,0,,,,,,,,,,
19,1.130698800086975,0,,,,,,,,,,
29,3.605790615081787,0,,,,,,,,,,
39,1.258469820022583,0,,,,,,,,,,
49,0.8851615190505981,0,,,,,,,,,,
59,1.8612881898880005,0,,,,,,,,,,
69,1.3800173997879028,0,,,,,,,,,,
79,0.9686900973320007,0,,,,,,,,,,
89,0.40913650393486023,0,,,,,,,,,,
99,1.438778042793274,0,,,,,,,,,,
102,,0,1.239022970199585,0.8414082527160645,0.2222222238779068,0.5584368109703064,0.45946767926216125,,,,,
109,1.0510085821151733,1,,,,,,,,,,
119,0.8530576229095459,1,,,,,,,,,,
129,0.6627498269081116,1,,,,,,,,,,
139,1.3283069133758545,1,,,,,,,,,,
149,1.133461833000183,1,,,,,,,,,,
159,1.642228364944458,1,,,,,,,,,,
169,2.4422523975372314,1,,,,,,,,,,
179,0.41867879033088684,1,,,,,,,,,,
189,1.4862371683120728,1,,,,,,,,,,
199,0.7023687958717346,1,,,,,,,,,,
205,,1,1.1719095706939697,0.84380042552948,0.24943310022354126,0.5472063422203064,0.4582953155040741,,,,,
209,1.20110023021698,2,,,,,,,,,,
219,1.1035664081573486,2,,,,,,,,,,
229,1.4468417167663574,2,,,,,,,,,,
239,1.0106483697891235,2,,,,,,,,,,
249,1.1423918008804321,2,,,,,,,,,,
259,0.2747792601585388,2,,,,,,,,,,
269,0.9280324578285217,2,,,,,,,,,,
279,1.599772334098816,2,,,,,,,,,,
289,1.4601575136184692,2,,,,,,,,,,
299,1.2919315099716187,2,,,,,,,,,,
308,,2,1.1452090740203857,0.8463646769523621,0.2630385458469391,0.5527169108390808,0.4640541672706604,,,,,
309,0.942143976688385,3,,,,,,,,,,
319,1.0529898405075073,3,,,,,,,,,,
329,2.3301517963409424,3,,,,,,,,,,
339,1.5716402530670166,3,,,,,,,,,,
349,0.9703446626663208,3,,,,,,,,,,
359,0.3523879945278168,3,,,,,,,,,,
369,0.9592428207397461,3,,,,,,,,,,
379,2.2927560806274414,3,,,,,,,,,,
389,0.758441686630249,3,,,,,,,,,,
399,0.3990134596824646,3,,,,,,,,,,
409,0.8655315041542053,3,,,,,,,,,,
411,,3,1.1256977319717407,0.8500187993049622,0.2698412835597992,0.5601021647453308,0.4755723476409912,,,,,
419,1.1573652029037476,4,,,,,,,,,,
429,1.1858317852020264,4,,,,,,,,,,
439,0.254904180765152,4,,,,,,,,,,
449,1.1848235130310059,4,,,,,,,,,,
459,1.0383837223052979,4,,,,,,,,,,
469,1.1197930574417114,4,,,,,,,,,,
479,1.5028868913650513,4,,,,,,,,,,
489,0.4742817282676697,4,,,,,,,,,,
499,0.5197364687919617,4,,,,,,,,,,
509,0.6333101987838745,4,,,,,,,,,,
514,,4,1.1204661130905151,0.8542738556861877,0.2857142984867096,0.5739397406578064,0.4864131510257721,,,,,
515,,5,,,,,,1.1204661130905151,0.8542738556861877,0.5739397406578064,0.2857142984867096,0.4864131510257721
