epoch,train_loss,step,val_qa_em,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score
0,0.3822879493236542,9,,,,,,,,,,
0,0.34928426146507263,19,,,,,,,,,,
0,0.16242188215255737,29,,,,,,,,,,
0,0.17943280935287476,39,,,,,,,,,,
0,0.2246498018503189,49,,,,,,,,,,
0,0.2015150636434555,59,,,,,,,,,,
0,0.1614583283662796,69,,,,,,,,,,
0,0.14189210534095764,79,,,,,,,,,,
0,0.12579768896102905,89,,,,,,,,,,
0,0.16000238060951233,99,,,,,,,,,,
0,0.13857193291187286,109,,,,,,,,,,
0,,118,0.35214006900787354,0.1801096349954605,0.4103575050830841,0.480598509311676,0.8694435358047485,,,,,
1,0.16170327365398407,119,,,,,,,,,,
1,0.1257750540971756,129,,,,,,,,,,
1,0.11777348816394806,139,,,,,,,,,,
1,0.13183347880840302,149,,,,,,,,,,
1,0.08590683341026306,159,,,,,,,,,,
1,0.1145286038517952,169,,,,,,,,,,
1,0.10748608410358429,179,,,,,,,,,,
1,0.10583700984716415,189,,,,,,,,,,
1,0.1615000218153,199,,,,,,,,,,
1,0.0829605907201767,209,,,,,,,,,,
1,0.10843635350465775,219,,,,,,,,,,
1,0.12199721485376358,229,,,,,,,,,,
1,,237,0.45525291562080383,0.16482727229595184,0.5038389563560486,0.5549952387809753,0.8895196914672852,,,,,
2,0.10148948431015015,239,,,,,,,,,,
2,0.09309796243906021,249,,,,,,,,,,
2,0.14033564925193787,259,,,,,,,,,,
2,0.1180855855345726,269,,,,,,,,,,
2,0.08898887038230896,279,,,,,,,,,,
2,0.11125229299068451,289,,,,,,,,,,
2,0.09404068440198898,299,,,,,,,,,,
2,0.170255646109581,309,,,,,,,,,,
2,0.11691540479660034,319,,,,,,,,,,
2,0.07329671084880829,329,,,,,,,,,,
2,0.0905475839972496,339,,,,,,,,,,
2,0.09283110499382019,349,,,,,,,,,,
2,,356,0.48638132214546204,0.15806536376476288,0.5314016938209534,0.5755215883255005,0.8949458599090576,,,,,
3,0.10908648371696472,359,,,,,,,,,,
3,0.08470888435840607,369,,,,,,,,,,
3,0.09102499485015869,379,,,,,,,,,,
3,0.10183455795049667,389,,,,,,,,,,
3,0.0714251771569252,399,,,,,,,,,,
3,0.09425999969244003,409,,,,,,,,,,
3,0.08300241082906723,419,,,,,,,,,,
3,0.1712261587381363,429,,,,,,,,,,
3,0.11080790311098099,439,,,,,,,,,,
3,0.2638489007949829,449,,,,,,,,,,
3,0.08521116524934769,459,,,,,,,,,,
3,0.09298525750637054,469,,,,,,,,,,
3,,475,0.49805447459220886,0.1553335189819336,0.5451423525810242,0.5873206257820129,0.8992465138435364,,,,,
4,0.0625920444726944,479,,,,,,,,,,
4,0.0988348200917244,489,,,,,,,,,,
4,0.19648919999599457,499,,,,,,,,,,
4,0.1271844208240509,509,,,,,,,,,,
4,0.12760676443576813,519,,,,,,,,,,
4,0.04814152419567108,529,,,,,,,,,,
4,0.06812801957130432,539,,,,,,,,,,
4,0.0731971487402916,549,,,,,,,,,,
4,0.16286729276180267,559,,,,,,,,,,
4,0.1390124261379242,569,,,,,,,,,,
4,0.07642937451601028,579,,,,,,,,,,
4,0.0909709557890892,589,,,,,,,,,,
4,,594,0.505836546421051,0.15520259737968445,0.5561036467552185,0.598483145236969,0.9013393521308899,,,,,
5,,595,,,,,,0.505836546421051,0.15520259737968445,0.5561036467552185,0.598483145236969,0.9013393521308899
