step,train_loss,epoch,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_em,val_qa_bert_score,test_loss
9,0.6870427131652832,0,,,,,,
19,0.824787974357605,0,,,,,,
29,0.3251131474971771,0,,,,,,
39,0.47868531942367554,0,,,,,,
49,0.584338366985321,0,,,,,,
59,0.27589720487594604,0,,,,,,
69,0.421098530292511,0,,,,,,
79,0.15593558549880981,0,,,,,,
89,0.13955776393413544,0,,,,,,
99,0.2876587510108948,0,,,,,,
109,0.40464088320732117,0,,,,,,
119,0.17502425611019135,0,,,,,,
124,,0,0.40991419553756714,0.07303639501333237,0.41889408230781555,0.33039647340774536,0.8214125037193298,
129,0.24791616201400757,1,,,,,,
139,0.20140278339385986,1,,,,,,
149,0.10080799460411072,1,,,,,,
159,0.16651655733585358,1,,,,,,
169,0.2244318127632141,1,,,,,,
179,0.2748476266860962,1,,,,,,
189,0.20172590017318726,1,,,,,,
199,0.2554379105567932,1,,,,,,
209,0.2291756272315979,1,,,,,,
219,0.27457350492477417,1,,,,,,
229,0.31312456727027893,1,,,,,,
239,0.20511971414089203,1,,,,,,
249,0.12786711752414703,1,,,,,,
249,,1,0.47014397382736206,0.062253136187791824,0.45703157782554626,0.40969163179397583,0.8396175503730774,
259,0.13167403638362885,2,,,,,,
269,0.10853742808103561,2,,,,,,
279,0.13034948706626892,2,,,,,,
289,0.1171240359544754,2,,,,,,
299,0.1264006346464157,2,,,,,,
309,0.3086826801300049,2,,,,,,
319,0.09442345052957535,2,,,,,,
329,0.09615365415811539,2,,,,,,
339,0.05626336485147476,2,,,,,,
349,0.15866321325302124,2,,,,,,
359,0.0480622798204422,2,,,,,,
369,0.0825117900967598,2,,,,,,
374,,2,0.5059282183647156,0.060471124947071075,0.48040080070495605,0.4449339210987091,0.8466427326202393,
379,0.07306979596614838,3,,,,,,
389,0.047597527503967285,3,,,,,,
399,0.05597560480237007,3,,,,,,
409,0.03761066123843193,3,,,,,,
419,0.06492248922586441,3,,,,,,
429,0.06423674523830414,3,,,,,,
439,0.087564617395401,3,,,,,,
449,0.09176962822675705,3,,,,,,
459,0.0937749445438385,3,,,,,,
469,0.04114994779229164,3,,,,,,
479,0.07334858924150467,3,,,,,,
489,0.02082616649568081,3,,,,,,
499,0.023147745057940483,3,,,,,,
499,,3,0.5417749881744385,0.06564353406429291,0.5080845952033997,0.4801762104034424,0.8574175238609314,
509,0.05884384363889694,4,,,,,,
519,0.023479336872696877,4,,,,,,
529,0.027471523731946945,4,,,,,,
539,0.016884025186300278,4,,,,,,
549,0.056565769016742706,4,,,,,,
559,0.15511371195316315,4,,,,,,
569,0.02211122401058674,4,,,,,,
579,0.022561779245734215,4,,,,,,
589,0.015206347219645977,4,,,,,,
599,0.07237746566534042,4,,,,,,
609,0.013625498861074448,4,,,,,,
619,0.058084454387426376,4,,,,,,
624,,4,0.5415931940078735,0.07224499434232712,0.5051195621490479,0.4801762104034424,0.8579921126365662,
625,,5,,,,,,0.07224499434232712
