epoch,train_loss,step,val_qa_sas,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,test_loss
0,0.38841506838798523,9,,,,,,
0,0.3869360685348511,19,,,,,,
0,0.2566707134246826,29,,,,,,
0,0.4405757188796997,39,,,,,,
0,0.29350972175598145,49,,,,,,
0,0.2735384702682495,59,,,,,,
0,0.1276136040687561,69,,,,,,
0,0.20913541316986084,79,,,,,,
0,0.28586459159851074,89,,,,,,
0,0.18612635135650635,99,,,,,,
0,0.25394800305366516,109,,,,,,
0,0.2685762345790863,119,,,,,,
0,0.26983746886253357,129,,,,,,
0,0.30744823813438416,139,,,,,,
0,0.21621431410312653,149,,,,,,
0,0.21144604682922363,159,,,,,,
0,0.18860435485839844,169,,,,,,
0,0.1644609421491623,179,,,,,,
0,0.27022820711135864,189,,,,,,
0,0.1306922435760498,199,,,,,,
0,0.16027888655662537,209,,,,,,
0,0.185061514377594,219,,,,,,
0,0.15286414325237274,229,,,,,,
0,0.16694997251033783,239,,,,,,
0,0.25810813903808594,249,,,,,,
0,0.12111781537532806,259,,,,,,
0,0.2528400123119354,269,,,,,,
0,0.20529787242412567,279,,,,,,
0,0.125797837972641,289,,,,,,
0,0.19099600613117218,299,,,,,,
0,0.14471900463104248,309,,,,,,
0,0.20406296849250793,319,,,,,,
0,0.1894010603427887,329,,,,,,
0,0.22632990777492523,339,,,,,,
0,,345,0.34781157970428467,0.2442857176065445,0.12184462696313858,0.3109263479709625,0.7975337505340576,
1,0.13740174472332,349,,,,,,
1,0.10062295198440552,359,,,,,,
1,0.12801377475261688,369,,,,,,
1,0.1697082817554474,379,,,,,,
1,0.13698993623256683,389,,,,,,
1,0.18672369420528412,399,,,,,,
1,0.17064188420772552,409,,,,,,
1,0.14356382191181183,419,,,,,,
1,0.1316496878862381,429,,,,,,
1,0.12122784554958344,439,,,,,,
1,0.21369780600070953,449,,,,,,
1,0.22404488921165466,459,,,,,,
1,0.19206075370311737,469,,,,,,
1,0.2515372931957245,479,,,,,,
1,0.23595330119132996,489,,,,,,
1,0.10922805219888687,499,,,,,,
1,0.12506596744060516,509,,,,,,
1,0.13224373757839203,519,,,,,,
1,0.33256903290748596,529,,,,,,
1,0.23369255661964417,539,,,,,,
1,0.09872003644704819,549,,,,,,
1,0.0906844288110733,559,,,,,,
1,0.14075462520122528,569,,,,,,
1,0.08950911462306976,579,,,,,,
1,0.32576796412467957,589,,,,,,
1,0.10736601054668427,599,,,,,,
1,0.1362682431936264,609,,,,,,
1,0.11293192952871323,619,,,,,,
1,0.1726558357477188,629,,,,,,
1,0.1597871035337448,639,,,,,,
1,0.18008247017860413,649,,,,,,
1,0.1145576536655426,659,,,,,,
1,0.12791131436824799,669,,,,,,
1,0.13217364251613617,679,,,,,,
1,0.1508518010377884,689,,,,,,
1,,691,0.397869348526001,0.30714285373687744,0.12081138044595718,0.3695891797542572,0.8165789842605591,
2,0.15483607351779938,699,,,,,,
2,0.1335650086402893,709,,,,,,
2,0.08009110391139984,719,,,,,,
2,0.11315831542015076,729,,,,,,
