step,epoch,train_loss,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_em,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em
9,0,2.765939950942993,,,,,,,,,,
19,0,1.8540163040161133,,,,,,,,,,
29,0,1.0814926624298096,,,,,,,,,,
39,0,2.226088523864746,,,,,,,,,,
49,0,2.264465093612671,,,,,,,,,,
50,0,,0.33971357345581055,0.3758789002895355,1.9558086395263672,0.20434781908988953,0.7896319031715393,,,,,
59,1,1.7886180877685547,,,,,,,,,,
69,1,1.868868350982666,,,,,,,,,,
79,1,1.3068547248840332,,,,,,,,,,
89,1,0.8900404572486877,,,,,,,,,,
99,1,1.5177017450332642,,,,,,,,,,
101,1,,0.43185916543006897,0.45767414569854736,1.7070327997207642,0.27391305565834045,0.8194496631622314,,,,,
109,2,1.4892514944076538,,,,,,,,,,
119,2,0.8767477869987488,,,,,,,,,,
129,2,1.2343395948410034,,,,,,,,,,
139,2,1.5664725303649902,,,,,,,,,,
149,2,0.8945682644844055,,,,,,,,,,
152,2,,0.5139605402946472,0.5348958373069763,1.5658787488937378,0.365217387676239,0.8456805944442749,,,,,
159,3,0.9926117062568665,,,,,,,,,,
169,3,0.9493852257728577,,,,,,,,,,
179,3,0.9897194504737854,,,,,,,,,,
189,3,1.295461654663086,,,,,,,,,,
199,3,1.4283778667449951,,,,,,,,,,
203,3,,0.541907012462616,0.5599120855331421,1.5131651163101196,0.38695651292800903,0.8556750416755676,,,,,
209,4,1.0457892417907715,,,,,,,,,,
219,4,1.0540800094604492,,,,,,,,,,
229,4,1.0538885593414307,,,,,,,,,,
239,4,1.1950217485427856,,,,,,,,,,
249,4,1.00018310546875,,,,,,,,,,
254,4,,0.5823362469673157,0.5953287482261658,1.4678233861923218,0.417391300201416,0.869136393070221,,,,,
255,5,,,,,,,0.869136393070221,0.5823362469673157,0.5953287482261658,1.4678233861923218,0.417391300201416
