train_loss,step,epoch,val_qa_bert_score,val_qa_em,val_loss,val_qa_sas,val_qa_answer_f1,test_loss
0.974939227104187,9,0,,,,,,
0.6692495942115784,19,0,,,,,,
0.2848621904850006,29,0,,,,,,
0.4184088110923767,39,0,,,,,,
0.4943341016769409,49,0,,,,,,
0.36088865995407104,59,0,,,,,,
0.35651546716690063,69,0,,,,,,
0.17978401482105255,79,0,,,,,,
0.2935422658920288,89,0,,,,,,
0.249629408121109,99,0,,,,,,
0.3929743468761444,109,0,,,,,,
0.15527565777301788,119,0,,,,,,
,124,0,0.8079789876937866,0.303964763879776,0.07918572425842285,0.37193605303764343,0.3613210916519165,
0.2835395932197571,129,1,,,,,,
0.2038882076740265,139,1,,,,,,
0.10379605740308762,149,1,,,,,,
0.07477064430713654,159,1,,,,,,
0.24892085790634155,169,1,,,,,,
0.20582295954227448,179,1,,,,,,
0.24053139984607697,189,1,,,,,,
0.32051438093185425,199,1,,,,,,
0.319326251745224,209,1,,,,,,
0.2613539397716522,219,1,,,,,,
0.2861182689666748,229,1,,,,,,
0.09737100452184677,239,1,,,,,,
0.1482335925102234,249,1,,,,,,
,249,1,0.8077334761619568,0.2951541841030121,0.06576572358608246,0.34320640563964844,0.3521063029766083,
0.13271431624889374,259,2,,,,,,
0.11210973560810089,269,2,,,,,,
0.13865692913532257,279,2,,,,,,
0.11264968663454056,289,2,,,,,,
0.11290112882852554,299,2,,,,,,
0.18060074746608734,309,2,,,,,,
0.12626376748085022,319,2,,,,,,
0.07007061690092087,329,2,,,,,,
0.11015309393405914,339,2,,,,,,
0.2921469509601593,349,2,,,,,,
0.0684884712100029,359,2,,,,,,
0.17302565276622772,369,2,,,,,,
,374,2,0.8182356357574463,0.3348017632961273,0.06716663390398026,0.38566458225250244,0.39133787155151367,
0.11474938690662384,379,3,,,,,,
0.08652039617300034,389,3,,,,,,
0.03627057373523712,399,3,,,,,,
0.052376121282577515,409,3,,,,,,
0.1367841511964798,419,3,,,,,,
0.09714015573263168,429,3,,,,,,
0.10440951585769653,439,3,,,,,,
0.1373576670885086,449,3,,,,,,
0.1363057941198349,459,3,,,,,,
0.04891611635684967,469,3,,,,,,
0.09307785332202911,479,3,,,,,,
0.020446717739105225,489,3,,,,,,
0.016998285427689552,499,3,,,,,,
,499,3,0.8271768093109131,0.3700440526008606,0.07430413365364075,0.4106261134147644,0.4204227030277252,
0.05181584134697914,509,4,,,,,,
0.022421179339289665,519,4,,,,,,
0.06520653516054153,529,4,,,,,,
0.036284033209085464,539,4,,,,,,
0.0389229841530323,549,4,,,,,,
0.06551924347877502,559,4,,,,,,
0.05191011354327202,569,4,,,,,,
0.025504956021904945,579,4,,,,,,
0.021105531603097916,589,4,,,,,,
0.10363859683275223,599,4,,,,,,
0.013543050736188889,609,4,,,,,,
0.07348989695310593,619,4,,,,,,
,624,4,0.8273552656173706,0.37444934248924255,0.08364799618721008,0.41302821040153503,0.4243766665458679,
,625,5,,,,,,0.08364799618721008
