epoch,train_loss,step,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_qa_sas,val_loss,test_loss
0,1.6366350650787354,9,,,,,,
0,0.3364781141281128,19,,,,,,
0,0.4706890285015106,29,,,,,,
0,0.9736324548721313,39,,,,,,
0,0.41147923469543457,49,,,,,,
0,0.2790473699569702,59,,,,,,
0,0.5685490369796753,69,,,,,,
0,0.315337210893631,79,,,,,,
0,0.20250006020069122,89,,,,,,
0,1.084248661994934,99,,,,,,
0,0.4864346385002136,109,,,,,,
0,,110,0.5598287582397461,0.4150943458080292,0.8546125292778015,0.5894602537155151,0.14107827842235565,
1,0.4338580071926117,119,,,,,,
1,0.47098633646965027,129,,,,,,
1,0.1850312203168869,139,,,,,,
1,0.15200012922286987,149,,,,,,
1,0.7016497254371643,159,,,,,,
1,0.17198607325553894,169,,,,,,
1,0.1969173401594162,179,,,,,,
1,0.31935232877731323,189,,,,,,
1,1.1010457277297974,199,,,,,,
1,0.6074442267417908,209,,,,,,
1,0.6337369084358215,219,,,,,,
1,,221,0.6413705945014954,0.5220125913619995,0.8816057443618774,0.6640856862068176,0.13628821074962616,
2,0.2551562190055847,229,,,,,,
2,0.2440815418958664,239,,,,,,
2,0.3687264621257782,249,,,,,,
2,0.5319927930831909,259,,,,,,
2,0.12664695084095,269,,,,,,
2,0.7405365705490112,279,,,,,,
2,0.29707568883895874,289,,,,,,
2,0.08643221110105515,299,,,,,,
2,0.17019164562225342,309,,,,,,
2,0.20518365502357483,319,,,,,,
2,0.16817718744277954,329,,,,,,
2,,332,0.645743191242218,0.5345911979675293,0.8827912211418152,0.6644970774650574,0.13443884253501892,
3,0.09364590793848038,339,,,,,,
3,0.04369058832526207,349,,,,,,
3,0.16516219079494476,359,,,,,,
3,0.22718548774719238,369,,,,,,
3,0.1707930713891983,379,,,,,,
3,0.19186271727085114,389,,,,,,
3,0.18447712063789368,399,,,,,,
3,0.1309339702129364,409,,,,,,
3,0.07694146782159805,419,,,,,,
3,0.029123693704605103,429,,,,,,
3,3.392476797103882,439,,,,,,
3,,443,0.6439870595932007,0.5408805012702942,0.881029486656189,0.6620407104492188,0.14068138599395752,
4,0.031094767153263092,449,,,,,,
4,0.07091410458087921,459,,,,,,
4,0.021683165803551674,469,,,,,,
4,0.10571129620075226,479,,,,,,
4,0.04446627199649811,489,,,,,,
4,0.04423774778842926,499,,,,,,
4,0.05422457680106163,509,,,,,,
4,0.14368978142738342,519,,,,,,
4,0.1351127177476883,529,,,,,,
4,0.7339395880699158,539,,,,,,
4,0.025813298299908638,549,,,,,,
4,,554,0.6348962783813477,0.5220125913619995,0.8781781196594238,0.6625654101371765,0.15055765211582184,
5,,555,,,,,,0.15055765211582184
