step,epoch,train_loss,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,test_loss
9,0,0.40420764684677124,,,,,,
19,0,0.26652443408966064,,,,,,
29,0,0.29051920771598816,,,,,,
39,0,0.18932054936885834,,,,,,
49,0,0.22238130867481232,,,,,,
59,0,0.2505203187465668,,,,,,
69,0,0.3928319215774536,,,,,,
79,0,0.28113338351249695,,,,,,
89,0,0.2001064121723175,,,,,,
99,0,0.23579742014408112,,,,,,
109,0,0.10802219808101654,,,,,,
119,0,0.27926748991012573,,,,,,
129,0,0.2108033299446106,,,,,,
139,0,0.17587366700172424,,,,,,
149,0,0.14229866862297058,,,,,,
159,0,0.1350032240152359,,,,,,
169,0,0.18742501735687256,,,,,,
179,0,0.1608678698539734,,,,,,
189,0,0.10968156903982162,,,,,,
199,0,0.11409436911344528,,,,,,
209,0,0.14274314045906067,,,,,,
219,0,0.07753072679042816,,,,,,
229,0,0.16129863262176514,,,,,,
239,0,0.15786264836788177,,,,,,
249,0,0.16473093628883362,,,,,,
259,0,0.21124525368213654,,,,,,
269,0,0.14556971192359924,,,,,,
279,0,0.14621557295322418,,,,,,
289,0,0.16258007287979126,,,,,,
299,0,0.210281103849411,,,,,,
309,0,0.19241903722286224,,,,,,
319,0,0.15694977343082428,,,,,,
329,0,0.1598307192325592,,,,,,
339,0,0.1390385776758194,,,,,,
349,0,0.18186551332473755,,,,,,
359,0,0.1910465657711029,,,,,,
369,0,0.07940548658370972,,,,,,
379,0,0.23568466305732727,,,,,,
389,0,0.06825261563062668,,,,,,
399,0,0.0897478386759758,,,,,,
409,0,0.10840203613042831,,,,,,
419,0,0.1394961178302765,,,,,,
429,0,0.09926001727581024,,,,,,
439,0,0.18304060399532318,,,,,,
449,0,0.14413504302501678,,,,,,
459,0,0.1592176854610443,,,,,,
469,0,0.27830758690834045,,,,,,
479,0,0.1001955047249794,,,,,,
489,0,0.09714977443218231,,,,,,
499,0,0.2171504944562912,,,,,,
509,0,0.11315120756626129,,,,,,
519,0,0.10310553014278412,,,,,,
529,0,0.13804785907268524,,,,,,
539,0,0.13495926558971405,,,,,,
549,0,0.11480363458395004,,,,,,
559,0,0.09281603991985321,,,,,,
569,0,0.0908237099647522,,,,,,
579,0,0.10508107393980026,,,,,,
589,0,0.20269480347633362,,,,,,
599,0,0.10634787380695343,,,,,,
609,0,0.3478699326515198,,,,,,
619,0,0.10528260469436646,,,,,,
629,0,0.13094452023506165,,,,,,
639,0,0.050271596759557724,,,,,,
649,0,0.09595995396375656,,,,,,
