step,epoch,train_loss,val_loss,val_qa_em,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,test_loss
9,0,0.8188523054122925,,,,,,
19,0,0.6760150194168091,,,,,,
29,0,0.5922966599464417,,,,,,
39,0,0.42068910598754883,,,,,,
49,0,0.4046145975589752,,,,,,
59,0,0.7614421844482422,,,,,,
69,0,0.5749431252479553,,,,,,
79,0,0.4008174240589142,,,,,,
89,0,0.3938741683959961,,,,,,
99,0,0.301795095205307,,,,,,
107,0,,0.1774388998746872,0.3405405282974243,0.5339270830154419,0.582656979560852,0.854847252368927,
109,1,0.5837178230285645,,,,,,
119,1,0.5420861840248108,,,,,,
129,1,0.27038997411727905,,,,,,
139,1,0.19076304137706757,,,,,,
149,1,0.3653040826320648,,,,,,
159,1,0.7600023150444031,,,,,,
169,1,0.2610979378223419,,,,,,
179,1,0.2501097321510315,,,,,,
189,1,0.32792121171951294,,,,,,
199,1,0.5968033075332642,,,,,,
209,1,0.44272494316101074,,,,,,
215,1,,0.1482211798429489,0.4000000059604645,0.5966898202896118,0.6327765583992004,0.87296062707901,
219,2,0.09512913972139359,,,,,,
229,2,0.23461931943893433,,,,,,
239,2,0.2821497619152069,,,,,,
249,2,0.6604351997375488,,,,,,
259,2,0.055658530443906784,,,,,,
269,2,0.18635956943035126,,,,,,
279,2,0.26461249589920044,,,,,,
289,2,0.34456977248191833,,,,,,
299,2,0.10389459133148193,,,,,,
309,2,0.2626182734966278,,,,,,
319,2,0.17359043657779694,,,,,,
323,2,,0.14514009654521942,0.41081079840660095,0.6132462024688721,0.6526026725769043,0.877196729183197,
329,3,0.17243541777133942,,,,,,
339,3,0.06631746888160706,,,,,,
349,3,0.30139127373695374,,,,,,
359,3,0.08573652803897858,,,,,,
369,3,0.16234154999256134,,,,,,
379,3,0.1537431925535202,,,,,,
389,3,0.14321614801883698,,,,,,
399,3,0.13165974617004395,,,,,,
409,3,0.45872628688812256,,,,,,
419,3,0.07081810384988785,,,,,,
429,3,0.13802248239517212,,,,,,
431,3,,0.15039460361003876,0.41081079840660095,0.6054556965827942,0.6424343585968018,0.8738173842430115,
439,4,0.06892762333154678,,,,,,
449,4,0.031990282237529755,,,,,,
459,4,0.22432495653629303,,,,,,
469,4,0.03276380896568298,,,,,,
479,4,0.03838181123137474,,,,,,
489,4,0.0508221872150898,,,,,,
499,4,0.8023526072502136,,,,,,
509,4,0.03229310363531113,,,,,,
519,4,0.07301706075668335,,,,,,
529,4,0.07582628726959229,,,,,,
539,4,0.03545698896050453,,,,,,
539,4,,0.16170407831668854,0.4324324429035187,0.6089909076690674,0.6463820338249207,0.8746188879013062,
540,5,,,,,,,0.16170407831668854
