step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_qa_em,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score
9,2.3279876708984375,0,,,,,,,,,,
19,2.5280120372772217,0,,,,,,,,,,
29,1.5481685400009155,0,,,,,,,,,,
39,1.5155012607574463,0,,,,,,,,,,
49,1.2194591760635376,0,,,,,,,,,,
51,,0,1.7508363723754883,0.4582309126853943,0.5064808130264282,0.8410778641700745,0.2931034564971924,,,,,
59,1.5361977815628052,1,,,,,,,,,,
69,2.0602731704711914,1,,,,,,,,,,
79,1.4846161603927612,1,,,,,,,,,,
89,1.6709901094436646,1,,,,,,,,,,
99,1.4196175336837769,1,,,,,,,,,,
103,,1,1.556028127670288,0.49692201614379883,0.5406605005264282,0.8551092147827148,0.3448275923728943,,,,,
109,1.3315187692642212,2,,,,,,,,,,
119,0.9495888948440552,2,,,,,,,,,,
129,2.377685785293579,2,,,,,,,,,,
139,1.373512625694275,2,,,,,,,,,,
149,1.7335244417190552,2,,,,,,,,,,
155,,2,1.4917364120483398,0.5026747584342957,0.5432350635528564,0.8556186556816101,0.35057470202445984,,,,,
159,1.0263864994049072,3,,,,,,,,,,
169,0.9331847429275513,3,,,,,,,,,,
179,0.40882059931755066,3,,,,,,,,,,
189,1.3489364385604858,3,,,,,,,,,,
199,1.7370246648788452,3,,,,,,,,,,
207,,3,1.4358538389205933,0.5141006112098694,0.5489168763160706,0.8623816967010498,0.36781609058380127,,,,,
209,0.8597025871276855,4,,,,,,,,,,
219,0.8592057824134827,4,,,,,,,,,,
229,1.3265708684921265,4,,,,,,,,,,
239,1.0178271532058716,4,,,,,,,,,,
249,0.895298182964325,4,,,,,,,,,,
259,1.697265625,4,,,,,,,,,,
259,,4,1.4144154787063599,0.5024091601371765,0.5403719544410706,0.860072910785675,0.3563218414783478,,,,,
260,,5,,,,,,0.36781609058380127,1.4358538389205933,0.5489168763160706,0.5141006112098694,0.8623816967010498
