step,epoch,train_loss,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_em,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em
9,0,2.8091981410980225,,,,,,,,,,
19,0,2.192782163619995,,,,,,,,,,
29,0,2.481844663619995,,,,,,,,,,
39,0,2.0538547039031982,,,,,,,,,,
49,0,1.076677680015564,,,,,,,,,,
51,0,,0.3213658928871155,0.3597351014614105,1.745259165763855,0.16371680796146393,0.781267523765564,,,,,
59,1,1.9807735681533813,,,,,,,,,,
69,1,1.8823421001434326,,,,,,,,,,
79,1,1.3179889917373657,,,,,,,,,,
89,1,1.518960952758789,,,,,,,,,,
99,1,1.5267194509506226,,,,,,,,,,
103,1,,0.4164837896823883,0.4403747618198395,1.444801926612854,0.25221237540245056,0.8155871629714966,,,,,
109,2,2.090582847595215,,,,,,,,,,
119,2,1.1313618421554565,,,,,,,,,,
129,2,0.9124084711074829,,,,,,,,,,
139,2,1.7117522954940796,,,,,,,,,,
149,2,1.023558259010315,,,,,,,,,,
155,2,,0.47118398547172546,0.4912048280239105,1.3406195640563965,0.32300883531570435,0.8321532607078552,,,,,
159,3,1.6151279211044312,,,,,,,,,,
169,3,1.4947311878204346,,,,,,,,,,
179,3,0.7797226309776306,,,,,,,,,,
189,3,0.6941535472869873,,,,,,,,,,
199,3,1.3665661811828613,,,,,,,,,,
207,3,,0.4923553764820099,0.5198343992233276,1.248441219329834,0.32743361592292786,0.84078049659729,,,,,
209,4,1.2874350547790527,,,,,,,,,,
219,4,1.2696611881256104,,,,,,,,,,
229,4,1.785194754600525,,,,,,,,,,
239,4,0.7238740921020508,,,,,,,,,,
249,4,0.33110949397087097,,,,,,,,,,
259,4,3.213876485824585,,,,,,,,,,
259,4,,0.510310173034668,0.5289815068244934,1.2146376371383667,0.36283186078071594,0.8458439111709595,,,,,
260,5,,,,,,,0.8458439111709595,0.510310173034668,0.5289815068244934,1.2146376371383667,0.36283186078071594
