train_loss,epoch,step,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_bert_score,val_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_em
0.3250643014907837,0,9,,,,,,,,,,
0.3181050717830658,0,19,,,,,,,,,,
0.20441532135009766,0,29,,,,,,,,,,
0.14599192142486572,0,39,,,,,,,,,,
0.2237028181552887,0,49,,,,,,,,,,
0.1574670672416687,0,59,,,,,,,,,,
0.18946664035320282,0,69,,,,,,,,,,
0.22226378321647644,0,79,,,,,,,,,,
0.11792173236608505,0,89,,,,,,,,,,
0.16370831429958344,0,99,,,,,,,,,,
0.11702725291252136,0,109,,,,,,,,,,
,0,118,0.4222887456417084,0.18087629973888397,0.49371257424354553,0.874031662940979,0.3657587468624115,,,,,
0.14531047642230988,1,119,,,,,,,,,,
0.1514117270708084,1,129,,,,,,,,,,
0.14101052284240723,1,139,,,,,,,,,,
0.1404729038476944,1,149,,,,,,,,,,
0.1032228022813797,1,159,,,,,,,,,,
0.11998871713876724,1,169,,,,,,,,,,
0.12298104912042618,1,179,,,,,,,,,,
0.17434316873550415,1,189,,,,,,,,,,
0.12552842497825623,1,199,,,,,,,,,,
0.11106164008378983,1,209,,,,,,,,,,
0.10353317856788635,1,219,,,,,,,,,,
0.1325703114271164,1,229,,,,,,,,,,
,1,237,0.5099573731422424,0.16389772295951843,0.5644546747207642,0.8922367691993713,0.4649805426597595,,,,,
0.11406288295984268,2,239,,,,,,,,,,
0.10155349224805832,2,249,,,,,,,,,,
0.1627775877714157,2,259,,,,,,,,,,
0.10514607280492783,2,269,,,,,,,,,,
0.10857431590557098,2,279,,,,,,,,,,
0.10255938768386841,2,289,,,,,,,,,,
0.08365797251462936,2,299,,,,,,,,,,
0.14863725006580353,2,309,,,,,,,,,,
0.10719772428274155,2,319,,,,,,,,,,
0.09302007406949997,2,329,,,,,,,,,,
0.08730819076299667,2,339,,,,,,,,,,
0.09175165742635727,2,349,,,,,,,,,,
,2,356,0.5208910703659058,0.1570916324853897,0.5702062249183655,0.8941344022750854,0.47665369510650635,,,,,
0.08791161328554153,3,359,,,,,,,,,,
0.09885646402835846,3,369,,,,,,,,,,
0.08465790003538132,3,379,,,,,,,,,,
0.13112697005271912,3,389,,,,,,,,,,
0.07812090963125229,3,399,,,,,,,,,,
0.13303953409194946,3,409,,,,,,,,,,
0.08456670492887497,3,419,,,,,,,,,,
0.12906719744205475,3,429,,,,,,,,,,
0.08978895097970963,3,439,,,,,,,,,,
0.26552918553352356,3,449,,,,,,,,,,
0.061198774725198746,3,459,,,,,,,,,,
0.08736051619052887,3,469,,,,,,,,,,
,3,475,0.5414659380912781,0.15624882280826569,0.5831279754638672,0.8983919620513916,0.5,,,,,
0.0757242813706398,4,479,,,,,,,,,,
0.0804901123046875,4,489,,,,,,,,,,
0.18335296213626862,4,499,,,,,,,,,,
0.11570646613836288,4,509,,,,,,,,,,
0.10745030641555786,4,519,,,,,,,,,,
0.04943302646279335,4,529,,,,,,,,,,
0.07159429788589478,4,539,,,,,,,,,,
0.06245872378349304,4,549,,,,,,,,,,
0.17659394443035126,4,559,,,,,,,,,,
0.1647903472185135,4,569,,,,,,,,,,
0.06892663985490799,4,579,,,,,,,,,,
0.08266133815050125,4,589,,,,,,,,,,
,4,594,0.5453343391418457,0.15694788098335266,0.5915097594261169,0.9006376266479492,0.5019454956054688,,,,,
,5,595,,,,,,0.15694788098335266,0.5915097594261169,0.9006376266479492,0.5453343391418457,0.5019454956054688
