step,train_loss,epoch,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,test_loss
9,0.5000015497207642,0,,,,,,
19,0.22459913790225983,0,,,,,,
29,0.1664770543575287,0,,,,,,
39,0.34433966875076294,0,,,,,,
49,0.2981824576854706,0,,,,,,
59,0.19089514017105103,0,,,,,,
69,0.10092216730117798,0,,,,,,
79,0.1544639766216278,0,,,,,,
89,0.4461912214756012,0,,,,,,
99,0.18960103392601013,0,,,,,,
109,0.13578303158283234,0,,,,,,
119,0.331363707780838,0,,,,,,
129,0.6111268997192383,0,,,,,,
139,0.26596778631210327,0,,,,,,
149,0.25271400809288025,0,,,,,,
159,0.4254453480243683,0,,,,,,
169,0.263292133808136,0,,,,,,
179,0.9411203265190125,0,,,,,,
189,0.4308653473854065,0,,,,,,
199,0.15570750832557678,0,,,,,,
209,0.1574902981519699,0,,,,,,
219,0.16113807260990143,0,,,,,,
229,0.3623262047767639,0,,,,,,
239,0.22763441503047943,0,,,,,,
249,0.15576297044754028,0,,,,,,
259,0.3506964445114136,0,,,,,,
269,0.2833239436149597,0,,,,,,
279,0.11209438741207123,0,,,,,,
289,0.450094610452652,0,,,,,,
299,0.16585683822631836,0,,,,,,
309,0.09529215097427368,0,,,,,,
319,0.40347155928611755,0,,,,,,
329,0.14764505624771118,0,,,,,,
339,0.2359480857849121,0,,,,,,
345,,0,0.2142857164144516,0.11804310232400894,0.28335779905319214,0.7918079495429993,0.3355177044868469,
349,0.12382975965738297,1,,,,,,
359,0.23166044056415558,1,,,,,,
369,0.15235915780067444,1,,,,,,
379,0.12949073314666748,1,,,,,,
389,0.23738671839237213,1,,,,,,
399,0.15505041182041168,1,,,,,,
409,0.12691320478916168,1,,,,,,
419,0.15830670297145844,1,,,,,,
429,0.5438876152038574,1,,,,,,
439,0.1101536676287651,1,,,,,,
449,0.2988775074481964,1,,,,,,
459,0.22110232710838318,1,,,,,,
469,0.2294081151485443,1,,,,,,
479,0.1829635202884674,1,,,,,,
489,0.09580665081739426,1,,,,,,
499,0.10602989792823792,1,,,,,,
509,0.1346317082643509,1,,,,,,
519,0.14981374144554138,1,,,,,,
529,0.5835956931114197,1,,,,,,
539,0.1788138598203659,1,,,,,,
549,0.10520025342702866,1,,,,,,
559,0.07800258696079254,1,,,,,,
569,0.1328539103269577,1,,,,,,
