epoch,step,train_loss,val_qa_bert_score,val_qa_em,val_loss,val_qa_sas,val_qa_answer_f1,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_avg_qa_bert_score
0,9,0.380963534116745,,,,,,,,,,
0,19,0.26200395822525024,,,,,,,,,,
0,29,0.2806476354598999,,,,,,,,,,
0,39,0.13004326820373535,,,,,,,,,,
0,49,0.16990558803081512,,,,,,,,,,
0,59,0.19212491810321808,,,,,,,,,,
0,69,0.13941846787929535,,,,,,,,,,
0,79,0.14701460301876068,,,,,,,,,,
0,89,0.13824111223220825,,,,,,,,,,
0,90,,0.864554226398468,0.3356643319129944,0.14458903670310974,0.4570041298866272,0.40225204825401306,,,,,
1,99,0.20340612530708313,,,,,,,,,,
1,109,0.15138651430606842,,,,,,,,,,
1,119,0.15570670366287231,,,,,,,,,,
1,129,0.1616366058588028,,,,,,,,,,
1,139,0.10298453271389008,,,,,,,,,,
1,149,0.14744633436203003,,,,,,,,,,
1,159,0.10619062185287476,,,,,,,,,,
1,169,0.11338243633508682,,,,,,,,,,
1,179,0.07910744100809097,,,,,,,,,,
1,181,,0.882399320602417,0.4289044141769409,0.13253125548362732,0.5266791582107544,0.483887255191803,,,,,
2,189,0.14087840914726257,,,,,,,,,,
2,199,0.11391786485910416,,,,,,,,,,
2,209,0.10851116478443146,,,,,,,,,,
2,219,0.10482814908027649,,,,,,,,,,
2,229,0.14240926504135132,,,,,,,,,,
2,239,0.11381469666957855,,,,,,,,,,
2,249,0.11548350006341934,,,,,,,,,,
2,259,0.09644564986228943,,,,,,,,,,
2,269,0.12404974550008774,,,,,,,,,,
2,272,,0.8849723935127258,0.43589743971824646,0.13205376267433167,0.5352512001991272,0.4933319091796875,,,,,
3,279,0.11233413219451904,,,,,,,,,,
3,289,0.17715564370155334,,,,,,,,,,
3,299,0.08423419296741486,,,,,,,,,,
3,309,0.10890211910009384,,,,,,,,,,
3,319,0.10865097492933273,,,,,,,,,,
3,329,0.16029201447963715,,,,,,,,,,
3,339,0.11981125921010971,,,,,,,,,,
3,349,0.09705439954996109,,,,,,,,,,
3,359,0.12087655812501907,,,,,,,,,,
3,363,,0.8900082111358643,0.4545454680919647,0.1296880841255188,0.5479329228401184,0.5103635787963867,,,,,
4,369,0.09122622013092041,,,,,,,,,,
4,379,0.11390320211648941,,,,,,,,,,
4,389,0.08339127153158188,,,,,,,,,,
4,399,0.07664234191179276,,,,,,,,,,
4,409,0.09817690402269363,,,,,,,,,,
4,419,0.10678163170814514,,,,,,,,,,
4,429,0.09328129142522812,,,,,,,,,,
4,439,0.06898247450590134,,,,,,,,,,
4,449,0.0664074569940567,,,,,,,,,,
4,454,,0.8908663392066956,0.46386945247650146,0.12688076496124268,0.5569390058517456,0.515347957611084,,,,,
5,455,,,,,,,0.12688076496124268,0.515347957611084,0.5569390058517456,0.46386945247650146,0.8908663392066956
