step,epoch,train_loss,val_qa_em,val_qa_sas,val_qa_bert_score,val_loss,val_qa_answer_f1,test_loss
9,0,0.8034127950668335,,,,,,
19,0,0.5159232020378113,,,,,,
29,0,0.6238536834716797,,,,,,
39,0,0.28424298763275146,,,,,,
49,0,0.2603900730609894,,,,,,
59,0,0.2996020019054413,,,,,,
69,0,0.4546186327934265,,,,,,
79,0,0.7733331322669983,,,,,,
89,0,0.2547335922718048,,,,,,
99,0,0.8351339101791382,,,,,,
109,0,0.7602262496948242,,,,,,
119,0,0.6165544390678406,,,,,,
129,0,0.10899034142494202,,,,,,
139,0,0.17528103291988373,,,,,,
149,0,0.3442822992801666,,,,,,
159,0,0.3114369809627533,,,,,,
169,0,0.23690751194953918,,,,,,
179,0,0.5998976826667786,,,,,,
189,0,0.0711507797241211,,,,,,
199,0,0.2887996733188629,,,,,,
209,0,0.31207793951034546,,,,,,
219,0,0.36361250281333923,,,,,,
229,0,0.45064517855644226,,,,,,
239,0,0.13743489980697632,,,,,,
249,0,0.4776618778705597,,,,,,
259,0,0.24125836789608002,,,,,,
269,0,0.08691522479057312,,,,,,
279,0,0.15606923401355743,,,,,,
289,0,0.36516910791397095,,,,,,
299,0,0.24413087964057922,,,,,,
309,0,0.10786501318216324,,,,,,
319,0,0.4055872857570648,,,,,,
329,0,0.23673202097415924,,,,,,
333,0,,0.48051947355270386,0.6012473106384277,0.8736896514892578,0.13960140943527222,0.581398069858551,
339,1,0.1545330286026001,,,,,,
349,1,0.21269269287586212,,,,,,
359,1,0.3983631432056427,,,,,,
369,1,0.2865581810474396,,,,,,
379,1,0.18323558568954468,,,,,,
389,1,0.19350992143154144,,,,,,
399,1,0.4933811128139496,,,,,,
409,1,0.42966023087501526,,,,,,
419,1,0.4421723484992981,,,,,,
429,1,0.10915880650281906,,,,,,
439,1,0.07740595191717148,,,,,,
449,1,1.3004440069198608,,,,,,
459,1,0.30893033742904663,,,,,,
469,1,0.06559418141841888,,,,,,
479,1,0.05251091718673706,,,,,,
489,1,0.1505289077758789,,,,,,
499,1,0.12852832674980164,,,,,,
509,1,0.16603641211986542,,,,,,
519,1,0.2461847960948944,,,,,,
529,1,0.0778619572520256,,,,,,
539,1,0.2915845513343811,,,,,,
549,1,0.12359900772571564,,,,,,
559,1,0.1497441977262497,,,,,,
569,1,0.2338738590478897,,,,,,
579,1,0.04168953001499176,,,,,,
589,1,0.20108066499233246,,,,,,
599,1,0.21215686202049255,,,,,,
609,1,0.29165342450141907,,,,,,
619,1,0.3128531873226166,,,,,,
629,1,0.04499310627579689,,,,,,
639,1,0.1531423032283783,,,,,,
649,1,0.08202651143074036,,,,,,
659,1,0.1809699684381485,,,,,,
667,1,,0.5541125535964966,0.6628977060317993,0.8945255279541016,0.13497015833854675,0.6538324952125549,
669,2,0.1658167690038681,,,,,,
679,2,0.14447350800037384,,,,,,
689,2,0.15659429132938385,,,,,,
699,2,0.1469954401254654,,,,,,
709,2,0.13680021464824677,,,,,,
719,2,0.1436011791229248,,,,,,
729,2,0.08876694738864899,,,,,,
739,2,0.3205360174179077,,,,,,
749,2,0.10831046849489212,,,,,,
759,2,0.08608198165893555,,,,,,
769,2,0.03819682076573372,,,,,,
779,2,0.05846046656370163,,,,,,
789,2,0.08545532822608948,,,,,,
799,2,0.3044281601905823,,,,,,
809,2,0.6252089738845825,,,,,,
819,2,0.12870502471923828,,,,,,
829,2,0.016983266919851303,,,,,,
839,2,0.10136213153600693,,,,,,
849,2,0.03530966490507126,,,,,,
859,2,0.09550439566373825,,,,,,
869,2,0.02866322547197342,,,,,,
879,2,0.14978143572807312,,,,,,
889,2,0.048506539314985275,,,,,,
899,2,0.09500991553068161,,,,,,
909,2,0.2192193865776062,,,,,,
919,2,0.13215051591396332,,,,,,
929,2,0.05191462114453316,,,,,,
939,2,0.1488490253686905,,,,,,
949,2,0.07902310788631439,,,,,,
959,2,0.1753271520137787,,,,,,
969,2,0.10691637545824051,,,,,,
979,2,0.06351591646671295,,,,,,
989,2,0.0751117616891861,,,,,,
999,2,0.03781772404909134,,,,,,
1001,2,,0.5541125535964966,0.6605333685874939,0.8938679695129395,0.14880125224590302,0.6516819596290588,
1009,3,0.02526470646262169,,,,,,
1019,3,0.043904829770326614,,,,,,
1029,3,0.02950643002986908,,,,,,
1039,3,0.06730273365974426,,,,,,
1049,3,0.028175394982099533,,,,,,
1059,3,0.00687270937487483,,,,,,
1069,3,0.045571815222501755,,,,,,
1079,3,0.01449954230338335,,,,,,
1089,3,0.04023772105574608,,,,,,
1099,3,0.06170137971639633,,,,,,
1109,3,0.0262147244066,,,,,,
1119,3,0.05651625618338585,,,,,,
1129,3,0.12368258833885193,,,,,,
1139,3,0.009520519524812698,,,,,,
1149,3,0.08544664084911346,,,,,,
1159,3,0.011668493039906025,,,,,,
1169,3,0.039601776748895645,,,,,,
1179,3,0.26843786239624023,,,,,,
1189,3,0.011879915371537209,,,,,,
1199,3,0.05965140461921692,,,,,,
1209,3,0.012612896040081978,,,,,,
1219,3,0.047559723258018494,,,,,,
1229,3,0.086420439183712,,,,,,
1239,3,0.04283848777413368,,,,,,
