train_loss,step,epoch,val_qa_bert_score,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,test_loss
0.9708215594291687,9,0,,,,,,
0.2960667610168457,19,0,,,,,,
0.29595163464546204,29,0,,,,,,
0.43104690313339233,39,0,,,,,,
0.2685348689556122,49,0,,,,,,
0.30017146468162537,59,0,,,,,,
0.3858223557472229,69,0,,,,,,
0.2870154082775116,79,0,,,,,,
0.37976813316345215,89,0,,,,,,
0.34026777744293213,99,0,,,,,,
0.23959043622016907,109,0,,,,,,
0.2223988175392151,119,0,,,,,,
,120,0,0.8055040836334229,0.29290884733200073,0.08396763354539871,0.22007721662521362,0.2723047733306885,
0.2864289879798889,129,1,,,,,,
0.1953282356262207,139,1,,,,,,
0.31284040212631226,149,1,,,,,,
0.14192506670951843,159,1,,,,,,
0.20152704417705536,169,1,,,,,,
0.2665007710456848,179,1,,,,,,
0.2438456416130066,189,1,,,,,,
0.24582789838314056,199,1,,,,,,
0.22872279584407806,209,1,,,,,,
0.22911690175533295,219,1,,,,,,
0.26858651638031006,229,1,,,,,,
0.27831175923347473,239,1,,,,,,
,241,1,0.8106268048286438,0.31506264209747314,0.06770038604736328,0.25868725776672363,0.2993946969509125,
0.17663921415805817,249,2,,,,,,
0.12900015711784363,259,2,,,,,,
0.13984543085098267,269,2,,,,,,
0.11986952275037766,279,2,,,,,,
0.08190852403640747,289,2,,,,,,
0.12966784834861755,299,2,,,,,,
0.10791133344173431,309,2,,,,,,
0.1829773634672165,319,2,,,,,,
0.0910806730389595,329,2,,,,,,
0.08855188637971878,339,2,,,,,,
0.15432488918304443,349,2,,,,,,
0.11126703023910522,359,2,,,,,,
,362,2,0.8207783699035645,0.3505185544490814,0.06524810940027237,0.29729729890823364,0.33566391468048096,
0.1084551215171814,369,3,,,,,,
0.12373367697000504,379,3,,,,,,
0.1483881175518036,389,3,,,,,,
0.14438937604427338,399,3,,,,,,
0.11663587391376495,409,3,,,,,,
0.06862558424472809,419,3,,,,,,
0.1560472995042801,429,3,,,,,,
0.07546091079711914,439,3,,,,,,
0.05755545198917389,449,3,,,,,,
0.047760579735040665,459,3,,,,,,
0.15466153621673584,469,3,,,,,,
0.05094234272837639,479,3,,,,,,
,483,3,0.8365849852561951,0.3949073851108551,0.06773409992456436,0.33976835012435913,0.3730236291885376,
0.05573287233710289,489,4,,,,,,
0.03745219483971596,499,4,,,,,,
0.11062652617692947,509,4,,,,,,
0.04541571065783501,519,4,,,,,,
0.11051638424396515,529,4,,,,,,
0.03032817132771015,539,4,,,,,,
0.11398431658744812,549,4,,,,,,
0.08060714602470398,559,4,,,,,,
0.04492811858654022,569,4,,,,,,
0.030415507033467293,579,4,,,,,,
0.038470763713121414,589,4,,,,,,
0.028071630746126175,599,4,,,,,,
,604,4,0.8372602462768555,0.3980352282524109,0.07642146199941635,0.33976835012435913,0.3824847638607025,
,605,5,,,,,,0.07642146199941635
