epoch,step,train_loss,val_qa_em,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_bert_score,test_loss
0,9,5.298813819885254,,,,,,
0,19,3.7249393463134766,,,,,,
0,29,2.893509864807129,,,,,,
0,39,2.326075792312622,,,,,,
0,49,1.7633048295974731,,,,,,
0,59,1.2106842994689941,,,,,,
0,69,0.9361209273338318,,,,,,
0,79,0.5479105114936829,,,,,,
0,89,0.4436360001564026,,,,,,
0,99,0.20237265527248383,,,,,,
0,109,0.1513317972421646,,,,,,
0,118,,0.022058824077248573,0.14534930884838104,0.18921861052513123,0.13640457391738892,0.7258198261260986,
1,119,0.17601202428340912,,,,,,
1,129,0.1664915382862091,,,,,,
1,139,0.16563251614570618,,,,,,
1,149,0.18160444498062134,,,,,,
1,159,0.07786539196968079,,,,,,
1,169,0.050194334238767624,,,,,,
1,179,0.10815612971782684,,,,,,
1,189,0.05233607441186905,,,,,,
1,199,0.06672988831996918,,,,,,
1,209,0.11524311453104019,,,,,,
1,219,0.14178510010242462,,,,,,
1,229,0.1049162819981575,,,,,,
1,237,,0.029411764815449715,0.15811632573604584,0.20252148807048798,0.0647977814078331,0.7305301427841187,
2,239,0.04448161646723747,,,,,,
2,249,0.10133474320173264,,,,,,
2,259,0.03338715806603432,,,,,,
2,269,0.04782438650727272,,,,,,
2,279,0.02782212570309639,,,,,,
2,289,0.03934839740395546,,,,,,
2,299,0.0694100558757782,,,,,,
2,309,0.07964557409286499,,,,,,
2,319,0.04861794039607048,,,,,,
2,329,0.027290163561701775,,,,,,
2,339,0.06534598767757416,,,,,,
2,349,0.014533871784806252,,,,,,
2,356,,0.033088237047195435,0.16375595331192017,0.20728787779808044,0.06772680580615997,0.7323707342147827,
3,359,0.03821686655282974,,,,,,
3,369,0.038120996206998825,,,,,,
3,379,0.01243376825004816,,,,,,
3,389,0.049946580082178116,,,,,,
3,399,0.010495576076209545,,,,,,
3,409,0.014478946104645729,,,,,,
3,419,0.006217083428055048,,,,,,
3,429,0.008720825426280499,,,,,,
3,439,0.004627580754458904,,,,,,
3,449,0.005152236204594374,,,,,,
3,459,0.004568530712276697,,,,,,
3,469,0.00519648939371109,,,,,,
3,475,,0.036764707416296005,0.16969488561153412,0.21664893627166748,0.07738680392503738,0.7365337610244751,
4,479,0.009825549088418484,,,,,,
4,489,0.006631382275372744,,,,,,
4,499,0.005386277101933956,,,,,,
4,509,0.007813970558345318,,,,,,
4,519,0.009202653542160988,,,,,,
4,529,0.005618648137897253,,,,,,
4,539,0.015402489341795444,,,,,,
4,549,0.003106535878032446,,,,,,
4,559,0.003849009983241558,,,,,,
4,569,0.0036843186244368553,,,,,,
4,579,0.003666364587843418,,,,,,
4,589,0.00214627874083817,,,,,,
4,594,,0.033088237047195435,0.16361993551254272,0.20945367217063904,0.1259775012731552,0.7344472408294678,
5,595,,,,,,,0.1259775012731552
