epoch,step,train_loss,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,test_avg_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score
0,9,0.3383371829986572,,,,,,,,,,
0,19,0.3149207830429077,,,,,,,,,,
0,29,0.16215269267559052,,,,,,,,,,
0,39,0.13423603773117065,,,,,,,,,,
0,49,0.22137221693992615,,,,,,,,,,
0,59,0.166866734623909,,,,,,,,,,
0,69,0.2046024054288864,,,,,,,,,,
0,79,0.1518787443637848,,,,,,,,,,
0,89,0.13464666903018951,,,,,,,,,,
0,99,0.1288321316242218,,,,,,,,,,
0,109,0.1234450712800026,,,,,,,,,,
0,118,,0.33268481492996216,0.18591387569904327,0.38943833112716675,0.8641164898872375,0.47136151790618896,,,,,
1,119,0.24104340374469757,,,,,,,,,,
1,129,0.14612331986427307,,,,,,,,,,
1,139,0.12599655985832214,,,,,,,,,,
1,149,0.17433570325374603,,,,,,,,,,
1,159,0.12718680500984192,,,,,,,,,,
1,169,0.10699333995580673,,,,,,,,,,
1,179,0.1233510673046112,,,,,,,,,,
1,189,0.08074618875980377,,,,,,,,,,
1,199,0.10330093652009964,,,,,,,,,,
1,209,0.10809217393398285,,,,,,,,,,
1,219,0.10812906920909882,,,,,,,,,,
1,229,0.13279736042022705,,,,,,,,,,
1,237,,0.45136186480522156,0.16739128530025482,0.4969114661216736,0.8889365792274475,0.5586557388305664,,,,,
2,239,0.08682843297719955,,,,,,,,,,
2,249,0.10461592674255371,,,,,,,,,,
2,259,0.1311855912208557,,,,,,,,,,
2,269,0.10365524142980576,,,,,,,,,,
2,279,0.1081354096531868,,,,,,,,,,
2,289,0.1251765340566635,,,,,,,,,,
2,299,0.10161127895116806,,,,,,,,,,
2,309,0.1428409367799759,,,,,,,,,,
2,319,0.10642852634191513,,,,,,,,,,
2,329,0.07046814262866974,,,,,,,,,,
2,339,0.09195893257856369,,,,,,,,,,
2,349,0.09633585810661316,,,,,,,,,,
2,356,,0.49221789836883545,0.16161079704761505,0.5356388688087463,0.8980430364608765,0.5834148526191711,,,,,
3,359,0.09086883068084717,,,,,,,,,,
3,369,0.06402890384197235,,,,,,,,,,
3,379,0.07484270632266998,,,,,,,,,,
3,389,0.12854741513729095,,,,,,,,,,
3,399,0.06584679335355759,,,,,,,,,,
3,409,0.11039596050977707,,,,,,,,,,
3,419,0.0731673538684845,,,,,,,,,,
3,429,0.08175688982009888,,,,,,,,,,
3,439,0.08497956395149231,,,,,,,,,,
3,449,0.2913469672203064,,,,,,,,,,
3,459,0.08637049794197083,,,,,,,,,,
3,469,0.10243415832519531,,,,,,,,,,
3,475,,0.4941634237766266,0.15706634521484375,0.5377503037452698,0.898565948009491,0.586145281791687,,,,,
4,479,0.0666225329041481,,,,,,,,,,
4,489,0.07758478820323944,,,,,,,,,,
4,499,0.22837607562541962,,,,,,,,,,
4,509,0.07419206947088242,,,,,,,,,,
4,519,0.11452361941337585,,,,,,,,,,
4,529,0.04677828028798103,,,,,,,,,,
4,539,0.09914717078208923,,,,,,,,,,
4,549,0.06783851981163025,,,,,,,,,,
4,559,0.17418064177036285,,,,,,,,,,
4,569,0.12798826396465302,,,,,,,,,,
4,579,0.07005977630615234,,,,,,,,,,
4,589,0.08287520706653595,,,,,,,,,,
4,594,,0.5116731524467468,0.15787450969219208,0.5549313426017761,0.902355432510376,0.5980668663978577,,,,,
5,595,,,,,,,0.5980668663978577,0.15787450969219208,0.5116731524467468,0.5549313426017761,0.902355432510376
