step,train_loss,epoch,val_qa_answer_f1,val_loss,val_qa_em,val_qa_bert_score,val_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
9,0.3640821576118469,0,,,,,,,,,,
19,0.3387317657470703,0,,,,,,,,,,
29,0.18957611918449402,0,,,,,,,,,,
39,0.19885726273059845,0,,,,,,,,,,
49,0.2157835066318512,0,,,,,,,,,,
59,0.1417321115732193,0,,,,,,,,,,
69,0.098904088139534,0,,,,,,,,,,
79,0.16013041138648987,0,,,,,,,,,,
89,0.14225035905838013,0,,,,,,,,,,
93,,0,0.39949867129325867,0.10955101251602173,0.3376963436603546,0.8657090663909912,0.4691416323184967,,,,,
99,0.30856239795684814,1,,,,,,,,,,
109,0.1284358948469162,1,,,,,,,,,,
119,0.12160129100084305,1,,,,,,,,,,
129,0.11412147432565689,1,,,,,,,,,,
139,0.09318866580724716,1,,,,,,,,,,
149,0.0875849649310112,1,,,,,,,,,,
159,0.10903547704219818,1,,,,,,,,,,
169,0.09905114024877548,1,,,,,,,,,,
179,0.15522260963916779,1,,,,,,,,,,
187,,1,0.5118529200553894,0.09338533878326416,0.463350772857666,0.8892257213592529,0.5570780634880066,,,,,
189,0.11689165234565735,2,,,,,,,,,,
199,0.11691940575838089,2,,,,,,,,,,
209,0.09855854511260986,2,,,,,,,,,,
219,0.10376933962106705,2,,,,,,,,,,
229,0.15478456020355225,2,,,,,,,,,,
239,0.07114308327436447,2,,,,,,,,,,
249,0.16332729160785675,2,,,,,,,,,,
259,0.08302516490221024,2,,,,,,,,,,
269,0.11709825694561005,2,,,,,,,,,,
279,0.08792097866535187,2,,,,,,,,,,
281,,2,0.5370951890945435,0.08789868652820587,0.4921466112136841,0.8946380615234375,0.5819498896598816,,,,,
289,0.09270952641963959,3,,,,,,,,,,
299,0.09215908497571945,3,,,,,,,,,,
309,0.09148847311735153,3,,,,,,,,,,
319,0.09129596501588821,3,,,,,,,,,,
329,0.11090478301048279,3,,,,,,,,,,
339,0.08686654269695282,3,,,,,,,,,,
349,0.10035289824008942,3,,,,,,,,,,
359,0.1446894109249115,3,,,,,,,,,,
369,0.10325484722852707,3,,,,,,,,,,
375,,3,0.5634444355964661,0.08375722914934158,0.5209423899650574,0.9009144306182861,0.6036784052848816,,,,,
379,0.0669601708650589,4,,,,,,,,,,
389,0.12682130932807922,4,,,,,,,,,,
399,0.10222870856523514,4,,,,,,,,,,
409,0.09080743044614792,4,,,,,,,,,,
419,0.10147598385810852,4,,,,,,,,,,
429,0.09792438894510269,4,,,,,,,,,,
439,0.10123056173324585,4,,,,,,,,,,
449,0.10524524748325348,4,,,,,,,,,,
459,0.15302519500255585,4,,,,,,,,,,
469,0.08613980561494827,4,,,,,,,,,,
469,,4,0.5906168222427368,0.0828559547662735,0.5471203923225403,0.9074020981788635,0.6252543330192566,,,,,
470,,5,,,,,,0.5906168222427368,0.0828559547662735,0.9074020981788635,0.5471203923225403,0.6252543330192566
