step,epoch,train_loss,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_qa_sas,test_loss
9,0,0.10812068730592728,,,,,,
19,0,0.05594882369041443,,,,,,
29,0,0.08278602361679077,,,,,,
39,0,0.06655877828598022,,,,,,
49,0,0.053304266184568405,,,,,,
59,0,0.051037292927503586,,,,,,
69,0,0.05440952628850937,,,,,,
79,0,0.09261573851108551,,,,,,
89,0,0.04285694286227226,,,,,,
99,0,0.04533421993255615,,,,,,
109,0,0.0508696585893631,,,,,,
119,0,0.05233893543481827,,,,,,
129,0,0.04626191407442093,,,,,,
139,0,0.0457310788333416,,,,,,
149,0,0.05729524418711662,,,,,,
159,0,0.04879656806588173,,,,,,
169,0,0.05217079073190689,,,,,,
179,0,0.05833211541175842,,,,,,
189,0,0.08108635991811752,,,,,,
199,0,0.06558246165513992,,,,,,
209,0,0.06917833536863327,,,,,,
219,0,0.06085846945643425,,,,,,
229,0,0.07247218489646912,,,,,,
235,0,,0.1025998666882515,0.8430631756782532,0.32628360390663147,0.25904762744903564,0.4113119840621948,
239,1,0.04346807673573494,,,,,,
249,1,0.04007715359330177,,,,,,
259,1,0.05348430946469307,,,,,,
269,1,0.04227637127041817,,,,,,
279,1,0.044030703604221344,,,,,,
289,1,0.05627795681357384,,,,,,
299,1,0.1000264436006546,,,,,,
309,1,0.04980180785059929,,,,,,
319,1,0.06351551413536072,,,,,,
329,1,0.06398547440767288,,,,,,
339,1,0.06418447196483612,,,,,,
349,1,0.05500216782093048,,,,,,
359,1,0.04862925410270691,,,,,,
369,1,0.048896919935941696,,,,,,
379,1,0.044817205518484116,,,,,,
389,1,0.046406012028455734,,,,,,
399,1,0.04177752882242203,,,,,,
409,1,0.05997757241129875,,,,,,
419,1,0.061970703303813934,,,,,,
429,1,0.04728739708662033,,,,,,
439,1,0.05725686624646187,,,,,,
449,1,0.05719665437936783,,,,,,
459,1,0.04171595349907875,,,,,,
469,1,0.052811168134212494,,,,,,
471,1,,0.08941970020532608,0.8407104015350342,0.3277752697467804,0.2609523832798004,0.41242995858192444,
479,2,0.04119424894452095,,,,,,
489,2,0.05767565593123436,,,,,,
499,2,0.07683712244033813,,,,,,
509,2,0.048271507024765015,,,,,,
519,2,0.04435323178768158,,,,,,
529,2,0.05364575237035751,,,,,,
539,2,0.04635271057486534,,,,,,
549,2,0.05054950341582298,,,,,,
559,2,0.0421881303191185,,,,,,
569,2,0.04523170739412308,,,,,,
579,2,0.03814687207341194,,,,,,
589,2,0.06398955732584,,,,,,
599,2,0.04652240127325058,,,,,,
609,2,0.06797075271606445,,,,,,
619,2,0.05823853611946106,,,,,,
629,2,0.042469050735235214,,,,,,
639,2,0.05557767301797867,,,,,,
649,2,0.04698906093835831,,,,,,
659,2,0.03979827091097832,,,,,,
669,2,0.04105033352971077,,,,,,
679,2,0.0862739086151123,,,,,,
689,2,0.04908488318324089,,,,,,
699,2,0.049360815435647964,,,,,,
707,2,,0.09259583801031113,0.8454408645629883,0.3436795771121979,0.28190475702285767,0.42198389768600464,
709,3,0.05261669307947159,,,,,,
719,3,0.056157436221838,,,,,,
729,3,0.057476624846458435,,,,,,
739,3,0.048082467168569565,,,,,,
749,3,0.04613758251070976,,,,,,
759,3,0.05005352571606636,,,,,,
769,3,0.030105508863925934,,,,,,
779,3,0.048153456300497055,,,,,,
789,3,0.027722835540771484,,,,,,
799,3,0.0488542877137661,,,,,,
809,3,0.05476247891783714,,,,,,
819,3,0.03908950462937355,,,,,,
829,3,0.04151017218828201,,,,,,
839,3,0.040447529405355453,,,,,,
849,3,0.03327997773885727,,,,,,
859,3,0.039871696382761,,,,,,
869,3,0.049590449780225754,,,,,,
879,3,0.03570185601711273,,,,,,
889,3,0.04703093692660332,,,,,,
899,3,0.08656247705221176,,,,,,
909,3,0.058284055441617966,,,,,,
919,3,0.047266826033592224,,,,,,
929,3,0.046460822224617004,,,,,,
939,3,0.048968683928251266,,,,,,
943,3,,0.09725145995616913,0.8461841344833374,0.3450627326965332,0.2780952453613281,0.42087918519973755,
949,4,0.03974032774567604,,,,,,
959,4,0.032454509288072586,,,,,,
969,4,0.03326297178864479,,,,,,
979,4,0.03524194285273552,,,,,,
989,4,0.03998488932847977,,,,,,
999,4,0.03141365572810173,,,,,,
1009,4,0.01951056346297264,,,,,,
1019,4,0.03635329380631447,,,,,,
1029,4,0.023855850100517273,,,,,,
1039,4,0.027134206146001816,,,,,,
1049,4,0.026783183217048645,,,,,,
1059,4,0.024465130642056465,,,,,,
1069,4,0.024970484897494316,,,,,,
1079,4,0.028699597343802452,,,,,,
1089,4,0.026455724611878395,,,,,,
1099,4,0.016260787844657898,,,,,,
1109,4,0.022651871666312218,,,,,,
1119,4,0.03130199387669563,,,,,,
1129,4,0.01955801248550415,,,,,,
1139,4,0.02507125586271286,,,,,,
1149,4,0.01130683347582817,,,,,,
1159,4,0.01675690896809101,,,,,,
1169,4,0.02676987089216709,,,,,,
1179,4,0.004572862759232521,,,,,,
1179,4,,0.1195913553237915,0.8372563719749451,0.32993826270103455,0.27047619223594666,0.40154027938842773,
1180,5,,,,,,,0.1195913553237915
