train_loss,step,epoch,val_qa_bert_score,val_qa_em,val_loss,val_qa_sas,val_qa_answer_f1,test_loss
1.1224589347839355,9,0,,,,,,
0.2221335768699646,19,0,,,,,,
0.26301801204681396,29,0,,,,,,
0.23875068128108978,39,0,,,,,,
0.22947141528129578,49,0,,,,,,
0.25512245297431946,59,0,,,,,,
0.1215030699968338,69,0,,,,,,
0.09390907734632492,79,0,,,,,,
0.19100593030452728,89,0,,,,,,
0.11467160284519196,99,0,,,,,,
,104,0,0.8777605295181274,0.32673266530036926,0.15710541605949402,0.637237548828125,0.560245156288147,
0.08269848674535751,109,1,,,,,,
0.21075621247291565,119,1,,,,,,
0.574806272983551,129,1,,,,,,
0.14765511453151703,139,1,,,,,,
0.0969512090086937,149,1,,,,,,
0.18517331779003143,159,1,,,,,,
0.18114414811134338,169,1,,,,,,
0.1565304696559906,179,1,,,,,,
0.13354113698005676,189,1,,,,,,
0.08448521792888641,199,1,,,,,,
0.06622563302516937,209,1,,,,,,
,209,1,0.8830029964447021,0.32673266530036926,0.13811559975147247,0.6535995006561279,0.5754978060722351,
0.11274557560682297,219,2,,,,,,
0.08255073428153992,229,2,,,,,,
0.11251463741064072,239,2,,,,,,
0.07291504740715027,249,2,,,,,,
0.15403838455677032,259,2,,,,,,
0.052684132009744644,269,2,,,,,,
0.06468420475721359,279,2,,,,,,
0.05222254991531372,289,2,,,,,,
0.09512548893690109,299,2,,,,,,
0.15061384439468384,309,2,,,,,,
,314,2,0.8897362351417542,0.36138615012168884,0.13008885085582733,0.6765487194061279,0.6014894843101501,
0.03063967078924179,319,3,,,,,,
0.07813122868537903,329,3,,,,,,
0.08613180369138718,339,3,,,,,,
0.05787577107548714,349,3,,,,,,
0.034955501556396484,359,3,,,,,,
0.10063034296035767,369,3,,,,,,
0.09041736274957657,379,3,,,,,,
0.08594690263271332,389,3,,,,,,
0.04897628724575043,399,3,,,,,,
0.027839770540595055,409,3,,,,,,
0.0034929343964904547,419,3,,,,,,
,419,3,0.8902445435523987,0.3316831588745117,0.13214874267578125,0.6791274547576904,0.6057572960853577,
0.036626555025577545,429,4,,,,,,
0.03463265672326088,439,4,,,,,,
0.052517183125019073,449,4,,,,,,
0.043063294142484665,459,4,,,,,,
0.055007196962833405,469,4,,,,,,
0.020658640190958977,479,4,,,,,,
0.02389439381659031,489,4,,,,,,
0.015237821266055107,499,4,,,,,,
0.021482398733496666,509,4,,,,,,
0.0679737851023674,519,4,,,,,,
,524,4,0.8889405131340027,0.3366336524486542,0.13758839666843414,0.678253173828125,0.6018381118774414,
,525,5,,,,,,0.13758839666843414
