step,train_loss,epoch,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_em,val_qa_bert_score,test_loss
9,0.06805895268917084,0,,,,,,
19,0.04997159168124199,0,,,,,,
29,0.0738844946026802,0,,,,,,
39,0.06333845853805542,0,,,,,,
49,0.05555470660328865,0,,,,,,
59,0.03935888037085533,0,,,,,,
69,0.04829233139753342,0,,,,,,
79,0.04257320240139961,0,,,,,,
89,0.03374301642179489,0,,,,,,
99,0.03486643731594086,0,,,,,,
109,0.033340487629175186,0,,,,,,
119,0.04573954641819,0,,,,,,
129,0.055783018469810486,0,,,,,,
139,0.05907568335533142,0,,,,,,
149,0.06557358801364899,0,,,,,,
159,0.03807584568858147,0,,,,,,
169,0.0527278408408165,0,,,,,,
179,0.05260594189167023,0,,,,,,
189,0.023899048566818237,0,,,,,,
199,0.04449015110731125,0,,,,,,
209,0.03119618073105812,0,,,,,,
219,0.04300486668944359,0,,,,,,
229,0.025034047663211823,0,,,,,,
239,0.01774311251938343,0,,,,,,
249,0.030032863840460777,0,,,,,,
259,0.016232265159487724,0,,,,,,
269,0.06370758265256882,0,,,,,,
279,0.021411199122667313,0,,,,,,
289,0.020862950012087822,0,,,,,,
299,0.011883647181093693,0,,,,,,
309,0.024613140150904655,0,,,,,,
319,0.021842623129487038,0,,,,,,
329,0.010157261975109577,0,,,,,,
339,0.06278914213180542,0,,,,,,
349,0.038474343717098236,0,,,,,,
359,0.029619397595524788,0,,,,,,
369,0.0282166488468647,0,,,,,,
379,0.017558250576257706,0,,,,,,
389,0.050047751516103745,0,,,,,,
399,0.04278898984193802,0,,,,,,
409,0.04031708836555481,0,,,,,,
419,0.019928229972720146,0,,,,,,
429,0.016582224518060684,0,,,,,,
439,0.01110953837633133,0,,,,,,
449,0.018585925921797752,0,,,,,,
459,0.02230636030435562,0,,,,,,
469,0.009621349163353443,0,,,,,,
479,0.023337924852967262,0,,,,,,
489,0.012081108056008816,0,,,,,,
499,0.019791578873991966,0,,,,,,
509,0.01507748756557703,0,,,,,,
519,0.01982761174440384,0,,,,,,
529,0.013888649642467499,0,,,,,,
539,0.010251357220113277,0,,,,,,
549,0.005616366397589445,0,,,,,,
559,0.01891062594950199,0,,,,,,
569,0.03175206109881401,0,,,,,,
579,0.016136694699525833,0,,,,,,
589,0.020306004211306572,0,,,,,,
599,0.039699736982584,0,,,,,,
609,0.015909304842352867,0,,,,,,
619,0.034050993621349335,0,,,,,,
629,0.015383189544081688,0,,,,,,
632,,0,0.5425875782966614,0.5977931022644043,0.07918521761894226,0.4948875308036804,0.8961431384086609,
639,0.016066668555140495,1,,,,,,
649,0.016014114022254944,1,,,,,,
659,0.0034165445249527693,1,,,,,,
669,0.07712095230817795,1,,,,,,
679,0.02050270512700081,1,,,,,,
689,0.023356927558779716,1,,,,,,
699,0.052642032504081726,1,,,,,,
709,0.021829137578606606,1,,,,,,
719,0.02346901409327984,1,,,,,,
729,0.013971848413348198,1,,,,,,
739,0.026032760739326477,1,,,,,,
749,0.03163834661245346,1,,,,,,
759,0.012668292038142681,1,,,,,,
769,0.030041469261050224,1,,,,,,
779,0.03136767819523811,1,,,,,,
789,0.024520350620150566,1,,,,,,
799,0.024774733930826187,1,,,,,,
809,0.013545682653784752,1,,,,,,
819,0.010581079870462418,1,,,,,,
829,0.016040220856666565,1,,,,,,
839,0.016023213043808937,1,,,,,,
849,0.009218070656061172,1,,,,,,
859,0.032117076218128204,1,,,,,,
869,0.023097608238458633,1,,,,,,
879,0.011417313478887081,1,,,,,,
889,0.018172528594732285,1,,,,,,
899,0.005203721113502979,1,,,,,,
909,0.02346351556479931,1,,,,,,
919,0.013494358398020267,1,,,,,,
929,0.04862247407436371,1,,,,,,
939,0.0094508808106184,1,,,,,,
949,0.01024603471159935,1,,,,,,
959,0.026438768953084946,1,,,,,,
969,0.007340682670474052,1,,,,,,
979,0.016177983954548836,1,,,,,,
989,0.024162551388144493,1,,,,,,
999,0.03196851909160614,1,,,,,,
1009,0.013687126338481903,1,,,,,,
1019,0.023877719417214394,1,,,,,,
1029,0.014030960388481617,1,,,,,,
1039,0.022004935890436172,1,,,,,,
1049,0.013630886562168598,1,,,,,,
1059,0.01728242263197899,1,,,,,,
1069,0.024267740547657013,1,,,,,,
1079,0.016015131026506424,1,,,,,,
1089,0.00931176170706749,1,,,,,,
