epoch,step,train_loss,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,test_loss
0,9,1.2592227458953857,,,,,,
0,19,0.6004546880722046,,,,,,
0,29,0.2784784138202667,,,,,,
0,39,0.24457621574401855,,,,,,
0,49,0.5652130842208862,,,,,,
0,59,0.6071344017982483,,,,,,
0,69,0.6986560225486755,,,,,,
0,79,0.5332358479499817,,,,,,
0,89,0.8819823861122131,,,,,,
0,99,0.381453275680542,,,,,,
0,101,,0.1494634449481964,0.6028966903686523,0.638008713722229,0.426086962223053,0.8779295682907104,
1,109,0.44647401571273804,,,,,,
1,119,0.2954758107662201,,,,,,
1,129,0.4672974944114685,,,,,,
1,139,0.2531890571117401,,,,,,
1,149,0.4027000665664673,,,,,,
1,159,0.6883190870285034,,,,,,
1,169,0.16468603909015656,,,,,,
1,179,0.3621043562889099,,,,,,
1,189,0.3804442584514618,,,,,,
1,199,0.3395495116710663,,,,,,
1,203,,0.13371232151985168,0.621368408203125,0.6480917930603027,0.4739130437374115,0.8825364112854004,
2,209,0.5478079915046692,,,,,,
2,219,0.17220431566238403,,,,,,
2,229,0.42332151532173157,,,,,,
2,239,0.2619985342025757,,,,,,
2,249,0.13625897467136383,,,,,,
2,259,0.0705077201128006,,,,,,
2,269,0.11939126253128052,,,,,,
2,279,0.1863122135400772,,,,,,
2,289,0.29206642508506775,,,,,,
2,299,0.31276458501815796,,,,,,
2,305,,0.1308610886335373,0.6147826313972473,0.649270236492157,0.48260870575904846,0.8865922689437866,
3,309,0.22237758338451385,,,,,,
3,319,0.09354273229837418,,,,,,
3,329,0.13428424298763275,,,,,,
3,339,0.27387604117393494,,,,,,
3,349,0.1857042908668518,,,,,,
3,359,0.15925921499729156,,,,,,
3,369,0.21861471235752106,,,,,,
3,379,0.12240935117006302,,,,,,
3,389,0.043547723442316055,,,,,,
3,399,0.1010575070977211,,,,,,
3,407,,0.133295938372612,0.6216409802436829,0.6532884240150452,0.5,0.8899911046028137,
4,409,0.05478527024388313,,,,,,
4,419,0.18360395729541779,,,,,,
4,429,0.04710067808628082,,,,,,
4,439,0.051845256239175797,,,,,,
4,449,0.14202585816383362,,,,,,
4,459,0.018841708078980446,,,,,,
4,469,0.10083098709583282,,,,,,
4,479,0.764946460723877,,,,,,
4,489,0.08566977828741074,,,,,,
4,499,2.6583821773529053,,,,,,
4,509,0.04793655499815941,,,,,,
4,509,,0.14222289621829987,0.649057924747467,0.67486572265625,0.52173912525177,0.8985684514045715,
5,510,,,,,,,0.14222289621829987
