step,train_loss,epoch,val_qa_sas,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em
9,1.1936959028244019,0,,,,,,,,,,
19,0.7780722379684448,0,,,,,,,,,,
29,0.6310718655586243,0,,,,,,,,,,
39,0.935832679271698,0,,,,,,,,,,
49,0.3359043598175049,0,,,,,,,,,,
59,0.3185793161392212,0,,,,,,,,,,
69,0.35241571068763733,0,,,,,,,,,,
79,0.3560069799423218,0,,,,,,,,,,
89,0.2689615786075592,0,,,,,,,,,,
99,0.22322185337543488,0,,,,,,,,,,
109,0.7502501606941223,0,,,,,,,,,,
119,0.32477664947509766,0,,,,,,,,,,
129,0.30938437581062317,0,,,,,,,,,,
139,0.2985153794288635,0,,,,,,,,,,
149,0.31701961159706116,0,,,,,,,,,,
159,0.3118754029273987,0,,,,,,,,,,
169,0.36822593212127686,0,,,,,,,,,,
172,,0,0.3483748137950897,0.2742857038974762,0.23294949531555176,0.32255369424819946,0.7890626788139343,,,,,
179,0.3301733434200287,1,,,,,,,,,,
189,0.3101603090763092,1,,,,,,,,,,
199,0.3140886127948761,1,,,,,,,,,,
209,0.19483332335948944,1,,,,,,,,,,
219,0.35495132207870483,1,,,,,,,,,,
229,0.28744038939476013,1,,,,,,,,,,
239,0.19108738005161285,1,,,,,,,,,,
249,0.30458056926727295,1,,,,,,,,,,
259,0.27399399876594543,1,,,,,,,,,,
269,0.23009651899337769,1,,,,,,,,,,
279,0.31502947211265564,1,,,,,,,,,,
289,0.30560120940208435,1,,,,,,,,,,
299,0.36777934432029724,1,,,,,,,,,,
309,0.18133583664894104,1,,,,,,,,,,
319,0.2438059002161026,1,,,,,,,,,,
329,0.16528522968292236,1,,,,,,,,,,
339,0.2628929615020752,1,,,,,,,,,,
345,,1,0.3811506927013397,0.30142858624458313,0.21045714616775513,0.3537083864212036,0.8072925209999084,,,,,
349,0.19819442927837372,2,,,,,,,,,,
359,0.19402608275413513,2,,,,,,,,,,
369,0.2279151976108551,2,,,,,,,,,,
379,0.19785654544830322,2,,,,,,,,,,
389,0.327857106924057,2,,,,,,,,,,
399,0.20251435041427612,2,,,,,,,,,,
409,0.195740208029747,2,,,,,,,,,,
419,0.27943333983421326,2,,,,,,,,,,
429,0.18711519241333008,2,,,,,,,,,,
439,0.3051678240299225,2,,,,,,,,,,
449,0.16828888654708862,2,,,,,,,,,,
459,0.23279164731502533,2,,,,,,,,,,
469,0.18523739278316498,2,,,,,,,,,,
479,0.14451780915260315,2,,,,,,,,,,
489,0.1008572056889534,2,,,,,,,,,,
499,0.1917269229888916,2,,,,,,,,,,
509,0.18996913731098175,2,,,,,,,,,,
518,,2,0.40890780091285706,0.33142855763435364,0.19094543159008026,0.3839821517467499,0.8196827173233032,,,,,
519,0.38077297806739807,3,,,,,,,,,,
529,0.1591753214597702,3,,,,,,,,,,
539,0.25120651721954346,3,,,,,,,,,,
549,0.26087501645088196,3,,,,,,,,,,
559,0.2873554229736328,3,,,,,,,,,,
569,0.17663101851940155,3,,,,,,,,,,
579,0.16270360350608826,3,,,,,,,,,,
589,0.10993172228336334,3,,,,,,,,,,
599,0.2174849659204483,3,,,,,,,,,,
609,0.08004222810268402,3,,,,,,,,,,
619,0.17535777390003204,3,,,,,,,,,,
629,0.2773887515068054,3,,,,,,,,,,
639,0.21345701813697815,3,,,,,,,,,,
649,0.1531553715467453,3,,,,,,,,,,
659,0.1487274020910263,3,,,,,,,,,,
669,0.11745356768369675,3,,,,,,,,,,
679,0.14994879066944122,3,,,,,,,,,,
689,0.3123094141483307,3,,,,,,,,,,
691,,3,0.42371436953544617,0.3557142913341522,0.17804886400699615,0.408572256565094,0.827884316444397,,,,,
699,0.12320691347122192,4,,,,,,,,,,
709,0.16102761030197144,4,,,,,,,,,,
719,0.16027873754501343,4,,,,,,,,,,
729,0.2464711219072342,4,,,,,,,,,,
739,0.22917476296424866,4,,,,,,,,,,
749,0.14619697630405426,4,,,,,,,,,,
759,0.2096247375011444,4,,,,,,,,,,
769,0.15653952956199646,4,,,,,,,,,,
779,0.16675150394439697,4,,,,,,,,,,
789,0.1732661873102188,4,,,,,,,,,,
799,0.14796440303325653,4,,,,,,,,,,
809,0.22487017512321472,4,,,,,,,,,,
819,0.0927182137966156,4,,,,,,,,,,
829,0.14956463873386383,4,,,,,,,,,,
839,0.20603276789188385,4,,,,,,,,,,
849,0.2231328934431076,4,,,,,,,,,,
859,0.16201984882354736,4,,,,,,,,,,
864,,4,0.4448991119861603,0.3757142722606659,0.17332060635089874,0.43067657947540283,0.8385999202728271,,,,,
865,,5,,,,,,0.17332060635089874,0.43067657947540283,0.4448991119861603,0.8385999202728271,0.3757142722606659
