step,train_loss,epoch,val_qa_sas,val_qa_em,val_qa_bert_score,val_qa_answer_f1,val_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score
9,1.5608375072479248,0,,,,,,,,,,
19,1.28640878200531,0,,,,,,,,,,
29,1.651076078414917,0,,,,,,,,,,
39,1.4111164808273315,0,,,,,,,,,,
49,1.0379422903060913,0,,,,,,,,,,
51,,0,0.5877336859703064,0.26851850748062134,0.8691368699073792,0.5049830079078674,0.676948606967926,,,,,
59,2.021592855453491,1,,,,,,,,,,
69,1.301588773727417,1,,,,,,,,,,
79,1.7092503309249878,1,,,,,,,,,,
89,1.1718143224716187,1,,,,,,,,,,
99,0.6665729880332947,1,,,,,,,,,,
103,,1,0.5963832139968872,0.24074074625968933,0.8722381591796875,0.5139877200126648,0.638715386390686,,,,,
109,1.0451160669326782,2,,,,,,,,,,
119,0.8909266591072083,2,,,,,,,,,,
129,1.2911455631256104,2,,,,,,,,,,
139,1.6233783960342407,2,,,,,,,,,,
149,0.6057942509651184,2,,,,,,,,,,
155,,2,0.6212158203125,0.2638888955116272,0.8805550336837769,0.5495710968971252,0.6285298466682434,,,,,
159,0.7768138647079468,3,,,,,,,,,,
169,0.8919708728790283,3,,,,,,,,,,
179,0.7765699028968811,3,,,,,,,,,,
189,0.9894320368766785,3,,,,,,,,,,
199,1.161690592765808,3,,,,,,,,,,
207,,3,0.6348702311515808,0.29629629850387573,0.8852712512016296,0.5610401034355164,0.6126571297645569,,,,,
209,1.530474305152893,4,,,,,,,,,,
219,0.9730982780456543,4,,,,,,,,,,
229,0.7997637391090393,4,,,,,,,,,,
239,0.9497003555297852,4,,,,,,,,,,
249,1.2709734439849854,4,,,,,,,,,,
259,0.15102609992027283,4,,,,,,,,,,
259,,4,0.6353759765625,0.31018519401550293,0.8840609192848206,0.561603307723999,0.6036297678947449,,,,,
260,,5,,,,,,0.31018519401550293,0.6353759765625,0.561603307723999,0.6036297678947449,0.8840609192848206
