step,train_loss,epoch,val_qa_sas,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_loss,test_loss
9,0.12582889199256897,0,,,,,,
19,0.06111060827970505,0,,,,,,
29,0.07319005578756332,0,,,,,,
39,0.03968040645122528,0,,,,,,
49,0.035299066454172134,0,,,,,,
59,0.07126552611589432,0,,,,,,
69,0.0479058139026165,0,,,,,,
79,0.047739606350660324,0,,,,,,
89,0.033357419073581696,0,,,,,,
99,0.048429571092128754,0,,,,,,
109,0.030860980972647667,0,,,,,,
119,0.03398558124899864,0,,,,,,
129,0.02733309008181095,0,,,,,,
139,0.034896332770586014,0,,,,,,
149,0.04487172141671181,0,,,,,,
159,0.03523525223135948,0,,,,,,
169,0.042529601603746414,0,,,,,,
179,0.06562137603759766,0,,,,,,
189,0.062069084495306015,0,,,,,,
199,0.0319908931851387,0,,,,,,
209,0.05678663030266762,0,,,,,,
219,0.05381578952074051,0,,,,,,
229,0.06213214620947838,0,,,,,,
239,0.030004430562257767,0,,,,,,
249,0.018486756831407547,0,,,,,,
259,0.02981741726398468,0,,,,,,
269,0.03390730917453766,0,,,,,,
279,0.029907165095210075,0,,,,,,
289,0.06969746202230453,0,,,,,,
299,0.0297282375395298,0,,,,,,
309,0.0361412912607193,0,,,,,,
319,0.03812909498810768,0,,,,,,
329,nan,0,,,,,,
339,0.026767557486891747,0,,,,,,
349,0.05008728429675102,0,,,,,,
359,0.03917030617594719,0,,,,,,
369,0.03023518994450569,0,,,,,,
379,0.03894751891493797,0,,,,,,
389,0.039985645562410355,0,,,,,,
399,0.026729239150881767,0,,,,,,
409,0.03927094489336014,0,,,,,,
419,0.053290143609046936,0,,,,,,
429,0.04612503945827484,0,,,,,,
439,0.029065312817692757,0,,,,,,
449,0.043736644089221954,0,,,,,,
455,,0,0.35684773325920105,0.2672673165798187,0.20334261655807495,0.8294458985328674,0.09703679382801056,
459,0.03596581146121025,1,,,,,,
469,0.0894966572523117,1,,,,,,
479,0.0684204250574112,1,,,,,,
489,0.02718307264149189,1,,,,,,
499,0.020075416192412376,1,,,,,,
509,0.029755208641290665,1,,,,,,
519,0.036568883806467056,1,,,,,,
529,0.024990981444716454,1,,,,,,
539,0.027881210669875145,1,,,,,,
549,0.02329976297914982,1,,,,,,
