epoch,train_loss,step,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_sas,test_avg_qa_bert_score
0,0.6134840846061707,9,,,,,,,,,,
0,0.3525702655315399,19,,,,,,,,,,
0,0.6032906770706177,29,,,,,,,,,,
0,0.4290940463542938,39,,,,,,,,,,
0,0.37682491540908813,49,,,,,,,,,,
0,0.3447886109352112,59,,,,,,,,,,
0,0.6720486283302307,69,,,,,,,,,,
0,0.30036938190460205,79,,,,,,,,,,
0,0.27114155888557434,89,,,,,,,,,,
0,0.16055205464363098,99,,,,,,,,,,
0,0.26789817214012146,109,,,,,,,,,,
0,0.20285634696483612,119,,,,,,,,,,
0,0.1857191026210785,129,,,,,,,,,,
0,0.15575024485588074,139,,,,,,,,,,
0,0.12205784767866135,149,,,,,,,,,,
0,0.23491373658180237,159,,,,,,,,,,
0,0.3125881552696228,169,,,,,,,,,,
0,0.19963186979293823,179,,,,,,,,,,
0,,181,0.47376975417137146,0.8630481362342834,0.17197981476783752,0.4095890522003174,0.498125284910202,,,,,
1,0.10340416431427002,189,,,,,,,,,,
1,0.21444258093833923,199,,,,,,,,,,
1,0.4167424738407135,209,,,,,,,,,,
1,0.1666782647371292,219,,,,,,,,,,
1,0.35879790782928467,229,,,,,,,,,,
1,0.22390595078468323,239,,,,,,,,,,
1,0.35059475898742676,249,,,,,,,,,,
1,0.2873247265815735,259,,,,,,,,,,
1,0.24092650413513184,269,,,,,,,,,,
1,0.28640487790107727,279,,,,,,,,,,
1,0.18053293228149414,289,,,,,,,,,,
1,0.19459131360054016,299,,,,,,,,,,
1,0.2375122457742691,309,,,,,,,,,,
1,0.1779414564371109,319,,,,,,,,,,
1,0.15699858963489532,329,,,,,,,,,,
1,0.2087758481502533,339,,,,,,,,,,
1,0.6567479968070984,349,,,,,,,,,,
1,0.5031569004058838,359,,,,,,,,,,
1,,363,0.502956748008728,0.8704352378845215,0.15310704708099365,0.44246575236320496,0.5237424373626709,,,,,
2,0.20151440799236298,369,,,,,,,,,,
2,0.1646990031003952,379,,,,,,,,,,
2,0.1554749757051468,389,,,,,,,,,,
2,0.18307246267795563,399,,,,,,,,,,
2,0.22815875709056854,409,,,,,,,,,,
2,0.27007004618644714,419,,,,,,,,,,
2,0.1413918137550354,429,,,,,,,,,,
2,0.1541207730770111,439,,,,,,,,,,
2,0.37276288866996765,449,,,,,,,,,,
2,0.16284963488578796,459,,,,,,,,,,
2,0.19420184195041656,469,,,,,,,,,,
2,0.2405884861946106,479,,,,,,,,,,
2,0.275248646736145,489,,,,,,,,,,
2,0.18490011990070343,499,,,,,,,,,,
2,0.14465199410915375,509,,,,,,,,,,
2,0.17169319093227386,519,,,,,,,,,,
2,0.20384232699871063,529,,,,,,,,,,
2,0.17786529660224915,539,,,,,,,,,,
2,,545,0.5190497636795044,0.8749162554740906,0.14194256067276,0.465753436088562,0.5381109118461609,,,,,
3,0.2555527091026306,549,,,,,,,,,,
3,0.1587282121181488,559,,,,,,,,,,
3,0.20575746893882751,569,,,,,,,,,,
3,0.1434227079153061,579,,,,,,,,,,
3,0.15332844853401184,589,,,,,,,,,,
3,0.3913155198097229,599,,,,,,,,,,
3,0.10986550152301788,609,,,,,,,,,,
3,0.1562928557395935,619,,,,,,,,,,
3,0.1348126083612442,629,,,,,,,,,,
3,0.12012147903442383,639,,,,,,,,,,
3,0.1595279574394226,649,,,,,,,,,,
3,0.11569125205278397,659,,,,,,,,,,
3,0.12023967504501343,669,,,,,,,,,,
3,0.16230101883411407,679,,,,,,,,,,
3,0.30302420258522034,689,,,,,,,,,,
3,0.1088770404458046,699,,,,,,,,,,
3,0.12629348039627075,709,,,,,,,,,,
3,0.10945261269807816,719,,,,,,,,,,
3,,727,0.5487934947013855,0.8837426900863647,0.13865207135677338,0.49452054500579834,0.5620222687721252,,,,,
4,0.20942996442317963,729,,,,,,,,,,
4,0.11477884650230408,739,,,,,,,,,,
4,0.1723012775182724,749,,,,,,,,,,
4,0.08693081885576248,759,,,,,,,,,,
4,0.1691529005765915,769,,,,,,,,,,
4,0.1268194168806076,779,,,,,,,,,,
4,0.2096409648656845,789,,,,,,,,,,
4,0.1736982762813568,799,,,,,,,,,,
4,0.11034470796585083,809,,,,,,,,,,
4,0.12028659135103226,819,,,,,,,,,,
4,0.16385658085346222,829,,,,,,,,,,
4,0.10752449184656143,839,,,,,,,,,,
4,0.08613889664411545,849,,,,,,,,,,
4,0.12518465518951416,859,,,,,,,,,,
4,0.09411406517028809,869,,,,,,,,,,
4,0.10774651914834976,879,,,,,,,,,,
4,0.12858866155147552,889,,,,,,,,,,
4,0.2630668878555298,899,,,,,,,,,,
4,0.45040807127952576,909,,,,,,,,,,
4,,909,0.552254319190979,0.8858758807182312,0.13406097888946533,0.501369833946228,0.5679094195365906,,,,,
5,,910,,,,,,0.501369833946228,0.552254319190979,0.13406097888946533,0.5679094195365906,0.8858758807182312
