epoch,step,train_loss,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_bert_score,val_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em
0,9,0.3712310791015625,,,,,,,,,,
0,19,0.3114546537399292,,,,,,,,,,
0,29,0.19087956845760345,,,,,,,,,,
0,39,0.1728447675704956,,,,,,,,,,
0,49,0.1912260353565216,,,,,,,,,,
0,59,0.17837783694267273,,,,,,,,,,
0,69,0.17528177797794342,,,,,,,,,,
0,79,0.1108613833785057,,,,,,,,,,
0,89,0.11469697952270508,,,,,,,,,,
0,99,0.13412581384181976,,,,,,,,,,
0,109,0.12109749764204025,,,,,,,,,,
0,118,,0.42657291889190674,0.1808105856180191,0.4934147298336029,0.873495876789093,0.3696497976779938,,,,,
1,119,0.13822858035564423,,,,,,,,,,
1,129,0.14441215991973877,,,,,,,,,,
1,139,0.11707635223865509,,,,,,,,,,
1,149,0.14713498950004578,,,,,,,,,,
1,159,0.1197260245680809,,,,,,,,,,
1,169,0.12361635267734528,,,,,,,,,,
1,179,0.14321133494377136,,,,,,,,,,
1,189,0.10615161061286926,,,,,,,,,,
1,199,0.11739960312843323,,,,,,,,,,
1,209,0.096738301217556,,,,,,,,,,
1,219,0.11485458165407181,,,,,,,,,,
1,229,0.14632633328437805,,,,,,,,,,
1,237,,0.5102012753486633,0.1651058793067932,0.5634617805480957,0.8916743397712708,0.4591439664363861,,,,,
2,239,0.08208482712507248,,,,,,,,,,
2,249,0.10840849578380585,,,,,,,,,,
2,259,0.146873340010643,,,,,,,,,,
2,269,0.13923586905002594,,,,,,,,,,
2,279,0.11298718303442001,,,,,,,,,,
2,289,0.12219987064599991,,,,,,,,,,
2,299,0.07750486582517624,,,,,,,,,,
2,309,0.1615612953901291,,,,,,,,,,
2,319,0.1353837251663208,,,,,,,,,,
2,329,0.06558077782392502,,,,,,,,,,
2,339,0.07119674235582352,,,,,,,,,,
2,349,0.10038312524557114,,,,,,,,,,
2,356,,0.5319457054138184,0.16035275161266327,0.5799388289451599,0.8958598375320435,0.48638132214546204,,,,,
3,359,0.11640353500843048,,,,,,,,,,
3,369,0.08463393151760101,,,,,,,,,,
3,379,0.0772261917591095,,,,,,,,,,
3,389,0.12008123099803925,,,,,,,,,,
3,399,0.06564002484083176,,,,,,,,,,
3,409,0.12713590264320374,,,,,,,,,,
3,419,0.07938110083341599,,,,,,,,,,
3,429,0.08612871915102005,,,,,,,,,,
3,439,0.09955621510744095,,,,,,,,,,
3,449,0.28625327348709106,,,,,,,,,,
3,459,0.08952780067920685,,,,,,,,,,
3,469,0.06924879550933838,,,,,,,,,,
3,475,,0.5528594851493835,0.1572236716747284,0.5967553853988647,0.9011276364326477,0.5097275972366333,,,,,
4,479,0.06141173094511032,,,,,,,,,,
4,489,0.07604004442691803,,,,,,,,,,
4,499,0.1958901733160019,,,,,,,,,,
4,509,0.09441553801298141,,,,,,,,,,
4,519,0.12088491767644882,,,,,,,,,,
4,529,0.053562212735414505,,,,,,,,,,
4,539,0.05835552141070366,,,,,,,,,,
4,549,0.06540508568286896,,,,,,,,,,
4,559,0.19125157594680786,,,,,,,,,,
4,569,0.13131074607372284,,,,,,,,,,
4,579,0.051338471472263336,,,,,,,,,,
4,589,0.07147708535194397,,,,,,,,,,
4,594,,0.555833101272583,0.15616576373577118,0.6011574268341064,0.9016357064247131,0.5097275972366333,,,,,
5,595,,,,,,,0.555833101272583,0.15616576373577118,0.6011574268341064,0.9016357064247131,0.5097275972366333
