train_loss,step,epoch,val_qa_sas,val_qa_em,val_qa_answer_f1,val_loss,val_qa_bert_score,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em
0.3394220173358917,9,0,,,,,,,,,,
0.21351754665374756,19,0,,,,,,,,,,
0.1916639655828476,29,0,,,,,,,,,,
0.14698033034801483,39,0,,,,,,,,,,
0.11247248202562332,49,0,,,,,,,,,,
0.12446650117635727,59,0,,,,,,,,,,
0.0926840603351593,69,0,,,,,,,,,,
0.10084434598684311,79,0,,,,,,,,,,
0.09994105994701385,89,0,,,,,,,,,,
0.15150685608386993,99,0,,,,,,,,,,
0.10968168079853058,109,0,,,,,,,,,,
,117,0,0.697834312915802,0.6380952596664429,0.666717529296875,0.10211838781833649,0.9254325032234192,,,,,
0.07372451573610306,119,1,,,,,,,,,,
0.1591341346502304,129,1,,,,,,,,,,
0.21025407314300537,139,1,,,,,,,,,,
0.07609163224697113,149,1,,,,,,,,,,
0.0580228716135025,159,1,,,,,,,,,,
0.20150911808013916,169,1,,,,,,,,,,
0.27798619866371155,179,1,,,,,,,,,,
0.3884259760379791,189,1,,,,,,,,,,
0.24754920601844788,199,1,,,,,,,,,,
0.08033028244972229,209,1,,,,,,,,,,
0.033827535808086395,219,1,,,,,,,,,,
0.07994497567415237,229,1,,,,,,,,,,
,235,1,0.7168741822242737,0.6590476036071777,0.6883431077003479,0.08853602409362793,0.9302988648414612,,,,,
0.21292901039123535,239,2,,,,,,,,,,
0.0966658964753151,249,2,,,,,,,,,,
0.12458942830562592,259,2,,,,,,,,,,
0.12270578742027283,269,2,,,,,,,,,,
0.04166518524289131,279,2,,,,,,,,,,
0.2051103264093399,289,2,,,,,,,,,,
0.05373728647828102,299,2,,,,,,,,,,
0.36468037962913513,309,2,,,,,,,,,,
0.0549110546708107,319,2,,,,,,,,,,
0.05162385106086731,329,2,,,,,,,,,,
0.4149343967437744,339,2,,,,,,,,,,
0.15226921439170837,349,2,,,,,,,,,,
,353,2,0.7365227937698364,0.6838095188140869,0.7127173542976379,0.08257783204317093,0.9359236359596252,,,,,
0.04583493247628212,359,3,,,,,,,,,,
0.046746525913476944,369,3,,,,,,,,,,
0.08275643736124039,379,3,,,,,,,,,,
0.07505300641059875,389,3,,,,,,,,,,
0.027088409289717674,399,3,,,,,,,,,,
0.06870900839567184,409,3,,,,,,,,,,
0.06119836866855621,419,3,,,,,,,,,,
0.05213169381022453,429,3,,,,,,,,,,
0.0514577217400074,439,3,,,,,,,,,,
0.08715657889842987,449,3,,,,,,,,,,
0.058971650898456573,459,3,,,,,,,,,,
0.05794871225953102,469,3,,,,,,,,,,
,471,3,0.7364236116409302,0.6819047331809998,0.7108405232429504,0.080180823802948,0.9353957176208496,,,,,
0.038923244923353195,479,4,,,,,,,,,,
0.2137262225151062,489,4,,,,,,,,,,
0.035041678696870804,499,4,,,,,,,,,,
0.02778209187090397,509,4,,,,,,,,,,
0.04004025086760521,519,4,,,,,,,,,,
0.018404612317681313,529,4,,,,,,,,,,
0.26021888852119446,539,4,,,,,,,,,,
0.05688965320587158,549,4,,,,,,,,,,
0.045163847506046295,559,4,,,,,,,,,,
0.07515466213226318,569,4,,,,,,,,,,
0.031357813626527786,579,4,,,,,,,,,,
0.05239265412092209,589,4,,,,,,,,,,
,589,4,0.7450950145721436,0.691428542137146,0.7193083763122559,0.07763119786977768,0.9374964833259583,,,,,
,590,5,,,,,,0.9374964833259583,0.07763119786977768,0.7450950145721436,0.7193083763122559,0.691428542137146
