step,epoch,train_loss,val_qa_answer_f1,val_qa_em,val_loss,val_qa_bert_score,val_qa_sas,test_loss
9,0,0.5501005053520203,,,,,,
19,0,0.3958958089351654,,,,,,
29,0,0.3051903247833252,,,,,,
39,0,0.23800136148929596,,,,,,
49,0,0.3086016774177551,,,,,,
59,0,0.19859741628170013,,,,,,
69,0,0.2392185926437378,,,,,,
79,0,0.12840421497821808,,,,,,
89,0,0.08898071944713593,,,,,,
99,0,0.15252329409122467,,,,,,
109,0,0.1927010416984558,,,,,,
119,0,0.24622899293899536,,,,,,
129,0,0.10572567582130432,,,,,,
139,0,0.13403576612472534,,,,,,
149,0,0.11796414107084274,,,,,,
159,0,0.11807859688997269,,,,,,
169,0,0.17392918467521667,,,,,,
179,0,0.1267232596874237,,,,,,
189,0,0.12047553062438965,,,,,,
199,0,0.10490844398736954,,,,,,
209,0,0.1419023722410202,,,,,,
219,0,0.2138051837682724,,,,,,
229,0,0.14331595599651337,,,,,,
239,0,0.12959995865821838,,,,,,
249,0,0.2358178049325943,,,,,,
259,0,0.07414329051971436,,,,,,
269,0,0.18097838759422302,,,,,,
279,0,0.0968022495508194,,,,,,
289,0,0.08116447925567627,,,,,,
299,0,0.22014649212360382,,,,,,
309,0,0.11115401983261108,,,,,,
319,0,0.12139259278774261,,,,,,
329,0,0.156027153134346,,,,,,
339,0,0.3121681809425354,,,,,,
349,0,0.14633551239967346,,,,,,
356,0,,0.20286481082439423,0.14006514847278595,0.10407239198684692,0.7673332095146179,0.257412850856781,
359,1,0.1791919320821762,,,,,,
369,1,0.1014370545744896,,,,,,
379,1,0.21432873606681824,,,,,,
389,1,0.09953907132148743,,,,,,
399,1,0.1302856206893921,,,,,,
409,1,0.27548468112945557,,,,,,
419,1,0.17355194687843323,,,,,,
429,1,0.12993381917476654,,,,,,
439,1,0.12463198602199554,,,,,,
449,1,0.18564188480377197,,,,,,
459,1,0.12198855727910995,,,,,,
469,1,0.14265385270118713,,,,,,
479,1,0.24676573276519775,,,,,,
489,1,0.10767097771167755,,,,,,
499,1,0.13092148303985596,,,,,,
509,1,0.07972497493028641,,,,,,
519,1,0.1234995499253273,,,,,,
529,1,0.22817417979240417,,,,,,
539,1,0.1277959644794464,,,,,,
549,1,0.12540969252586365,,,,,,
559,1,0.12081989645957947,,,,,,
