step,epoch,train_loss,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_sas
9,0,2.7317802906036377,,,,,,,,,,
19,0,2.2420506477355957,,,,,,,,,,
29,0,1.2204093933105469,,,,,,,,,,
39,0,1.3561041355133057,,,,,,,,,,
47,0,,1.814605712890625,0.5667317509651184,0.38528138399124146,0.5432648658752441,0.8677946925163269,,,,,
49,1,1.157427191734314,,,,,,,,,,
59,1,2.787287950515747,,,,,,,,,,
69,1,2.297478675842285,,,,,,,,,,
79,1,1.4792439937591553,,,,,,,,,,
89,1,2.1222736835479736,,,,,,,,,,
95,1,,1.6633285284042358,0.5807129144668579,0.411255419254303,0.5611888766288757,0.8747132420539856,,,,,
99,2,0.9225754737854004,,,,,,,,,,
109,2,1.035914421081543,,,,,,,,,,
119,2,1.1177786588668823,,,,,,,,,,
129,2,0.8580102324485779,,,,,,,,,,
139,2,1.4374275207519531,,,,,,,,,,
143,2,,1.5848503112792969,0.6009928584098816,0.4458874464035034,0.5794943571090698,0.8811370730400085,,,,,
149,3,1.1107498407363892,,,,,,,,,,
159,3,1.6127625703811646,,,,,,,,,,
169,3,0.9913986921310425,,,,,,,,,,
179,3,1.2188280820846558,,,,,,,,,,
189,3,1.6820390224456787,,,,,,,,,,
191,3,,1.564199686050415,0.5945149660110474,0.4458874464035034,0.5743235945701599,0.8787770867347717,,,,,
199,4,1.610076665878296,,,,,,,,,,
209,4,1.5325961112976074,,,,,,,,,,
219,4,1.8774352073669434,,,,,,,,,,
229,4,1.0782241821289062,,,,,,,,,,
239,4,1.5838698148727417,,,,,,,,,,
239,4,,1.5373003482818604,0.597607433795929,0.4502164423465729,0.5766736268997192,0.8782843351364136,,,,,
240,5,,,,,,,0.8811370730400085,0.5794943571090698,1.5848503112792969,0.4458874464035034,0.6009928584098816
