epoch,step,train_loss,val_qa_sas,val_loss,val_qa_em,val_qa_bert_score,val_qa_answer_f1,test_loss
0,9,1.2800980806350708,,,,,,
0,19,0.4750411808490753,,,,,,
0,29,0.2823094427585602,,,,,,
0,39,0.2786402106285095,,,,,,
0,49,0.5074400305747986,,,,,,
0,59,0.5496946573257446,,,,,,
0,69,0.6749869585037231,,,,,,
0,79,0.6335774064064026,,,,,,
0,89,0.7139899134635925,,,,,,
0,99,0.3342771530151367,,,,,,
0,101,,0.6430703997612,0.15494491159915924,0.426086962223053,0.8789036273956299,0.6065828800201416,
1,109,0.4883464574813843,,,,,,
1,119,0.2503286898136139,,,,,,
1,129,0.44808951020240784,,,,,,
1,139,0.19406558573246002,,,,,,
1,149,0.3208264410495758,,,,,,
1,159,0.6743964552879333,,,,,,
1,169,0.17345398664474487,,,,,,
1,179,0.32888370752334595,,,,,,
1,189,0.32436540722846985,,,,,,
1,199,0.24819639325141907,,,,,,
1,203,,0.6640593409538269,0.1352018266916275,0.49130433797836304,0.8883798122406006,0.6409287452697754,
2,209,0.5771060585975647,,,,,,
2,219,0.16766633093357086,,,,,,
2,229,0.4174831211566925,,,,,,
2,239,0.2194383293390274,,,,,,
2,249,0.0706135481595993,,,,,,
2,259,0.03940010070800781,,,,,,
2,269,0.06842024624347687,,,,,,
2,279,0.18507851660251617,,,,,,
2,289,0.3174539804458618,,,,,,
2,299,0.3356455862522125,,,,,,
2,305,,0.6729772090911865,0.13356775045394897,0.5130434632301331,0.8942967057228088,0.6554589867591858,
3,309,0.2271539270877838,,,,,,
3,319,0.1301945596933365,,,,,,
3,329,0.14742925763130188,,,,,,
3,339,0.24442429840564728,,,,,,
3,349,0.1610112488269806,,,,,,
3,359,0.1110159382224083,,,,,,
3,369,0.2585849165916443,,,,,,
3,379,0.09169437736272812,,,,,,
3,389,0.05337013304233551,,,,,,
3,399,0.1261272132396698,,,,,,
3,407,,0.686753511428833,0.14004558324813843,0.5260869860649109,0.8989829421043396,0.6613694429397583,
4,409,0.06451316922903061,,,,,,
4,419,0.20076510310173035,,,,,,
4,429,0.08026214689016342,,,,,,
4,439,0.047098398208618164,,,,,,
4,449,0.06764809042215347,,,,,,
4,459,0.01127797830849886,,,,,,
4,469,0.08414207398891449,,,,,,
4,479,0.6904822587966919,,,,,,
4,489,0.068526491522789,,,,,,
4,499,2.6445107460021973,,,,,,
4,509,0.01974957063794136,,,,,,
4,509,,0.6895595788955688,0.15232965350151062,0.54347825050354,0.9038481712341309,0.6754633188247681,
5,510,,,,,,,0.15232965350151062
