train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,val_qa_bert_score,test_loss
0.48235395550727844,9,0,,,,,,
0.5488266348838806,19,0,,,,,,
0.41045036911964417,29,0,,,,,,
0.46383050084114075,39,0,,,,,,
0.35312989354133606,49,0,,,,,,
0.601658046245575,59,0,,,,,,
0.2991773784160614,69,0,,,,,,
0.41206127405166626,79,0,,,,,,
0.32803282141685486,89,0,,,,,,
0.26921936869621277,99,0,,,,,,
,107,0,0.5314200520515442,0.17381645739078522,0.3729729652404785,0.5775783061981201,0.8526918292045593,
0.5123814940452576,109,1,,,,,,
0.47171053290367126,119,1,,,,,,
0.22069807350635529,129,1,,,,,,
0.12453547865152359,139,1,,,,,,
0.3539976179599762,149,1,,,,,,
0.5870958566665649,159,1,,,,,,
0.34984543919563293,169,1,,,,,,
0.18748508393764496,179,1,,,,,,
0.47831007838249207,189,1,,,,,,
0.6087087392807007,199,1,,,,,,
0.41893190145492554,209,1,,,,,,
,215,1,0.5758077502250671,0.16021336615085602,0.4162162244319916,0.6128645539283752,0.8682400584220886,
0.09185805916786194,219,2,,,,,,
0.21717572212219238,229,2,,,,,,
0.2720293700695038,239,2,,,,,,
0.6617279648780823,249,2,,,,,,
0.14417988061904907,259,2,,,,,,
0.21625223755836487,269,2,,,,,,
0.32724836468696594,279,2,,,,,,
0.42213886976242065,289,2,,,,,,
0.15852393209934235,299,2,,,,,,
0.3072512447834015,309,2,,,,,,
0.24714474380016327,319,2,,,,,,
,323,2,0.6071717143058777,0.1608780324459076,0.454054057598114,0.6293789148330688,0.8770819306373596,
0.1874549835920334,329,3,,,,,,
0.0713810995221138,339,3,,,,,,
0.38416215777397156,349,3,,,,,,
0.08911364525556564,359,3,,,,,,
0.21000076830387115,369,3,,,,,,
0.15358418226242065,379,3,,,,,,
0.14236147701740265,389,3,,,,,,
0.14965581893920898,399,3,,,,,,
0.29546836018562317,409,3,,,,,,
0.10246383398771286,419,3,,,,,,
0.13597281277179718,429,3,,,,,,
,431,3,0.6069455742835999,0.1692417711019516,0.4648648500442505,0.6242918968200684,0.8766129612922668,
0.07053779065608978,439,4,,,,,,
0.05043093487620354,449,4,,,,,,
0.2705610692501068,459,4,,,,,,
0.02359021268785,469,4,,,,,,
0.08057651668787003,479,4,,,,,,
0.08207181096076965,489,4,,,,,,
0.7656643986701965,499,4,,,,,,
0.034977756440639496,509,4,,,,,,
0.03886817395687103,519,4,,,,,,
0.17824888229370117,529,4,,,,,,
0.042250826954841614,539,4,,,,,,
,539,4,0.5928014516830444,0.18401271104812622,0.44324323534965515,0.6107198596000671,0.874126136302948,
,540,5,,,,,,0.18401271104812622
