step,epoch,train_loss,val_loss,val_qa_em,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,test_loss
9,0,1.27714204788208,,,,,,
19,0,0.7402993440628052,,,,,,
29,0,0.3569146990776062,,,,,,
39,0,0.28607022762298584,,,,,,
49,0,0.6599284410476685,,,,,,
59,0,0.44789567589759827,,,,,,
69,0,0.6504665613174438,,,,,,
79,0,0.6533792018890381,,,,,,
89,0,0.888999342918396,,,,,,
99,0,0.4501991271972656,,,,,,
101,0,,0.16918416321277618,0.395652174949646,0.5809014439582825,0.6139888167381287,0.8622705936431885,
109,1,0.48979419469833374,,,,,,
119,1,0.313576340675354,,,,,,
129,1,0.53854900598526,,,,,,
139,1,0.15870116651058197,,,,,,
149,1,0.373439222574234,,,,,,
159,1,0.6302379965782166,,,,,,
169,1,0.180190309882164,,,,,,
179,1,0.4479687511920929,,,,,,
189,1,0.34323832392692566,,,,,,
199,1,0.2734561264514923,,,,,,
203,1,,0.14055725932121277,0.48260870575904846,0.6297984719276428,0.6513352394104004,0.8815767765045166,
209,2,0.5819290280342102,,,,,,
219,2,0.24115411937236786,,,,,,
229,2,0.4682855010032654,,,,,,
239,2,0.2471216470003128,,,,,,
249,2,0.1255226880311966,,,,,,
259,2,0.06755109876394272,,,,,,
269,2,0.08208677172660828,,,,,,
279,2,0.2156917154788971,,,,,,
289,2,0.2901238203048706,,,,,,
299,2,0.28210657835006714,,,,,,
305,2,,0.13319584727287292,0.5,0.644676923751831,0.6671090126037598,0.8860807418823242,
309,3,0.230088010430336,,,,,,
319,3,0.1498856395483017,,,,,,
329,3,0.09882620722055435,,,,,,
339,3,0.22625498473644257,,,,,,
349,3,0.1498604267835617,,,,,,
359,3,0.19889889657497406,,,,,,
369,3,0.11964055895805359,,,,,,
379,3,0.08810999244451523,,,,,,
389,3,0.05249568074941635,,,,,,
399,3,0.06675610691308975,,,,,,
407,3,,0.13427767157554626,0.530434787273407,0.6552274823188782,0.6849278807640076,0.8948967456817627,
409,4,0.08476889133453369,,,,,,
419,4,0.1728798747062683,,,,,,
429,4,0.02871682308614254,,,,,,
439,4,0.049815431237220764,,,,,,
449,4,0.11352640390396118,,,,,,
459,4,0.03661493584513664,,,,,,
469,4,0.07438726723194122,,,,,,
479,4,0.669620931148529,,,,,,
489,4,0.01717432402074337,,,,,,
499,4,2.380511999130249,,,,,,
509,4,0.02835099957883358,,,,,,
509,4,,0.14264802634716034,0.5478261113166809,0.6699169874191284,0.6911971569061279,0.8997529149055481,
510,5,,,,,,,0.14264802634716034
