epoch,step,train_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_loss,val_qa_em,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
0,9,0.39522695541381836,,,,,,,,,,
0,19,0.19118671119213104,,,,,,,,,,
0,29,0.21750101447105408,,,,,,,,,,
0,39,0.19643592834472656,,,,,,,,,,
0,49,0.12859325110912323,,,,,,,,,,
0,59,0.1518973708152771,,,,,,,,,,
0,69,0.11551982164382935,,,,,,,,,,
0,79,0.162623792886734,,,,,,,,,,
0,89,0.1078726202249527,,,,,,,,,,
0,90,,0.5246024131774902,0.5688928961753845,0.8920144438743591,0.12241431325674057,0.4731934666633606,,,,,
1,99,0.14048981666564941,,,,,,,,,,
1,109,0.07472096383571625,,,,,,,,,,
1,119,0.13843019306659698,,,,,,,,,,
1,129,0.0863829031586647,,,,,,,,,,
1,139,0.08904372155666351,,,,,,,,,,
1,149,0.09687764197587967,,,,,,,,,,
1,159,0.13352850079536438,,,,,,,,,,
1,169,0.07890857011079788,,,,,,,,,,
1,179,0.13015161454677582,,,,,,,,,,
1,181,,0.5924198031425476,0.6252350807189941,0.9068019390106201,0.12132641673088074,0.5454545617103577,,,,,
2,189,0.09648960828781128,,,,,,,,,,
2,199,0.10945942997932434,,,,,,,,,,
2,209,0.11049927771091461,,,,,,,,,,
2,219,0.09581665694713593,,,,,,,,,,
2,229,0.08910499513149261,,,,,,,,,,
2,239,0.10747566819190979,,,,,,,,,,
2,249,0.10461823642253876,,,,,,,,,,
2,259,0.09127943962812424,,,,,,,,,,
2,269,0.08486686646938324,,,,,,,,,,
2,272,,0.5969012975692749,0.6283637285232544,0.9076914191246033,0.11777349561452866,0.5501165390014648,,,,,
3,279,0.05785628780722618,,,,,,,,,,
3,289,0.1106567457318306,,,,,,,,,,
3,299,0.08110920339822769,,,,,,,,,,
3,309,0.0868937075138092,,,,,,,,,,
3,319,0.11154382675886154,,,,,,,,,,
3,329,0.1250147968530655,,,,,,,,,,
3,339,0.09914620220661163,,,,,,,,,,
3,349,0.050331443548202515,,,,,,,,,,
3,359,0.1322355568408966,,,,,,,,,,
3,363,,0.6171565055847168,0.6449562311172485,0.9126458168029785,0.11279954016208649,0.5734265446662903,,,,,
4,369,0.044710673391819,,,,,,,,,,
4,379,0.10606769472360611,,,,,,,,,,
4,389,0.08467007428407669,,,,,,,,,,
4,399,0.07515373080968857,,,,,,,,,,
4,409,0.0899929478764534,,,,,,,,,,
4,419,0.06444717943668365,,,,,,,,,,
4,429,0.06765870749950409,,,,,,,,,,
4,439,0.053108617663383484,,,,,,,,,,
4,449,0.05820111185312271,,,,,,,,,,
4,454,,0.6079946160316467,0.6394404768943787,0.9105733036994934,0.11400957405567169,0.5641025900840759,,,,,
5,455,,,,,,,0.5641025900840759,0.9105733036994934,0.6079946160316467,0.6394404768943787,0.11400957405567169
