train_loss,epoch,step,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,val_qa_answer_f1,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_loss
0.8491753935813904,0,9,,,,,,,,,,
0.570860743522644,0,19,,,,,,,,,,
0.468449205160141,0,29,,,,,,,,,,
0.20282188057899475,0,39,,,,,,,,,,
0.4261998236179352,0,49,,,,,,,,,,
0.39436572790145874,0,59,,,,,,,,,,
0.24418625235557556,0,69,,,,,,,,,,
0.2970772981643677,0,79,,,,,,,,,,
0.287838876247406,0,89,,,,,,,,,,
0.22379660606384277,0,99,,,,,,,,,,
0.2521330714225769,0,109,,,,,,,,,,
0.397693008184433,0,119,,,,,,,,,,
0.24050650000572205,0,129,,,,,,,,,,
0.2993375062942505,0,139,,,,,,,,,,
0.38988611102104187,0,149,,,,,,,,,,
0.2974931001663208,0,159,,,,,,,,,,
0.17914438247680664,0,169,,,,,,,,,,
0.1121973842382431,0,179,,,,,,,,,,
,0,179,0.8307701945304871,0.39348459243774414,0.281333327293396,0.2621515989303589,0.3476492464542389,,,,,
0.24833574891090393,1,189,,,,,,,,,,
0.20467720925807953,1,199,,,,,,,,,,
0.28457552194595337,1,209,,,,,,,,,,
0.32575124502182007,1,219,,,,,,,,,,
0.22784079611301422,1,229,,,,,,,,,,
0.1424657255411148,1,239,,,,,,,,,,
0.43919965624809265,1,249,,,,,,,,,,
0.23156128823757172,1,259,,,,,,,,,,
0.22391165792942047,1,269,,,,,,,,,,
0.30622926354408264,1,279,,,,,,,,,,
0.1541839838027954,1,289,,,,,,,,,,
0.17481473088264465,1,299,,,,,,,,,,
0.15635910630226135,1,309,,,,,,,,,,
0.17380593717098236,1,319,,,,,,,,,,
0.23643769323825836,1,329,,,,,,,,,,
0.2563105821609497,1,339,,,,,,,,,,
0.255625456571579,1,349,,,,,,,,,,
0.16262081265449524,1,359,,,,,,,,,,
,1,359,0.843497633934021,0.44128066301345825,0.3453333377838135,0.2356855273246765,0.4005142152309418,,,,,
0.23747935891151428,2,369,,,,,,,,,,
0.16552937030792236,2,379,,,,,,,,,,
0.21398787200450897,2,389,,,,,,,,,,
0.2605825662612915,2,399,,,,,,,,,,
0.22258974611759186,2,409,,,,,,,,,,
0.2091657817363739,2,419,,,,,,,,,,
0.13128121197223663,2,429,,,,,,,,,,
0.3425404131412506,2,439,,,,,,,,,,
0.22674855589866638,2,449,,,,,,,,,,
0.22611550986766815,2,459,,,,,,,,,,
0.16955676674842834,2,469,,,,,,,,,,
0.15852446854114532,2,479,,,,,,,,,,
0.22250081598758698,2,489,,,,,,,,,,
0.27874889969825745,2,499,,,,,,,,,,
0.13642451167106628,2,509,,,,,,,,,,
0.17553208768367767,2,519,,,,,,,,,,
0.18151439726352692,2,529,,,,,,,,,,
0.1639772355556488,2,539,,,,,,,,,,
,2,539,0.8440178632736206,0.4443824589252472,0.34933334589004517,0.2235390692949295,0.40632158517837524,,,,,
0.19602029025554657,3,549,,,,,,,,,,
0.1911381036043167,3,559,,,,,,,,,,
0.2908707857131958,3,569,,,,,,,,,,
0.19905589520931244,3,579,,,,,,,,,,
0.13568831980228424,3,589,,,,,,,,,,
0.23735500872135162,3,599,,,,,,,,,,
0.20056313276290894,3,609,,,,,,,,,,
0.1936110258102417,3,619,,,,,,,,,,
0.14448583126068115,3,629,,,,,,,,,,
0.15874922275543213,3,639,,,,,,,,,,
0.1650937795639038,3,649,,,,,,,,,,
0.15263308584690094,3,659,,,,,,,,,,
0.2611566185951233,3,669,,,,,,,,,,
0.12857283651828766,3,679,,,,,,,,,,
0.18487729132175446,3,689,,,,,,,,,,
0.20180664956569672,3,699,,,,,,,,,,
0.14542853832244873,3,709,,,,,,,,,,
0.15019306540489197,3,719,,,,,,,,,,
,3,719,0.854460597038269,0.46863996982574463,0.3853333294391632,0.21569763123989105,0.4386938810348511,,,,,
0.24773412942886353,4,729,,,,,,,,,,
0.28695082664489746,4,739,,,,,,,,,,
0.16897086799144745,4,749,,,,,,,,,,
0.1572531759738922,4,759,,,,,,,,,,
0.17886048555374146,4,769,,,,,,,,,,
0.1882908195257187,4,779,,,,,,,,,,
0.1568121463060379,4,789,,,,,,,,,,
0.15557464957237244,4,799,,,,,,,,,,
0.18114447593688965,4,809,,,,,,,,,,
0.2114974558353424,4,819,,,,,,,,,,
0.18383750319480896,4,829,,,,,,,,,,
0.1808987557888031,4,839,,,,,,,,,,
0.13250191509723663,4,849,,,,,,,,,,
0.14610467851161957,4,859,,,,,,,,,,
0.23498749732971191,4,869,,,,,,,,,,
0.2027941793203354,4,879,,,,,,,,,,
0.0907512679696083,4,889,,,,,,,,,,
0.20208650827407837,4,899,,,,,,,,,,
,4,899,0.8613957166671753,0.4875670075416565,0.40666666626930237,0.20765690505504608,0.46009406447410583,,,,,
,5,900,,,,,,0.46009406447410583,0.8613957166671753,0.4875670075416565,0.40666666626930237,0.20765690505504608
