step,train_loss,epoch,val_qa_em,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_em
9,2.1875741481781006,0,,,,,,,,,,
19,2.120440721511841,0,,,,,,,,,,
29,1.4127658605575562,0,,,,,,,,,,
39,1.031486988067627,0,,,,,,,,,,
49,1.0139672756195068,0,,,,,,,,,,
55,,0,0.29559749364852905,0.4287109375,0.4019925594329834,1.5923422574996948,0.8253422975540161,,,,,
59,1.4952161312103271,1,,,,,,,,,,
69,1.3979160785675049,1,,,,,,,,,,
79,0.5495472550392151,1,,,,,,,,,,
89,1.9633101224899292,1,,,,,,,,,,
99,2.1488120555877686,1,,,,,,,,,,
109,1.3809359073638916,1,,,,,,,,,,
111,,1,0.36477985978126526,0.47758787870407104,0.45423126220703125,1.4416567087173462,0.8436797857284546,,,,,
119,1.4470014572143555,2,,,,,,,,,,
129,1.2199323177337646,2,,,,,,,,,,
139,1.496346354484558,2,,,,,,,,,,
149,1.1828821897506714,2,,,,,,,,,,
159,1.0304664373397827,2,,,,,,,,,,
167,,2,0.3836477994918823,0.48613280057907104,0.46784648299217224,1.3657805919647217,0.8480607867240906,,,,,
169,1.3388558626174927,3,,,,,,,,,,
179,0.9669610261917114,3,,,,,,,,,,
189,1.3118208646774292,3,,,,,,,,,,
199,1.2888463735580444,3,,,,,,,,,,
209,1.4240949153900146,3,,,,,,,,,,
219,1.7342897653579712,3,,,,,,,,,,
223,,3,0.3899371027946472,0.48627930879592896,0.46283185482025146,1.3332793712615967,0.846097469329834,,,,,
229,1.6128543615341187,4,,,,,,,,,,
239,0.7057682871818542,4,,,,,,,,,,
249,0.9673031568527222,4,,,,,,,,,,
259,0.7979393601417542,4,,,,,,,,,,
269,0.6735613942146301,4,,,,,,,,,,
279,0.9854724407196045,4,,,,,,,,,,
279,,4,0.402515709400177,0.5067504644393921,0.4850894808769226,1.3123230934143066,0.8504897356033325,,,,,
280,,5,,,,,,0.5067504644393921,0.4850894808769226,0.8504897356033325,1.3123230934143066,0.402515709400177
