epoch,step,train_loss,val_qa_em,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,test_loss
0,9,0.21419845521450043,,,,,,
0,19,0.18845587968826294,,,,,,
0,29,0.4634665250778198,,,,,,
0,39,0.18815289437770844,,,,,,
0,49,1.9299806356430054,,,,,,
0,59,0.2310691773891449,,,,,,
0,69,0.12537801265716553,,,,,,
0,79,0.19565817713737488,,,,,,
0,89,0.1963234841823578,,,,,,
0,99,0.24660030007362366,,,,,,
0,102,,0.36574074625968933,0.673594057559967,0.6295362114906311,0.09372705966234207,0.8985478281974792,
1,109,0.20630930364131927,,,,,,
1,119,0.20103225111961365,,,,,,
1,129,0.14105439186096191,,,,,,
1,139,0.17551732063293457,,,,,,
1,149,0.5348708033561707,,,,,,
1,159,0.170365110039711,,,,,,
1,169,0.19068261981010437,,,,,,
1,179,0.29037126898765564,,,,,,
1,189,0.1052548885345459,,,,,,
1,199,0.14997230470180511,,,,,,
1,205,,0.3888888955116272,0.6829268336296082,0.6386582255363464,0.08179884403944016,0.9020335674285889,
2,209,0.11470639705657959,,,,,,
2,219,0.05642600357532501,,,,,,
2,229,0.19488069415092468,,,,,,
2,239,0.08664465695619583,,,,,,
2,249,0.2339598685503006,,,,,,
2,259,0.156026691198349,,,,,,
2,269,0.0667329654097557,,,,,,
2,279,0.07093948870897293,,,,,,
2,289,0.08256728202104568,,,,,,
2,299,0.11014419049024582,,,,,,
2,308,,0.42592594027519226,0.7079249620437622,0.6650868654251099,0.07732560485601425,0.9083817601203918,
3,309,0.057746633887290955,,,,,,
3,319,0.06695647537708282,,,,,,
3,329,0.0998927429318428,,,,,,
3,339,0.06364384293556213,,,,,,
3,349,0.06950864940881729,,,,,,
3,359,0.0645240843296051,,,,,,
3,369,0.09731368720531464,,,,,,
3,379,0.10357070714235306,,,,,,
3,389,0.036232780665159225,,,,,,
3,399,0.034414343535900116,,,,,,
3,409,0.041127000004053116,,,,,,
3,411,,0.4305555522441864,0.7081851959228516,0.6647292971611023,0.07744462043046951,0.9094273447990417,
4,419,0.03219044581055641,,,,,,
4,429,0.018418127670884132,,,,,,
4,439,0.031718794256448746,,,,,,
4,449,0.06987529993057251,,,,,,
4,459,0.08665157109498978,,,,,,
4,469,0.05947944521903992,,,,,,
4,479,0.02250535599887371,,,,,,
4,489,0.024593615904450417,,,,,,
4,499,0.022292645648121834,,,,,,
4,509,0.006893051788210869,,,,,,
4,514,,0.4444444477558136,0.7179690599441528,0.6768150925636292,0.08470778167247772,0.9115011096000671,
5,515,,,,,,,0.08470778167247772
