epoch,step,train_loss,val_qa_em,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_loss,test_loss,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_sas
0,9,0.4851830005645752,,,,,,,,,,
0,19,0.2113535851240158,,,,,,,,,,
0,29,0.20870822668075562,,,,,,,,,,
0,39,0.21561233699321747,,,,,,,,,,
0,49,0.22881630063056946,,,,,,,,,,
0,59,0.22171005606651306,,,,,,,,,,
0,69,0.11800621449947357,,,,,,,,,,
0,79,0.11039775609970093,,,,,,,,,,
0,89,0.3465214967727661,,,,,,,,,,
0,99,0.16723544895648956,,,,,,,,,,
0,109,0.13215099275112152,,,,,,,,,,
0,119,0.1407114565372467,,,,,,,,,,
0,124,,0.5085995197296143,0.5545355677604675,0.9003431797027588,0.5910142064094543,0.0866277664899826,,,,,
1,129,0.12139160186052322,,,,,,,,,,
1,139,0.45883867144584656,,,,,,,,,,
1,149,0.1439521312713623,,,,,,,,,,
1,159,0.10345643013715744,,,,,,,,,,
1,169,0.11017561703920364,,,,,,,,,,
1,179,0.17000791430473328,,,,,,,,,,
1,189,0.122871033847332,,,,,,,,,,
1,199,0.10173366218805313,,,,,,,,,,
1,209,0.12605470418930054,,,,,,,,,,
1,219,0.09340483695268631,,,,,,,,,,
1,229,0.36398443579673767,,,,,,,,,,
1,239,0.06215225160121918,,,,,,,,,,
1,249,0.10743147134780884,,,,,,,,,,
1,249,,0.5823096036911011,0.6221386194229126,0.9147357940673828,0.6489993333816528,0.0762273520231247,,,,,
2,259,0.07405603677034378,,,,,,,,,,
2,269,0.17338299751281738,,,,,,,,,,
2,279,0.06100880354642868,,,,,,,,,,
2,289,0.0885707437992096,,,,,,,,,,
2,299,0.09932168573141098,,,,,,,,,,
2,309,0.09045403450727463,,,,,,,,,,
2,319,0.0921335369348526,,,,,,,,,,
2,329,0.10127760469913483,,,,,,,,,,
2,339,0.09270590543746948,,,,,,,,,,
2,349,0.055997684597969055,,,,,,,,,,
2,359,0.11633385717868805,,,,,,,,,,
2,369,0.14919117093086243,,,,,,,,,,
2,374,,0.5896806120872498,0.6291610598564148,0.9165882468223572,0.6555928587913513,0.07293300330638885,,,,,
3,379,0.05656301975250244,,,,,,,,,,
3,389,0.06426320225000381,,,,,,,,,,
3,399,0.05906468257308006,,,,,,,,,,
3,409,0.08500374108552933,,,,,,,,,,
3,419,0.08921369910240173,,,,,,,,,,
3,429,0.08954917639493942,,,,,,,,,,
3,439,0.06402888894081116,,,,,,,,,,
3,449,0.1349238008260727,,,,,,,,,,
3,459,0.07290928810834885,,,,,,,,,,
3,469,0.08018182218074799,,,,,,,,,,
3,479,0.12454765290021896,,,,,,,,,,
3,489,0.0933854877948761,,,,,,,,,,
3,499,0.17886048555374146,,,,,,,,,,
3,499,,0.601965606212616,0.639807403087616,0.9191216230392456,0.6655699610710144,0.06783870607614517,,,,,
4,509,0.047837994992733,,,,,,,,,,
4,519,0.0648520290851593,,,,,,,,,,
4,529,0.06377337127923965,,,,,,,,,,
4,539,0.06243283674120903,,,,,,,,,,
4,549,0.10692818462848663,,,,,,,,,,
4,559,0.10192698985338211,,,,,,,,,,
4,569,0.09906192123889923,,,,,,,,,,
4,579,0.07465659826993942,,,,,,,,,,
4,589,0.05515630170702934,,,,,,,,,,
4,599,0.05243641883134842,,,,,,,,,,
4,609,0.06982247531414032,,,,,,,,,,
4,619,0.06542313098907471,,,,,,,,,,
4,624,,0.6068795919418335,0.6469084024429321,0.9199222326278687,0.6703181862831116,0.06736423820257187,,,,,
5,625,,,,,,,0.06736423820257187,0.6068795919418335,0.6469084024429321,0.9199222326278687,0.6703181862831116
