step,epoch,train_loss,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_sas
9,0,1.4363161325454712,,,,,,,,,,
19,0,2.9712672233581543,,,,,,,,,,
29,0,1.6195671558380127,,,,,,,,,,
39,0,2.127767562866211,,,,,,,,,,
48,0,,1.9508395195007324,0.5454973578453064,0.2870813310146332,0.464363694190979,0.8376656174659729,,,,,
49,1,1.176316738128662,,,,,,,,,,
59,1,1.3870518207550049,,,,,,,,,,
69,1,1.4569288492202759,,,,,,,,,,
79,1,2.16227650642395,,,,,,,,,,
89,1,1.4278604984283447,,,,,,,,,,
97,1,,1.7445294857025146,0.5312232971191406,0.35406699776649475,0.5117093920707703,0.8414673805236816,,,,,
99,2,1.621809482574463,,,,,,,,,,
109,2,0.4583621323108673,,,,,,,,,,
119,2,1.5435386896133423,,,,,,,,,,
129,2,1.4713313579559326,,,,,,,,,,
139,2,6.1697492599487305,,,,,,,,,,
146,2,,1.6657028198242188,0.6137869954109192,0.38755980134010315,0.5420037508010864,0.8764915466308594,,,,,
149,3,1.9427069425582886,,,,,,,,,,
159,3,1.1851766109466553,,,,,,,,,,
169,3,0.7999340295791626,,,,,,,,,,
179,3,0.9878222942352295,,,,,,,,,,
189,3,0.8177871704101562,,,,,,,,,,
195,3,,1.6378107070922852,0.6165946125984192,0.3971291780471802,0.5426852703094482,0.8776867985725403,,,,,
199,4,1.2576801776885986,,,,,,,,,,
209,4,0.9351043701171875,,,,,,,,,,
219,4,0.9179286360740662,,,,,,,,,,
229,4,1.571893334388733,,,,,,,,,,
239,4,0.6509823799133301,,,,,,,,,,
244,4,,1.6061793565750122,0.6028529405593872,0.38755980134010315,0.5358335971832275,0.8748487830162048,,,,,
245,5,,,,,,,0.8776867985725403,0.5426852703094482,1.6378107070922852,0.3971291780471802,0.6165946125984192
