epoch,step,train_loss,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_qa_em,test_loss
0,9,0.5246847867965698,,,,,,
0,19,0.0865546315908432,,,,,,
0,29,0.2093615084886551,,,,,,
0,39,0.30210667848587036,,,,,,
0,49,0.230272114276886,,,,,,
0,59,0.07998284697532654,,,,,,
0,69,0.2068633884191513,,,,,,
0,79,0.15262877941131592,,,,,,
0,89,0.13298282027244568,,,,,,
0,99,0.14222317934036255,,,,,,
0,109,0.10407861322164536,,,,,,
0,119,0.1374819129705429,,,,,,
0,129,0.1092807874083519,,,,,,
0,139,0.07278025150299072,,,,,,
0,149,0.15789148211479187,,,,,,
0,159,0.10205168277025223,,,,,,
0,169,0.18401911854743958,,,,,,
0,179,0.11533135175704956,,,,,,
0,189,0.15964768826961517,,,,,,
0,199,0.13995641469955444,,,,,,
0,209,0.11492053419351578,,,,,,
0,219,0.1424453854560852,,,,,,
0,229,0.07861208915710449,,,,,,
0,239,0.14329488575458527,,,,,,
0,249,0.15138664841651917,,,,,,
0,259,0.06444516777992249,,,,,,
0,269,0.14610446989536285,,,,,,
0,279,0.15961334109306335,,,,,,
0,289,0.13739286363124847,,,,,,
0,299,0.09990279376506805,,,,,,
0,309,0.1697743982076645,,,,,,
0,319,0.12390807271003723,,,,,,
0,329,0.10872222483158112,,,,,,
0,339,0.06979019194841385,,,,,,
0,349,0.18236947059631348,,,,,,
0,351,,0.10432688891887665,0.3018816411495209,0.3400724530220032,0.7929571866989136,0.23619632422924042,
1,359,0.1432902216911316,,,,,,
1,369,0.12867474555969238,,,,,,
1,379,0.10053564608097076,,,,,,
1,389,0.20963190495967865,,,,,,
1,399,0.06983939558267593,,,,,,
1,409,0.11469860374927521,,,,,,
1,419,0.04779309406876564,,,,,,
1,429,0.10138727724552155,,,,,,
1,439,0.08520781993865967,,,,,,
1,449,0.09359364211559296,,,,,,
1,459,0.22530782222747803,,,,,,
1,469,0.11215513944625854,,,,,,
1,479,0.08165723830461502,,,,,,
1,489,0.10398533940315247,,,,,,
1,499,0.1196649819612503,,,,,,
1,509,0.10887890309095383,,,,,,
1,519,0.14406996965408325,,,,,,
1,529,0.06867149472236633,,,,,,
1,539,0.13861840963363647,,,,,,
1,549,0.12224388122558594,,,,,,
1,559,0.07568799704313278,,,,,,
1,569,0.08927782624959946,,,,,,
1,579,0.09048104286193848,,,,,,
1,589,0.0495169572532177,,,,,,
1,599,0.15393580496311188,,,,,,
1,609,0.1307552605867386,,,,,,
1,619,0.08300042152404785,,,,,,
1,629,0.08509749919176102,,,,,,
1,639,0.047300003468990326,,,,,,
1,649,0.07610050588846207,,,,,,
1,659,0.06988352537155151,,,,,,
1,669,0.17424827814102173,,,,,,
1,679,0.1185474619269371,,,,,,
1,689,0.10268019139766693,,,,,,
1,699,0.0565880686044693,,,,,,
1,703,,0.057188790291547775,0.4627458155155182,0.475467324256897,0.8416654467582703,0.4110429584980011,
2,709,0.05947002023458481,,,,,,
2,719,0.04194095358252525,,,,,,
2,729,0.06141011416912079,,,,,,
2,739,0.06679611653089523,,,,,,
2,749,0.05421216040849686,,,,,,
2,759,0.06163502857089043,,,,,,
2,769,0.07091628015041351,,,,,,
2,779,0.09894364327192307,,,,,,
2,789,0.05759125575423241,,,,,,
2,799,0.07920733839273453,,,,,,
