step,epoch,train_loss,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_em,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em
9,0,2.568709135055542,,,,,,,,,,
19,0,2.523411989212036,,,,,,,,,,
29,0,1.8101667165756226,,,,,,,,,,
39,0,1.4139999151229858,,,,,,,,,,
49,0,1.497215986251831,,,,,,,,,,
55,0,,0.30217716097831726,0.3595214784145355,1.650448203086853,0.2075471729040146,0.7860061526298523,,,,,
59,1,1.6255091428756714,,,,,,,,,,
69,1,1.5901551246643066,,,,,,,,,,
79,1,1.0298666954040527,,,,,,,,,,
89,1,2.0289647579193115,,,,,,,,,,
99,1,1.7100986242294312,,,,,,,,,,
109,1,1.7120202779769897,,,,,,,,,,
111,1,,0.4698057472705841,0.509472668170929,1.3978310823440552,0.37106919288635254,0.8388142585754395,,,,,
119,2,1.512195348739624,,,,,,,,,,
129,2,1.0127984285354614,,,,,,,,,,
139,2,1.7799638509750366,,,,,,,,,,
149,2,1.4839259386062622,,,,,,,,,,
159,2,1.4833335876464844,,,,,,,,,,
167,2,,0.47915831208229065,0.5184570550918579,1.3011752367019653,0.3899371027946472,0.8475461006164551,,,,,
169,3,1.221591830253601,,,,,,,,,,
179,3,1.1546555757522583,,,,,,,,,,
189,3,1.2756372690200806,,,,,,,,,,
199,3,1.2555423974990845,,,,,,,,,,
209,3,1.4016034603118896,,,,,,,,,,
219,3,1.5974887609481812,,,,,,,,,,
223,3,,0.5434852242469788,0.588427722454071,1.201802372932434,0.42138364911079407,0.8624680638313293,,,,,
229,4,0.7906462550163269,,,,,,,,,,
239,4,1.0308306217193604,,,,,,,,,,
249,4,0.9282382726669312,,,,,,,,,,
259,4,0.9733129739761353,,,,,,,,,,
269,4,0.7511988282203674,,,,,,,,,,
279,4,1.2891669273376465,,,,,,,,,,
279,4,,0.5401465892791748,0.581494152545929,1.175855278968811,0.42767295241355896,0.8624221086502075,,,,,
280,5,,,,,,,0.8624221086502075,0.5401465892791748,0.581494152545929,1.175855278968811,0.42767295241355896
