step,train_loss,epoch,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas,test_loss
9,2.0747170448303223,0,,,,,,,,,,
19,2.13634991645813,0,,,,,,,,,,
29,1.4657591581344604,0,,,,,,,,,,
39,1.1092746257781982,0,,,,,,,,,,
49,0.876477837562561,0,,,,,,,,,,
55,,0,0.426141619682312,0.835034966468811,0.4555419981479645,0.30817610025405884,1.5355979204177856,,,,,
59,1.3909605741500854,1,,,,,,,,,,
69,1.2539570331573486,1,,,,,,,,,,
79,0.857195258140564,1,,,,,,,,,,
89,1.9408353567123413,1,,,,,,,,,,
99,2.2412352561950684,1,,,,,,,,,,
109,1.4036195278167725,1,,,,,,,,,,
111,,1,0.48358380794525146,0.8517450094223022,0.500903308391571,0.3899371027946472,1.382198691368103,,,,,
119,1.5188169479370117,2,,,,,,,,,,
129,1.1926683187484741,2,,,,,,,,,,
139,1.5268969535827637,2,,,,,,,,,,
149,1.2991137504577637,2,,,,,,,,,,
159,1.113114356994629,2,,,,,,,,,,
167,,2,0.47770220041275024,0.8511168360710144,0.4972167909145355,0.3899371027946472,1.3213021755218506,,,,,
169,1.3734874725341797,3,,,,,,,,,,
179,0.8797498941421509,3,,,,,,,,,,
189,1.1814053058624268,3,,,,,,,,,,
199,1.3230348825454712,3,,,,,,,,,,
209,1.4588080644607544,3,,,,,,,,,,
219,1.7629061937332153,3,,,,,,,,,,
223,,3,0.48571541905403137,0.8518505096435547,0.5028442144393921,0.3836477994918823,1.2721467018127441,,,,,
229,0.9280581474304199,4,,,,,,,,,,
239,0.6202991604804993,4,,,,,,,,,,
249,0.975411593914032,4,,,,,,,,,,
259,0.709437370300293,4,,,,,,,,,,
269,0.5479925870895386,4,,,,,,,,,,
279,0.8668296337127686,4,,,,,,,,,,
279,,4,0.4800724983215332,0.8521916270256042,0.5024048089981079,0.402515709400177,1.269107699394226,,,,,
280,,5,,,,,,0.4800724983215332,0.8521916270256042,0.402515709400177,0.5024048089981079,1.269107699394226
