train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,val_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_sas
0.3145160377025604,9,0,,,,,,,,,,
0.1759636253118515,19,0,,,,,,,,,,
0.2872747778892517,29,0,,,,,,,,,,
0.2475762814283371,39,0,,,,,,,,,,
0.1340031623840332,49,0,,,,,,,,,,
0.22566275298595428,59,0,,,,,,,,,,
0.11382055282592773,69,0,,,,,,,,,,
0.14022979140281677,79,0,,,,,,,,,,
0.10224564373493195,89,0,,,,,,,,,,
,96,0,0.6248776912689209,0.07752978056669235,0.9186538457870483,0.594427227973938,0.6693522334098816,,,,,
0.097134530544281,99,1,,,,,,,,,,
0.08914027363061905,109,1,,,,,,,,,,
0.09161978214979172,119,1,,,,,,,,,,
0.10801879316568375,129,1,,,,,,,,,,
0.12226878106594086,139,1,,,,,,,,,,
0.2072569578886032,149,1,,,,,,,,,,
0.09327957034111023,159,1,,,,,,,,,,
0.07917875051498413,169,1,,,,,,,,,,
0.06655702739953995,179,1,,,,,,,,,,
0.08197396993637085,189,1,,,,,,,,,,
,193,1,0.6702863574028015,0.06762224435806274,0.92827969789505,0.6377708911895752,0.701846182346344,,,,,
0.09148281812667847,199,2,,,,,,,,,,
0.1207621619105339,209,2,,,,,,,,,,
0.09102129936218262,219,2,,,,,,,,,,
0.11794092506170273,229,2,,,,,,,,,,
0.09545596688985825,239,2,,,,,,,,,,
0.18329273164272308,249,2,,,,,,,,,,
0.0966828316450119,259,2,,,,,,,,,,
0.17247813940048218,269,2,,,,,,,,,,
0.04164455458521843,279,2,,,,,,,,,,
0.07253798097372055,289,2,,,,,,,,,,
,290,2,0.6778285503387451,0.06654013693332672,0.9293287396430969,0.6470588445663452,0.7095423936843872,,,,,
0.06998574733734131,299,3,,,,,,,,,,
0.08446390181779861,309,3,,,,,,,,,,
0.06842845678329468,319,3,,,,,,,,,,
0.14986835420131683,329,3,,,,,,,,,,
0.07878311723470688,339,3,,,,,,,,,,
0.06706729531288147,349,3,,,,,,,,,,
0.07288385182619095,359,3,,,,,,,,,,
0.08611755073070526,369,3,,,,,,,,,,
0.0670725479722023,379,3,,,,,,,,,,
,387,3,0.6987265944480896,0.06271124631166458,0.9343072175979614,0.6687306761741638,0.7254231572151184,,,,,
0.08023995161056519,389,4,,,,,,,,,,
0.09047107398509979,399,4,,,,,,,,,,
0.06331691890954971,409,4,,,,,,,,,,
0.0642910823225975,419,4,,,,,,,,,,
0.06445016711950302,429,4,,,,,,,,,,
0.06990256160497665,439,4,,,,,,,,,,
0.0960538312792778,449,4,,,,,,,,,,
0.04315752163529396,459,4,,,,,,,,,,
0.08203776180744171,469,4,,,,,,,,,,
0.06100010871887207,479,4,,,,,,,,,,
,484,4,0.7098738551139832,0.06404244899749756,0.9364492297172546,0.6780185699462891,0.7365606427192688,,,,,
,485,5,,,,,,0.7098738551139832,0.06404244899749756,0.6780185699462891,0.9364492297172546,0.7365606427192688
