step,train_loss,epoch,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_em,test_loss
9,0.4343916177749634,0,,,,,,
19,0.3835018277168274,0,,,,,,
29,0.41949164867401123,0,,,,,,
39,0.366023987531662,0,,,,,,
49,0.34887948632240295,0,,,,,,
59,0.23049190640449524,0,,,,,,
69,0.261576384305954,0,,,,,,
79,0.273296594619751,0,,,,,,
89,0.42224040627479553,0,,,,,,
99,0.24834293127059937,0,,,,,,
109,0.2216484546661377,0,,,,,,
119,0.1919134557247162,0,,,,,,
129,0.24466337263584137,0,,,,,,
139,0.21197569370269775,0,,,,,,
149,0.3871813118457794,0,,,,,,
159,0.13834737241268158,0,,,,,,
169,0.2146098017692566,0,,,,,,
179,0.23410780727863312,0,,,,,,
189,0.23271408677101135,0,,,,,,
199,0.4921003580093384,0,,,,,,
204,,0,0.8478332757949829,0.573405921459198,0.5151118636131287,0.11604028195142746,0.29705214500427246,
209,0.2830826938152313,1,,,,,,
219,0.1987309455871582,1,,,,,,
229,0.4389151632785797,1,,,,,,
239,0.06984557956457138,1,,,,,,
249,0.25061357021331787,1,,,,,,
259,0.27181610465049744,1,,,,,,
269,0.20579180121421814,1,,,,,,
279,1.4301952123641968,1,,,,,,
289,0.14011915028095245,1,,,,,,
299,0.4813084900379181,1,,,,,,
309,0.14286458492279053,1,,,,,,
319,0.3760025203227997,1,,,,,,
329,0.22449801862239838,1,,,,,,
339,0.24074845016002655,1,,,,,,
349,0.21249257028102875,1,,,,,,
359,0.23216789960861206,1,,,,,,
369,0.20464876294136047,1,,,,,,
379,0.19492365419864655,1,,,,,,
389,0.2254723757505417,1,,,,,,
399,0.23873355984687805,1,,,,,,
409,0.24355246126651764,1,,,,,,
409,,1,0.873455286026001,0.6266186833381653,0.5793612599372864,0.1039607897400856,0.35147392749786377,
419,0.08598075062036514,2,,,,,,
429,0.1817394345998764,2,,,,,,
439,0.2867245078086853,2,,,,,,
449,0.12218934297561646,2,,,,,,
459,0.18619659543037415,2,,,,,,
469,0.09140010923147202,2,,,,,,
479,0.9263936281204224,2,,,,,,
489,0.08478736132383347,2,,,,,,
499,0.08398304879665375,2,,,,,,
509,0.09610307961702347,2,,,,,,
519,0.12205284833908081,2,,,,,,
529,0.10237038135528564,2,,,,,,
539,0.11785875260829926,2,,,,,,
549,0.1790037751197815,2,,,,,,
559,0.1669994592666626,2,,,,,,
569,0.22888147830963135,2,,,,,,
579,0.14899392426013947,2,,,,,,
589,0.16365300118923187,2,,,,,,
599,0.2598891258239746,2,,,,,,
609,0.1006297916173935,2,,,,,,
614,,2,0.8857871890068054,0.663637101650238,0.6146783232688904,0.09870303422212601,0.4036281108856201,
619,0.13349488377571106,3,,,,,,
629,0.10094592720270157,3,,,,,,
639,0.33938148617744446,3,,,,,,
649,0.031556252390146255,3,,,,,,
659,0.15490615367889404,3,,,,,,
669,0.19375982880592346,3,,,,,,
679,0.09919486194849014,3,,,,,,
689,0.8491926789283752,3,,,,,,
699,0.07301659137010574,3,,,,,,
709,0.35516470670700073,3,,,,,,
719,0.10499002784490585,3,,,,,,
729,0.24804307520389557,3,,,,,,
739,0.14386816322803497,3,,,,,,
749,0.12619473040103912,3,,,,,,
759,0.10034151375293732,3,,,,,,
769,0.14149706065654755,3,,,,,,
779,0.19286632537841797,3,,,,,,
789,0.15376204252243042,3,,,,,,
799,0.20234212279319763,3,,,,,,
809,0.11549337953329086,3,,,,,,
819,0.14033187925815582,3,,,,,,
819,,3,0.8841274976730347,0.6587390303611755,0.6098528504371643,0.09380360692739487,0.3877550959587097,
829,0.042100559920072556,4,,,,,,
839,0.09451505541801453,4,,,,,,
849,0.17541663348674774,4,,,,,,
859,0.056223779916763306,4,,,,,,
869,0.1246945783495903,4,,,,,,
879,0.02230558730661869,4,,,,,,
889,0.7661510705947876,4,,,,,,
899,0.03968681022524834,4,,,,,,
909,0.02851095423102379,4,,,,,,
919,0.04584142193198204,4,,,,,,
929,0.05605513975024223,4,,,,,,
939,0.04669560119509697,4,,,,,,
949,0.07759706676006317,4,,,,,,
959,0.07847214490175247,4,,,,,,
969,0.14647868275642395,4,,,,,,
979,0.09420134872198105,4,,,,,,
989,0.05345890671014786,4,,,,,,
999,0.08966962993144989,4,,,,,,
1009,0.15609179437160492,4,,,,,,
1019,0.051425591111183167,4,,,,,,
1024,,4,0.8900109529495239,0.6743437647819519,0.629389762878418,0.1028294712305069,0.38548752665519714,
1025,,5,,,,,,0.1028294712305069
