train_loss,step,epoch,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,test_loss
0.2529016137123108,9,0,,,,,,
0.17697668075561523,19,0,,,,,,
0.1971096694469452,29,0,,,,,,
0.12570182979106903,39,0,,,,,,
0.26812928915023804,49,0,,,,,,
0.15410616993904114,59,0,,,,,,
0.13213121891021729,69,0,,,,,,
0.23489952087402344,79,0,,,,,,
0.2104872465133667,89,0,,,,,,
0.1809292882680893,99,0,,,,,,
,99,0,0.6775399446487427,0.6151897311210632,0.1051010861992836,0.8935163021087646,0.2874999940395355,
0.12617500126361847,109,1,,,,,,
0.1751755326986313,119,1,,,,,,
0.12767243385314941,129,1,,,,,,
0.11890925467014313,139,1,,,,,,
0.10866480320692062,149,1,,,,,,
0.09711865335702896,159,1,,,,,,
0.13885805010795593,169,1,,,,,,
0.10602126270532608,179,1,,,,,,
0.5887230634689331,189,1,,,,,,
0.06375285983085632,199,1,,,,,,
,199,1,0.6633636355400085,0.605206310749054,0.09356185048818588,0.8898881673812866,0.2916666567325592,
0.08028610795736313,209,2,,,,,,
0.10844570398330688,219,2,,,,,,
0.07045666873455048,229,2,,,,,,
0.07514338940382004,239,2,,,,,,
0.07779701054096222,249,2,,,,,,
0.059921279549598694,259,2,,,,,,
0.08839764446020126,269,2,,,,,,
0.06252188235521317,279,2,,,,,,
0.09333987534046173,289,2,,,,,,
0.02323380671441555,299,2,,,,,,
,299,2,0.6734378933906555,0.6203296780586243,0.09283692389726639,0.8937760591506958,0.27916666865348816,
0.05996916815638542,309,3,,,,,,
0.06244095414876938,319,3,,,,,,
0.04801503196358681,329,3,,,,,,
0.0479842834174633,339,3,,,,,,
0.0492110401391983,349,3,,,,,,
0.03147738426923752,359,3,,,,,,
0.055363547056913376,369,3,,,,,,
0.041619252413511276,379,3,,,,,,
0.05892135202884674,389,3,,,,,,
0.012062878347933292,399,3,,,,,,
,399,3,0.6825258135795593,0.6370087265968323,0.09632928669452667,0.8979513049125671,0.3125,
0.03605196624994278,409,4,,,,,,
0.031485822051763535,419,4,,,,,,
0.025921139866113663,429,4,,,,,,
0.028958868235349655,439,4,,,,,,
0.02725384198129177,449,4,,,,,,
0.014967243187129498,459,4,,,,,,
0.031353823840618134,469,4,,,,,,
0.030642950907349586,479,4,,,,,,
0.03650163114070892,489,4,,,,,,
0.005732569843530655,499,4,,,,,,
,499,4,0.6818031072616577,0.6336212754249573,0.10405611991882324,0.8962677717208862,0.3125,
,500,5,,,,,,0.10405611991882324
