epoch,step,train_loss,val_qa_sas,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,test_loss
0,9,0.7206375002861023,,,,,,
0,19,0.613425612449646,,,,,,
0,29,0.14630265533924103,,,,,,
0,39,0.6476902961730957,,,,,,
0,49,0.5162559151649475,,,,,,
0,59,0.2592165768146515,,,,,,
0,69,0.4184885621070862,,,,,,
0,79,0.1815093606710434,,,,,,
0,89,1.0080523490905762,,,,,,
0,97,,0.6323050856590271,0.16094475984573364,0.595830500125885,0.8769646883010864,0.42583730816841125,
1,99,0.4822274148464203,,,,,,
1,109,0.6983020901679993,,,,,,
1,119,0.2819553017616272,,,,,,
1,129,0.4301508367061615,,,,,,
1,139,0.44418665766716003,,,,,,
1,149,0.5173487067222595,,,,,,
1,159,0.4103318154811859,,,,,,
1,169,0.5980774164199829,,,,,,
1,179,0.2253728061914444,,,,,,
1,189,0.554945707321167,,,,,,
1,195,,0.6652274131774902,0.14198364317417145,0.6472660303115845,0.894768238067627,0.5071770548820496,
2,199,1.1973720788955688,,,,,,
2,209,0.19228200614452362,,,,,,
2,219,0.339017391204834,,,,,,
2,229,0.14381584525108337,,,,,,
2,239,0.2581768333911896,,,,,,
2,249,0.06604283303022385,,,,,,
2,259,0.166761577129364,,,,,,
2,269,0.13062958419322968,,,,,,
2,279,0.2503966987133026,,,,,,
2,289,0.20412415266036987,,,,,,
2,293,,0.679398238658905,0.13982205092906952,0.6623561382293701,0.8997271060943604,0.5502392053604126,
3,299,0.09972726553678513,,,,,,
3,309,0.15934497117996216,,,,,,
3,319,0.2907908856868744,,,,,,
3,329,0.14770902693271637,,,,,,
3,339,0.07293517887592316,,,,,,
3,349,0.11866120249032974,,,,,,
3,359,0.08035633713006973,,,,,,
3,369,0.06874710321426392,,,,,,
3,379,0.10176728665828705,,,,,,
3,389,0.06234562769532204,,,,,,
3,391,,0.6848520636558533,0.14255496859550476,0.6629940867424011,0.8997551798820496,0.5550239086151123,
4,399,0.14524808526039124,,,,,,
4,409,0.048193082213401794,,,,,,
4,419,0.2024732232093811,,,,,,
4,429,0.42903077602386475,,,,,,
4,439,0.17651501297950745,,,,,,
4,449,0.034982744604349136,,,,,,
4,459,0.20519165694713593,,,,,,
4,469,0.03488980233669281,,,,,,
4,479,0.07242755591869354,,,,,,
4,489,2.804429531097412,,,,,,
4,489,,0.6861464977264404,0.15506647527217865,0.6652477383613586,0.9011908769607544,0.559808611869812,
5,490,,,,,,,0.15506647527217865
