step,epoch,train_loss,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_loss
9,0,0.7138492465019226,,,,,,
19,0,0.18972650170326233,,,,,,
29,0,0.39080458879470825,,,,,,
39,0,0.26146602630615234,,,,,,
49,0,0.23686791956424713,,,,,,
59,0,0.3790152966976166,,,,,,
69,0,0.31270694732666016,,,,,,
79,0,0.3076179623603821,,,,,,
89,0,0.2693004608154297,,,,,,
99,0,0.20716331899166107,,,,,,
109,0,0.17910993099212646,,,,,,
119,0,0.21256442368030548,,,,,,
129,0,0.26509106159210205,,,,,,
139,0,0.25538837909698486,,,,,,
149,0,0.24204902350902557,,,,,,
159,0,0.190616637468338,,,,,,
169,0,0.1392262876033783,,,,,,
179,0,0.11472965776920319,,,,,,
189,0,0.2419622838497162,,,,,,
199,0,0.1343250572681427,,,,,,
209,0,0.219346284866333,,,,,,
219,0,0.22262637317180634,,,,,,
229,0,0.153688445687294,,,,,,
239,0,0.24535714089870453,,,,,,
249,0,0.2536282539367676,,,,,,
259,0,0.18267366290092468,,,,,,
269,0,0.21874317526817322,,,,,,
279,0,0.13439524173736572,,,,,,
289,0,0.23381222784519196,,,,,,
299,0,0.23023369908332825,,,,,,
309,0,0.15168894827365875,,,,,,
319,0,0.19116728007793427,,,,,,
329,0,0.09808197617530823,,,,,,
339,0,0.18405015766620636,,,,,,
349,0,0.1481393724679947,,,,,,
359,0,0.1643308848142624,,,,,,
369,0,0.1344551295042038,,,,,,
379,0,0.2007099837064743,,,,,,
389,0,0.17976944148540497,,,,,,
399,0,0.1208559200167656,,,,,,
409,0,0.24045327305793762,,,,,,
419,0,0.1968001127243042,,,,,,
429,0,0.08897662162780762,,,,,,
439,0,0.1762429177761078,,,,,,
449,0,0.11120468378067017,,,,,,
459,0,0.3460099995136261,,,,,,
469,0,0.1367252618074417,,,,,,
479,0,0.09148972481489182,,,,,,
489,0,0.1325811743736267,,,,,,
499,0,0.16152773797512054,,,,,,
509,0,0.15784704685211182,,,,,,
519,0,0.16772772371768951,,,,,,
529,0,0.09688013792037964,,,,,,
539,0,0.1730862855911255,,,,,,
549,0,0.23611655831336975,,,,,,
559,0,0.1498996466398239,,,,,,
569,0,0.14884375035762787,,,,,,
579,0,0.11547685414552689,,,,,,
589,0,0.14744924008846283,,,,,,
599,0,0.07573971897363663,,,,,,
609,0,0.13223528861999512,,,,,,
